match,PSW,win0,confidence0,date,
34750,1.56,1,1.063419934,7/28/2022,0.56
30820,1.31,1,1.063401205,2/2/2021,0.31
25796,2.56,0,1.063392143,5/25/2018,-1
29970,1.88,1,1.06338536,2/18/2020,0.88
32760,1.88,0,1.063371691,9/20/2021,-1
28136,1.36,1,1.063340049,5/7/2019,0.36
34803,2.31,0,1.063332456,8/4/2022,-1
35409,1.41,1,1.063326586,10/14/2022,0.41
26406,1.74,1,1.063310989,8/5/2018,0.74
23116,1.74,1,1.063292485,5/2/2017,0.74
30987,2.06,0,1.063278152,2/13/2021,-1
31254,1.75,1,1.063274672,3/17/2021,0.75
22217,1.8,1,1.063252744,1/3/2017,0.8
24109,3.11,0,1.063251016,8/29/2017,-1
31334,1.45,1,1.063207667,3/26/2021,0.45
27765,2.38,0,1.06317332,3/22/2019,-1
32147,1.5,1,1.06314941,7/1/2021,0.5
30466,1.43,1,1.063147958,9/16/2020,0.43
34438,1.35,1,1.063130446,6/22/2022,0.35
23434,1.27,1,1.06311681,6/2/2017,0.27
24877,2.64,0,1.063096019,1/16/2018,-1
29484,1.61,1,1.063089374,10/8/2019,0.61
34672,1.33,1,1.062980708,7/19/2022,0.33
32964,2.2,0,1.062950858,10/18/2021,-1
25190,1.61,1,1.062919779,3/8/2018,0.61
30719,1.33,1,1.062918512,1/9/2021,0.33
31151,2.37,0,1.062917273,3/8/2021,-1
28833,1.73,1,1.06278926,7/29/2019,0.73
29308,1.65,1,1.062734754,9/19/2019,0.65
23011,1.47,1,1.062713917,4/12/2017,0.47
26429,1.81,1,1.062704628,8/7/2018,0.81
26323,2.9,0,1.062691262,7/25/2018,-1
35457,1.3,1,1.062683356,10/19/2022,0.3
30738,2.53,0,1.062669836,1/11/2021,-1
26890,2.54,0,1.062644413,9/26/2018,-1
23436,2.72,0,1.062542209,6/3/2017,-1
23253,1.54,1,1.062503104,5/17/2017,0.54
31960,1.4,1,1.062477046,6/15/2021,0.4
22322,1.24,1,1.062470458,1/11/2017,0.24
28947,1.47,1,1.062469724,8/12/2019,0.47
22250,2.15,0,1.062461336,1/4/2017,-1
30491,3.21,0,1.062453156,9/19/2020,-1
29665,2.35,0,1.062432323,1/7/2020,-1
28228,1.31,1,1.062400795,5/21/2019,0.31
22402,1.31,1,1.062374247,1/18/2017,0.31
35032,1.93,1,1.062360346,8/30/2022,0.93
28427,1.6,1,1.062331305,6/12/2019,0.6
26932,1.5,1,1.062312196,10/1/2018,0.5
23459,1.71,1,1.062298581,6/12/2017,0.71
29852,1.22,1,1.062294776,1/22/2020,0.22
34669,1.55,1,1.062235545,7/19/2022,0.55
31372,2.61,0,1.062220729,3/30/2021,-1
26137,1.26,1,1.062189263,7/3/2018,0.26
31953,1.49,1,1.062116469,6/15/2021,0.49
22296,1.93,0,1.062070607,1/9/2017,-1
24523,1.85,0,1.062065813,10/10/2017,-1
26833,1.38,1,1.062004146,9/23/2018,0.38
22811,2.61,0,1.061992639,3/22/2017,-1
35332,1.51,1,1.061992231,10/4/2022,0.51
24362,1.5,1,1.061977547,9/24/2017,0.5
33467,1.25,1,1.061922418,2/20/2022,0.25
35925,1.4,1,1.061890137,2/21/2023,0.4
23899,1.26,1,1.061867967,8/1/2017,0.26
33715,2.21,0,1.061857306,3/22/2022,-1
23186,1.39,1,1.061841983,5/8/2017,0.39
27130,1.75,1,1.061779998,10/25/2018,0.75
35403,1.93,0,1.061776064,10/13/2022,-1
32447,2.32,0,1.061701283,8/14/2021,-1
34961,1.34,1,1.06159733,8/22/2022,0.34
26376,3.21,0,1.061547947,8/1/2018,-1
31901,1.56,1,1.061511585,6/7/2021,0.56
32835,1.36,1,1.061387871,9/29/2021,0.36
35383,1.32,1,1.061378093,10/11/2022,0.32
24154,1.49,1,1.061323464,8/31/2017,0.49
31453,2.41,0,1.061294569,4/9/2021,-1
35825,1.23,1,1.061252214,2/7/2023,0.23
24466,3,0,1.061239104,10/2/2017,-1
27247,1.37,1,1.061219188,1/7/2019,0.37
28344,1.68,1,1.06121188,5/29/2019,0.68
30936,1.93,0,1.061199014,2/9/2021,-1
33233,1.32,1,1.061121445,1/11/2022,0.32
29792,1.26,1,1.061084408,1/20/2020,0.26
28869,3.07,0,1.06105854,8/2/2019,-1
30927,1.19,1,1.061056908,2/9/2021,0.19
31500,1.61,1,1.061046259,4/19/2021,0.61
28052,1.89,1,1.06103727,4/30/2019,0.89
30027,1.56,1,1.061028298,2/25/2020,0.56
27274,2.26,0,1.060984902,1/9/2019,-1
27125,2.73,0,1.060971142,10/22/2018,-1
30435,1.61,1,1.060936477,9/11/2020,0.61
31633,1.64,1,1.060932126,5/11/2021,0.64
22528,1.84,0,1.060924515,2/15/2017,-1
30762,2.28,0,1.060920818,1/31/2021,-1
23644,1.93,1,1.060920053,7/3/2017,0.93
28548,1.33,1,1.060908629,6/25/2019,0.33
34359,1.71,1,1.060867493,6/16/2022,0.71
30398,3.19,0,1.060859925,9/6/2020,-1
23758,1.51,1,1.060829533,7/17/2017,0.51
27442,1.55,1,1.060799419,1/29/2019,0.55
33208,2.48,0,1.060630721,1/8/2022,-1
28749,4.23,0,1.060615654,7/18/2019,-1
24279,1.32,1,1.0605951,9/18/2017,0.32
29478,1.2,1,1.060508823,10/7/2019,0.2
26013,3.74,0,1.060501595,6/19/2018,-1
33161,1.5,1,1.060465119,1/5/2022,0.5
35970,1.72,1,1.06045959,2/24/2023,0.72
28623,1.26,1,1.060328486,7/2/2019,0.26
27050,1.63,1,1.060299218,10/12/2018,0.63
28633,1.4,1,1.060297656,7/2/2019,0.4
24021,2.1,0,1.06028838,8/16/2017,-1
22372,1.74,1,1.06026669,1/17/2017,0.74
33729,2.63,0,1.060252661,3/23/2022,-1
34394,2.63,0,1.060163217,6/20/2022,-1
35701,1.45,1,1.06015994,1/19/2023,0.45
35738,2.5,0,1.060158558,1/25/2023,-1
23335,1.85,1,1.060131142,5/28/2017,0.85
26377,1.91,1,1.060119709,8/1/2018,0.91
35152,1.35,1,1.060080257,9/13/2022,0.35
32317,1.88,1,1.060072352,7/19/2021,0.88
31236,1.65,1,1.060069322,3/15/2021,0.65
23386,1.74,1,1.060066339,5/30/2017,0.74
26955,1.41,1,1.060064811,10/3/2018,0.41
29196,3.63,0,1.060045978,9/11/2019,-1
22476,2.42,0,1.060040826,1/31/2017,-1
24287,2.4,0,1.060030839,9/19/2017,-1
31055,1.56,1,1.060006319,2/19/2021,0.56
35652,1.19,1,1.059967259,1/17/2023,0.19
31753,3.78,0,1.059962961,5/25/2021,-1
35914,1.6,1,1.059958439,2/21/2023,0.6
26606,2.4,0,1.059914508,8/29/2018,-1
31988,1.53,1,1.059906019,6/18/2021,0.53
32606,1.2,1,1.059885171,8/31/2021,0.2
35965,1.66,1,1.059849892,2/24/2023,0.66
35199,3.26,0,1.059817178,9/20/2022,-1
24041,4.05,0,1.05979779,8/18/2017,-1
26155,1.45,1,1.059759068,7/3/2018,0.45
32436,2.09,0,1.059741679,8/12/2021,-1
28066,2.03,0,1.059684165,5/1/2019,-1
29197,1.99,0,1.059678715,9/11/2019,-1
34894,1.29,1,1.059663453,8/16/2022,0.29
31192,2.11,0,1.059613828,3/9/2021,-1
28793,2.22,1,1.059611879,7/23/2019,1.22
34102,1.38,1,1.059603739,5/18/2022,0.38
35255,1.58,1,1.059583943,9/26/2022,0.58
28429,2.67,0,1.059576414,6/12/2019,-1
28531,2.7,0,1.059561716,6/23/2019,-1
28931,2.16,0,1.059544909,8/9/2019,-1
27538,3.69,0,1.059543904,2/18/2019,-1
27699,1.46,1,1.059510419,3/10/2019,0.46
32457,1.76,1,1.059506002,8/16/2021,0.76
34747,2.17,0,1.059503181,7/28/2022,-1
27178,1.79,1,1.059426459,12/31/2018,0.79
25781,2.03,0,1.059423146,5/23/2018,-1
35629,1.41,1,1.059403108,1/16/2023,0.41
27856,1.93,1,1.059348004,4/2/2019,0.93
23584,2.25,0,1.05933182,6/25/2017,-1
27782,2,0,1.059324583,3/22/2019,-1
22183,1.92,0,1.059311431,1/1/2017,-1
32892,1.85,1,1.059293514,10/7/2021,0.85
22421,2.88,0,1.059285899,1/19/2017,-1
29299,2.14,0,1.059271739,9/18/2019,-1
24486,1.4,1,1.05925982,10/4/2017,0.4
28244,1.53,1,1.05925045,5/22/2019,0.53
34332,3.03,0,1.05924401,6/14/2022,-1
32783,3.16,0,1.059236908,9/27/2021,-1
34159,1.3,1,1.059219896,5/23/2022,0.3
27854,1.49,1,1.059185214,4/2/2019,0.49
31173,2.05,1,1.059122463,3/9/2021,1.05
33391,2.39,0,1.059057156,1/23/2022,-1
34306,1.32,1,1.059024077,6/10/2022,0.32
29958,1.6,1,1.059008751,2/16/2020,0.6
33179,2.48,0,1.059006991,1/6/2022,-1
35917,2.1,0,1.059000835,2/21/2023,-1
31889,2.33,0,1.058991254,6/6/2021,-1
22593,1.59,1,1.058975627,2/21/2017,0.59
24398,1.58,1,1.058921844,9/26/2017,0.58
28080,2.61,0,1.058833182,5/2/2019,-1
32346,2.45,0,1.058810755,7/22/2021,-1
28032,2.26,0,1.058773059,4/29/2019,-1
25776,1.43,1,1.058715963,5/23/2018,0.43
34571,1.58,1,1.058715048,7/3/2022,0.58
24758,2.46,0,1.058666686,1/4/2018,-1
32262,1.53,1,1.058643488,7/14/2021,0.53
28287,2.16,1,1.058574101,5/27/2019,1.16
32002,1.32,1,1.058554807,6/20/2021,0.32
33633,2.24,1,1.058552566,3/10/2022,1.24
31260,2.82,0,1.058546734,3/17/2021,-1
26675,1.68,1,1.058499607,9/10/2018,0.68
28111,1.41,1,1.058427374,5/5/2019,0.41
29005,2.52,0,1.058400563,8/19/2019,-1
25133,1.57,1,1.058358644,2/26/2018,0.57
32590,1.23,1,1.058354332,8/30/2021,0.23
22840,1.59,1,1.058350806,3/24/2017,0.59
26896,1.92,0,1.058277781,9/26/2018,-1
27224,2.3,0,1.058262658,1/3/2019,-1
23686,1.71,1,1.058244393,7/4/2017,0.71
33294,1.31,1,1.058212204,1/17/2022,0.31
31261,2.6,0,1.05818074,3/17/2021,-1
27629,3.05,0,1.058172063,3/1/2019,-1
22444,2.92,0,1.058088168,1/21/2017,-1
22457,1.62,1,1.058065836,1/25/2017,0.62
22877,1.3,1,1.058038621,3/28/2017,0.3
31016,1.89,1,1.058036619,2/15/2021,0.89
30234,1.75,1,1.058028265,8/22/2020,0.75
34799,2.19,0,1.05792282,8/3/2022,-1
27532,1.51,1,1.057893892,2/18/2019,0.51
27148,2.38,0,1.057868196,11/2/2018,-1
22560,1.37,1,1.057838135,2/20/2017,0.37
29636,1.89,1,1.057835924,1/6/2020,0.89
22844,2.53,0,1.057796827,3/24/2017,-1
25363,1.69,1,1.05779563,4/2/2018,0.69
35820,1.34,1,1.057795028,2/7/2023,0.34
22956,1.68,1,1.057776121,4/7/2017,0.68
28782,1.22,1,1.057759105,7/23/2019,0.22
28552,3.34,0,1.057715624,6/25/2019,-1
29300,1.42,1,1.057681784,9/18/2019,0.42
32186,1.71,1,1.05767276,7/6/2021,0.71
23214,1.62,1,1.057655257,5/13/2017,0.62
28234,4.15,0,1.057608861,5/22/2019,-1
35042,1.6,1,1.057557758,8/30/2022,0.6
26737,1.64,1,1.057549464,9/17/2018,0.64
22377,1.23,1,1.057481564,1/17/2017,0.23
32154,1.26,1,1.057463415,7/1/2021,0.26
23304,1.56,1,1.057449825,5/23/2017,0.56
32653,1.69,1,1.057399149,9/2/2021,0.69
31728,1.58,1,1.0573959,5/21/2021,0.58
30336,1.57,1,1.057395537,9/2/2020,0.57
32397,2.77,0,1.057379001,8/9/2021,-1
31450,1.29,1,1.057377348,4/8/2021,0.29
26290,1.52,1,1.057346607,7/23/2018,0.52
24865,2.06,0,1.057231487,1/15/2018,-1
35342,1.37,1,1.057230714,10/5/2022,0.37
25558,3.1,0,1.057173569,4/29/2018,-1
29966,1.42,1,1.057162248,2/18/2020,0.42
29798,1.85,1,1.057142364,1/21/2020,0.85
23272,1.45,1,1.057134806,5/21/2017,0.45
31466,2.51,0,1.0571335,4/11/2021,-1
32746,1.57,1,1.057119536,9/17/2021,0.57
25360,1.58,1,1.057090553,4/2/2018,0.58
24066,1.61,1,1.057074177,8/23/2017,0.61
24232,2.75,0,1.057052033,9/13/2017,-1
32084,1.83,0,1.057037026,6/29/2021,-1
35674,1.18,1,1.057011218,1/18/2023,0.18
23058,1.49,1,1.057010654,4/26/2017,0.49
28137,2.21,0,1.056984592,5/7/2019,-1
25773,1.75,0,1.056976136,5/22/2018,-1
26845,2.22,0,1.056966689,9/24/2018,-1
30161,1.64,1,1.056953258,8/7/2020,0.64
31955,3.92,0,1.056947951,6/15/2021,-1
32295,2.32,0,1.056911883,7/16/2021,-1
25420,1.3,1,1.056878257,4/5/2018,0.3
24717,1.6,1,1.056854566,1/1/2018,0.6
28631,1.76,1,1.056852525,7/2/2019,0.76
24172,1.85,1,1.056794704,9/1/2017,0.85
32441,1.26,1,1.05676971,8/12/2021,0.26
25839,3.82,0,1.05676081,5/28/2018,-1
33361,4.65,0,1.056701328,1/20/2022,-1
35622,1.34,1,1.056659901,1/16/2023,0.34
34657,1.49,1,1.056642685,7/18/2022,0.49
33752,1.63,1,1.056615329,3/24/2022,0.63
25846,1.24,1,1.056597789,5/29/2018,0.24
29479,1.24,1,1.056574053,10/7/2019,0.24
22945,1.91,1,1.056538971,4/6/2017,0.91
28486,1.47,1,1.05649233,6/18/2019,0.47
35950,1.44,1,1.056480442,2/22/2023,0.44
23752,1.64,1,1.056441873,7/11/2017,0.64
33539,1.4,1,1.056333697,2/24/2022,0.4
29766,1.57,1,1.056287351,1/16/2020,0.57
31328,3.21,0,1.056282711,3/25/2021,-1
23139,1.64,1,1.056271999,5/4/2017,0.64
23723,1.23,1,1.05627149,7/6/2017,0.23
22574,1.75,1,1.056237,2/20/2017,0.75
35035,1.25,1,1.056236518,8/30/2022,0.25
32997,1.77,1,1.056187892,10/20/2021,0.77
29321,2.08,0,1.056177961,9/21/2019,-1
24920,1.38,1,1.05616594,1/18/2018,0.38
27386,1.47,1,1.056132454,1/17/2019,0.47
33439,2.04,0,1.056129043,2/14/2022,-1
27535,2.56,0,1.056107917,2/18/2019,-1
22254,1.32,1,1.056069275,1/5/2017,0.32
25341,1.31,1,1.056052733,3/26/2018,0.31
31146,1.81,1,1.056005535,3/7/2021,0.81
26583,2.07,0,1.055938918,8/28/2018,-1
34462,2.18,0,1.05589545,6/27/2022,-1
32657,1.19,1,1.055817861,9/2/2021,0.19
27278,2.26,0,1.055801707,1/9/2019,-1
27230,1.37,1,1.055748544,1/4/2019,0.37
29881,2.34,0,1.05572435,1/25/2020,-1
28153,1.51,1,1.055674838,5/13/2019,0.51
31819,1.43,1,1.055669982,6/1/2021,0.43
27879,1.59,1,1.055638652,4/4/2019,0.59
34156,2.54,0,1.055548977,5/23/2022,-1
23135,1.25,1,1.055534716,5/3/2017,0.25
35949,1.52,1,1.05550544,2/22/2023,0.52
28525,2.08,0,1.055331289,6/23/2019,-1
34784,1.73,1,1.055298465,8/2/2022,0.73
24722,1.39,1,1.055297827,1/2/2018,0.39
28193,1.58,1,1.055294652,5/16/2019,0.58
35400,1.19,1,1.055284177,10/13/2022,0.19
35175,1.48,1,1.055281523,9/16/2022,0.48
32416,1.62,1,1.055269621,8/10/2021,0.62
35030,1.43,1,1.055230573,8/30/2022,0.43
26957,1.49,1,1.055229868,10/3/2018,0.49
28196,2.37,0,1.055221585,5/16/2019,-1
28960,1.9,0,1.055213293,8/13/2019,-1
28506,1.23,1,1.055192898,6/20/2019,0.23
34029,1.52,1,1.055116162,5/10/2022,0.52
23355,1.32,1,1.055098443,5/29/2017,0.32
32836,1.57,1,1.055034932,9/29/2021,0.57
31485,1.93,1,1.055004311,4/14/2021,0.93
27286,1.3,1,1.054989025,1/9/2019,0.3
27851,1.43,1,1.054970595,4/2/2019,0.43
22514,2.36,0,1.054964876,2/4/2017,-1
28396,1.6,1,1.054924154,6/8/2019,0.6
35293,3.26,0,1.054898963,9/29/2022,-1
27112,2.14,1,1.054880553,10/18/2018,1.14
32948,1.56,1,1.054874242,10/12/2021,0.56
27690,2.54,0,1.054873347,3/9/2019,-1
28628,1.47,1,1.054852406,7/2/2019,0.47
24038,1.67,1,1.054835928,8/17/2017,0.67
30152,2.49,0,1.054828965,8/4/2020,-1
33986,1.6,1,1.054767214,4/30/2022,0.6
27055,1.58,1,1.054714672,10/13/2018,0.58
33965,1.67,1,1.054653087,4/29/2022,0.67
24366,3.34,0,1.054626523,9/25/2017,-1
35596,1.35,1,1.054609022,1/11/2023,0.35
32501,2.17,0,1.054549499,8/20/2021,-1
31248,1.32,1,1.054528712,3/16/2021,0.32
31130,1.58,1,1.054522375,3/4/2021,0.58
30035,2.13,0,1.054517653,2/25/2020,-1
28061,1.46,1,1.054513546,5/1/2019,0.46
33507,1.36,1,1.054510614,2/22/2022,0.36
34430,1.26,1,1.054495647,6/22/2022,0.26
35099,1.29,1,1.054379803,9/2/2022,0.29
30513,1.47,1,1.054337758,9/22/2020,0.47
30275,1.75,1,1.054286341,8/25/2020,0.75
26537,2.41,0,1.054268538,8/22/2018,-1
30854,3.77,0,1.054225757,2/5/2021,-1
30452,2.82,0,1.054206436,9/14/2020,-1
29279,1.56,1,1.054200727,9/17/2019,0.56
23788,2.1,0,1.054179191,7/18/2017,-1
27713,1.75,0,1.054104702,3/12/2019,-1
35869,1.45,1,1.054053422,2/14/2023,0.45
28564,1.21,1,1.054038006,6/26/2019,0.21
32486,1.31,1,1.054037992,8/18/2021,0.31
28415,1.93,1,1.054025985,6/12/2019,0.93
24628,2.03,0,1.054025107,10/18/2017,-1
35757,2.56,0,1.054021228,1/31/2023,-1
35095,1.67,1,1.053958968,9/2/2022,0.67
34167,1.23,1,1.053905782,5/24/2022,0.23
25657,1.4,1,1.053889847,5/7/2018,0.4
29666,1.97,1,1.053876628,1/7/2020,0.97
35374,1.56,1,1.053853731,10/10/2022,0.56
26635,4.84,0,1.05382404,8/30/2018,-1
24938,2.15,0,1.053807655,1/19/2018,-1
35662,1.75,1,1.0537876,1/17/2023,0.75
27483,2.05,0,1.053628748,2/2/2019,-1
28711,1.5,1,1.053625,7/15/2019,0.5
34782,1.68,1,1.053601651,8/2/2022,0.68
23981,1.49,1,1.053580966,8/10/2017,0.49
33494,3.06,0,1.053549208,2/21/2022,-1
28403,1.55,1,1.053506332,6/11/2019,0.55
31776,1.94,0,1.053494296,5/30/2021,-1
26015,2,0,1.053475647,6/19/2018,-1
23706,1.37,1,1.053457724,7/5/2017,0.37
31887,1.68,1,1.053444647,6/6/2021,0.68
33089,1.49,1,1.053426765,11/8/2021,0.49
34145,2.06,0,1.053343925,5/22/2022,-1
33654,2.01,0,1.053323077,3/11/2022,-1
33966,1.67,1,1.053237035,4/29/2022,0.67
34389,3.02,0,1.053208196,6/19/2022,-1
31891,1.57,1,1.053181071,6/7/2021,0.57
24915,4.25,0,1.053156415,1/17/2018,-1
33469,1.37,1,1.053145777,2/20/2022,0.37
22952,1.64,1,1.053135669,4/7/2017,0.64
31711,1.3,1,1.053128265,5/19/2021,0.3
35468,2.49,0,1.053124205,10/20/2022,-1
23565,2.74,0,1.053103597,6/22/2017,-1
24944,3.35,0,1.053085424,1/20/2018,-1
31455,2.51,0,1.053067344,4/9/2021,-1
25939,2.2,0,1.053062465,6/11/2018,-1
26367,1.52,1,1.05302397,7/31/2018,0.52
30198,1.3,1,1.053012013,8/12/2020,0.3
23492,1.93,1,1.052959035,6/14/2017,0.93
35076,1.56,1,1.052938225,9/1/2022,0.56
32458,1.32,1,1.052888307,8/17/2021,0.32
32983,1.64,1,1.052887877,10/19/2021,0.64
29549,2.33,0,1.052885659,10/15/2019,-1
25824,1.26,1,1.052867922,5/28/2018,0.26
23791,1.27,1,1.0528201,7/19/2017,0.27
24408,1.96,1,1.052817335,9/26/2017,0.96
26386,1.79,1,1.052766778,8/2/2018,0.79
29915,2.37,0,1.052764748,2/11/2020,-1
28874,1.21,1,1.05273651,8/2/2019,0.21
25962,1.38,1,1.052731219,6/13/2018,0.38
35758,1.44,1,1.052725325,1/31/2023,0.44
32030,1.41,1,1.052664696,6/22/2021,0.41
26060,4.06,0,1.052598103,6/25/2018,-1
30999,1.7,1,1.052563449,2/14/2021,0.7
35700,2.57,0,1.052547177,1/19/2023,-1
32798,3.34,0,1.052521744,9/27/2021,-1
22309,1.27,1,1.052494794,1/10/2017,0.27
27948,2.42,0,1.052452048,4/11/2019,-1
23042,1.88,0,1.052397567,4/25/2017,-1
29280,1.96,1,1.0523597,9/17/2019,0.96
32108,1.39,1,1.05235492,6/30/2021,0.39
