match,PSW,win0,confidence0,date,,
50335,2.64,1,1.594789352,9/26/2019,1.64,164
49778,1.72,0,1.592587478,7/21/2019,-1,-100
55352,1.57,0,1.592361839,4/22/2022,-1,-100
47627,1.62,0,1.591864868,9/1/2018,-1,-100
46471,2.3,1,1.591797702,5/1/2018,1.3,130
47214,2.63,1,1.591088502,7/24/2018,1.63,163
55349,1.51,0,1.589724322,4/21/2022,-1,-100
57103,2.58,1,1.589454839,1/11/2023,1.58,158
49370,1.6,0,1.589107439,5/30/2019,-1,-100
56501,2.66,1,1.58751408,8/31/2022,1.66,166
53991,1.61,0,1.586859968,9/6/2021,-1,-100
54686,1.62,0,1.586445564,2/3/2022,-1,-100
53675,1.65,0,1.585982377,7/30/2021,-1,-100
56325,2.51,1,1.584869839,8/12/2022,1.51,151
46104,1.56,0,1.584403787,3/10/2018,-1,-100
52077,2.24,1,1.583329313,2/4/2021,1.24,124
54182,1.49,0,1.583028471,10/12/2021,-1,-100
49302,1.53,0,1.582590549,5/27/2019,-1,-100
53583,2.33,1,1.581982692,7/21/2021,1.33,133
52084,1.54,0,1.581411511,2/5/2021,-1,-100
52196,2.57,1,1.579202794,2/12/2021,1.57,157
50051,1.68,0,1.576457709,8/14/2019,-1,-100
56882,1.79,0,1.576302729,10/23/2022,-1,-100
52244,1.49,0,1.576260173,2/23/2021,-1,-100
45360,2.37,1,1.57568056,10/24/2017,1.37,137
51107,2.11,1,1.575356305,2/20/2020,1.11,111
43344,2.46,1,1.571645261,2/24/2017,1.46,146
43339,1.76,0,1.570141597,2/24/2017,-1,-100
56602,1.67,0,1.569333159,9/24/2022,-1,-100
49200,1.53,0,1.569190664,5/16/2019,-1,-100
54607,2.23,1,1.567762673,1/21/2022,1.23,123
48811,2.45,1,1.566241046,3/22/2019,1.45,145
53343,1.67,0,1.565739334,6/28/2021,-1,-100
48537,1.69,0,1.564190365,2/19/2019,-1,-100
43526,1.61,0,1.563218273,3/14/2017,-1,-100
53517,2.72,1,1.562752013,7/15/2021,1.72,172
56383,2.35,1,1.562644377,8/21/2022,1.35,135
56666,1.68,0,1.560424231,9/29/2022,-1,-100
46483,1.54,0,1.55968118,5/2/2018,-1,-100
54858,1.62,0,1.559529721,2/16/2022,-1,-100
45344,1.74,0,1.55934568,10/23/2017,-1,-100
48903,2.73,1,1.559097255,4/10/2019,1.73,173
55873,2.75,1,1.55884832,6/23/2022,1.75,175
45550,2.38,1,1.558791977,1/7/2018,1.38,138
55251,1.53,0,1.557869487,4/11/2022,-1,-100
53449,1.67,0,1.557747978,7/3/2021,-1,-100
48760,2.5,1,1.556317732,3/12/2019,1.5,150
48994,1.76,0,1.553041795,4/22/2019,-1,-100
52191,2.58,1,1.552520174,2/11/2021,1.58,158
48780,2.34,1,1.55187438,3/20/2019,1.34,134
50504,1.66,0,1.549691056,10/16/2019,-1,-100
53620,2.75,1,1.549084913,7/24/2021,1.75,175
44642,1.66,0,1.548030201,7/29/2017,-1,-100
49378,2.27,1,1.54537735,5/31/2019,1.27,127
49224,1.57,0,1.545093662,5/19/2019,-1,-100
53012,1.69,0,1.543903648,5/22/2021,-1,-100
50284,2.34,1,1.543903503,9/19/2019,1.34,134
47737,2.34,1,1.543015733,9/27/2018,1.34,134
