match,PSW,win0,confidence0,date,winner,
45772,2.67,0,1.008213214,2/8/2018,Moutet C.,-1
49636,1.17,1,1.008174981,7/2/2019,Berrettini M.,0.17
44287,1.39,1,1.00816412,6/22/2017,Lopez F.,0.39
43883,1.78,1,1.008158216,5/5/2017,Carreno Busta P.,0.78
45285,1.45,1,1.008155541,10/17/2017,De Schepper K.,0.45
47012,1.3,1,1.008147365,7/3/2018,Fognini F.,0.3
43778,5.63,0,1.008145284,4/25/2017,Sugita Y.,-1
54955,1.06,1,1.008133616,2/23/2022,Medvedev D.,0.06
48600,5.25,0,1.008132568,2/25/2019,Struff J.L.,-1
45927,1.32,1,1.007972322,2/20/2018,Monfils G.,0.32
50837,1.21,1,1.00791216,1/23/2020,Kyrgios N.,0.21
56117,2.24,0,1.007894838,7/22/2022,Musetti L.,-1
56833,1.36,1,1.00788797,10/19/2022,Evans D.,0.36
55621,1.17,1,1.00782737,5/23/2022,Fritz T.,0.17
47960,5.39,0,1.007796585,10/22/2018,Melzer J.,-1
45980,1.91,1,1.007766529,2/26/2018,Domingues J.,0.91
46281,4.1,0,1.007747552,4/11/2018,Vatutin A.,-1
45441,3.28,0,1.007746196,11/3/2017,Isner J.,-1
56363,1.92,1,1.007699032,8/17/2022,Schwartzman D.,0.92
46769,1.13,1,1.007695141,5/31/2018,Del Potro J.M.,0.13
55027,1.24,1,1.007688069,3/12/2022,Bautista Agut R.,0.24
48380,3.94,0,1.007662347,2/6/2019,Berrettini M.,-1
54009,3.6,0,1.007660628,9/20/2021,Skatov T.,-1
47082,2.04,1,1.007657791,7/6/2018,Mannarino A.,1.04
48653,1.66,1,1.007654537,2/28/2019,Trungelliti M.,0.66
52064,1.34,1,1.007645484,2/3/2021,Opelka R.,0.34
55058,3,0,1.007638488,3/14/2022,Munar J.,-1
46872,1.45,1,1.007628924,6/18/2018,Bautista Agut R.,0.45
54243,1.51,1,1.007600889,10/21/2021,Nakashima B.,0.51
57385,1.19,1,1.007597354,2/15/2023,Giron M.,0.19
46815,1.4,1,1.007550335,6/11/2018,Medvedev D.,0.4
43157,1.18,1,1.007533724,2/9/2017,Tsonga J.W.,0.18
55931,1.21,1,1.007459072,6/28/2022,Peniston R.,0.21
47977,1.1,1,1.007435469,10/23/2018,Federer R.,0.1
51370,2.84,0,1.00737645,9/4/2020,Davidovich Fokina A.,-1
53781,3.69,0,1.007356453,8/16/2021,Ramos-Vinolas A.,-1
49538,2.82,0,1.007346399,6/25/2019,Norrie C.,-1
45094,1.24,1,1.007335086,9/26/2017,Dolgopolov O.,0.24
47640,1.31,1,1.007316305,9/3/2018,Del Potro J.M.,0.31
48559,1.61,1,1.00720934,2/20/2019,Bedene A.,0.61
46139,3.45,0,1.007206205,3/13/2018,Herbert P.H.,-1
57475,1.36,1,1.007204927,2/23/2023,Norrie C.,0.36
43241,1.22,1,1.00718617,2/16/2017,Nishikori K.,0.22
54006,1.64,1,1.007163474,9/20/2021,Pospisil V.,0.64
50851,1.07,1,1.007161116,1/24/2020,Federer R.,0.07
56862,3.24,0,1.007150894,10/20/2022,Mcdonald M.,-1
46697,1.2,1,1.007129155,5/27/2018,Monfils G.,0.2
45354,1.33,1,1.007119616,10/24/2017,Thiem D.,0.33
48131,1.19,1,1.007088718,1/2/2019,Nishikori K.,0.19
48288,1.11,1,1.007076001,1/16/2019,Cilic M.,0.11
43426,1.33,1,1.007061757,3/2/2017,Pouille L.,0.33
55166,5.71,0,1.007045148,3/28/2022,Cerundolo F.,-1
53532,3.43,0,1.00703707,7/16/2021,Coria F.,-1
43116,1.61,1,1.007030759,2/6/2017,Brown D.,0.61
50601,1.5,1,1.007013008,10/25/2019,De Minaur A.,0.5
46151,1.13,1,1.00701113,3/15/2018,Del Potro J.M.,0.13
43032,1.38,1,1.006998531,1/17/2017,Muller G.,0.38
55627,4.94,0,1.006984721,5/24/2022,Gaston H.,-1
46403,1.25,1,1.006916804,4/25/2018,Struff J.L.,0.25
57335,1.67,1,1.006889691,2/12/2023,Baez S.,0.67
54901,1.45,1,1.006870209,2/20/2022,Opelka R.,0.45
52758,1.14,1,1.006818615,4/20/2021,Sinner J.,0.14
48734,1.25,1,1.006817488,3/10/2019,Medvedev D.,0.25
53159,3,0,1.006777886,6/3/2021,Koepfer D.,-1
55678,1.66,1,1.006777523,5/26/2022,Goffin D.,0.66
46502,1.36,1,1.006772969,5/3/2018,Carreno Busta P.,0.36
54062,2.56,0,1.006729262,9/28/2021,Millman J.,-1
45178,1.28,1,1.006697617,10/4/2017,Bautista Agut R.,0.28
53525,1.35,1,1.006681001,7/15/2021,Bublik A.,0.35
52413,1.62,1,1.006679488,3/10/2021,Fucsovics M.,0.62
44471,1.23,1,1.006678491,7/10/2017,Cilic M.,0.23
55036,1.06,1,1.006672855,3/12/2022,Medvedev D.,0.06
51665,1.38,1,1.006598081,10/13/2020,Rublev A.,0.38
45879,1.63,1,1.006591345,2/17/2018,Dimitrov G.,0.63
51144,1.41,1,1.006580853,2/25/2020,Novak D.,0.41
43319,1.22,1,1.006577326,2/22/2017,Kyrgios N.,0.22
46591,1.37,1,1.006562049,5/14/2018,Goffin D.,0.37
50226,1.26,1,1.006531634,8/31/2019,Zverev A.,0.26
45006,1.48,1,1.006505314,9/1/2017,Lorenzi P.,0.48
48232,1.34,1,1.006490401,1/14/2019,Evans D.,0.34
55515,1.08,1,1.006435924,5/11/2022,Nadal R.,0.08
53245,1.58,1,1.006405928,6/15/2021,Harris L.,0.58
47290,1.83,1,1.006376678,7/31/2018,Kudla D.,0.83
53344,1.55,1,1.006350303,6/28/2021,Vesely J.,0.55
56677,3.64,0,1.006340939,9/30/2022,Kovacevic A.,-1
42888,2.54,0,1.006334328,1/4/2017,Almagro N.,-1
44408,3.11,0,1.00632595,7/4/2017,Pavlasek A.,-1
50847,1.11,1,1.006323531,1/23/2020,Thiem D.,0.11
54317,1.29,1,1.006316759,11/1/2021,Ivashka I.,0.29
51869,1.08,1,1.00628976,11/4/2020,Nadal R.,0.08
54392,1.67,1,1.006284928,11/17/2021,Ruud C.,0.67
45695,1.2,1,1.006245916,1/18/2018,Del Potro J.M.,0.2
53748,1.48,1,1.006234003,8/11/2021,Bautista Agut R.,0.48
45523,1.19,1,1.006147504,1/4/2018,Cilic M.,0.19
45144,1.94,1,1.006143468,10/2/2017,Uchiyama Y.,0.94
43093,1.28,1,1.006133499,1/21/2017,Goffin D.,0.28
49135,1.87,1,1.006097977,5/7/2019,Fognini F.,0.87
47416,1.1,1,1.006094279,8/10/2018,Nadal R.,0.1
49924,1.72,1,1.006068081,7/31/2019,Isner J.,0.72
55677,2.14,0,1.006045297,5/26/2022,Gaston H.,-1
54046,1.28,1,1.006036388,9/24/2021,Bublik A.,0.28
50574,1.41,1,1.006030326,10/23/2019,Berankis R.,0.41
50887,2.44,0,1.006029092,2/3/2020,Cuevas P.,-1
50531,1.24,1,1.005989517,10/18/2019,Shapovalov D.,0.24
49549,1.36,1,1.005974691,6/26/2019,Fritz T.,0.36
46856,1.43,1,1.005959275,6/15/2018,Gasquet R.,0.43
57051,1.29,1,1.00594493,1/4/2023,Van De Zandschulp B.,0.29
54396,2.43,0,1.005923149,11/19/2021,Ruud C.,-1
50808,1.13,1,1.005876671,1/21/2020,Carreno Busta P.,0.13
48806,2.66,0,1.005859831,3/22/2019,Delbonis F.,-1
56192,2.64,0,1.005846417,7/29/2022,Zeppieri G.,-1
44945,2.34,0,1.005792186,8/30/2017,Rublev A.,-1
49174,1.27,1,1.005784421,5/13/2019,Cecchinato M.,0.27
47018,2.46,0,1.005768422,7/3/2018,Robert S.,-1
