match,PSW,win0,confidence0,date,winner,,
46455,1.51,0,1.718748901,5/1/2018,Dutra Silva R.,-1,-100
43569,1.51,0,1.717937924,3/23/2017,Coric B.,-1,-100
39565,2.98,1,1.716230119,8/16/2015,Murray A.,1.98,198
41317,2.52,1,1.714803514,5/4/2016,Sock J.,1.52,152
55151,1.59,0,1.714708647,3/27/2022,Sinner J.,-1,-100
32296,3.26,1,1.713525188,10/16/2012,Bogomolov A.,2.26,226
55570,2.58,1,1.711509038,5/18/2022,Sousa J.,1.58,158
32831,1.48,0,1.708848886,2/12/2013,Hewitt L.,-1,-100
38677,1.56,0,1.707459557,5/5/2015,Kohlschreiber P.,-1,-100
40250,1.52,0,1.706489114,1/5/2016,Mayer L.,-1,-100
38494,2.55,1,1.704813876,4/16/2015,Cilic M.,1.55,155
55086,2.72,1,1.704353796,3/19/2022,Fritz T.,1.72,172
54874,2.36,1,1.702677495,2/17/2022,Basilashvili N.,1.36,136
38014,2.71,1,1.700644702,2/13/2015,Souza J.,1.71,171
38685,1.49,0,1.700543787,5/5/2015,Mayer L.,-1,-100
55690,2.46,1,1.699577998,5/27/2022,Schwartzman D.,1.46,146
35672,1.54,0,1.699211015,3/9/2014,Robredo T.,-1,-100
47199,2.63,1,1.699129873,7/24/2018,Monteiro T.,1.63,163
38403,2.67,1,1.698869892,4/6/2015,Kukushkin M.,1.67,167
52239,1.44,0,1.698524442,2/23/2021,Cecchinato M.,-1,-100
51549,1.53,0,1.698250841,9/28/2020,Sock J.,-1,-100
49952,1.62,0,1.696935516,8/2/2019,Fritz T.,-1,-100
57107,2.58,1,1.694244303,1/11/2023,Kwon S.W.,1.58,158
34444,2.8,1,1.691363227,8/13/2013,Davydenko N.,1.8,180
31491,1.51,0,1.690665964,7/11/2012,Van Der Merwe I.,-1,-100
50065,2.37,1,1.689987378,8/15/2019,Khachanov K.,1.37,137
34745,1.45,0,1.685760384,9/26/2013,Youzhny M.,-1,-100
35848,2.6,1,1.685228425,4/10/2014,Garcia-Lopez G.,1.6,160
47249,1.54,0,1.684224382,7/27/2018,Kovalik J.,-1,-100
36681,2.3,1,1.682592197,7/12/2014,Rosol L.,1.3,130
35888,1.69,0,1.682154884,4/15/2014,Carreno-Busta P.,-1,-100
42419,1.65,0,1.682092835,9/19/2016,Benneteau J.,-1,-100
57581,2.89,1,1.681516849,3/3/2023,Medvedev D.,1.89,189
55510,2.44,1,1.681034151,5/11/2022,Cilic M.,1.44,144
41363,1.5,0,1.679795551,5/10/2016,Goffin D.,-1,-100
51708,1.51,0,1.679272016,10/16/2020,Shapovalov D.,-1,-100
39372,1.53,0,1.676247373,7/28/2015,Fognini F.,-1,-100
43783,2.73,1,1.674525228,4/26/2017,Karlovic I.,1.73,173
51969,1.48,0,1.674399665,1/10/2021,Isner J.,-1,-100
47463,2.55,1,1.674250555,8/16/2018,Kyrgios N.,1.55,155
48834,1.55,0,1.674111123,3/23/2019,Shapovalov D.,-1,-100
50243,2.65,1,1.673730582,9/4/2019,Berrettini M.,1.65,165
32178,2.52,1,1.67373051,10/4/2012,Lacko L.,1.52,152
30509,1.52,0,1.673283909,3/12/2012,Almagro N.,-1,-100
38436,1.59,0,1.671665735,4/9/2015,Vesely J.,-1,-100
42193,1.52,0,1.671234137,8/15/2016,Coric B.,-1,-100
43545,1.65,0,1.67047353,3/22/2017,Delbonis F.,-1,-100
43342,1.47,0,1.668287365,2/24/2017,Sock J.,-1,-100
56010,1.63,0,1.668022658,7/8/2022,Kyrgios N.,-1,-100
33975,3,1,1.667695686,6/25/2013,Dodig I.,2,200
47308,2.52,1,1.66739111,8/1/2018,Copil M.,1.52,152
46029,1.53,0,1.667169284,2/28/2018,Donaldson J.,-1,-100
54898,1.48,0,1.665925212,2/19/2022,Bautista Agut R.,-1,-100
38239,2.52,1,1.66447094,3/14/2015,Ramos-Vinolas A.,1.52,152
54456,1.51,0,1.663273481,1/10/2022,Sonego L.,-1,-100
45949,1.58,0,1.662675079,2/22/2018,Fritz T.,-1,-100
44232,2.7,1,1.661170189,6/16/2017,Pouille L.,1.7,170
38587,2.67,1,1.661103907,4/27/2015,Coric B.,1.67,167
47396,1.67,0,1.660834802,8/8/2018,Shapovalov D.,-1,-100
42094,2.5,1,1.659972891,7/26/2016,Young D.,1.5,150
57057,1.51,0,1.65823324,1/5/2023,Shapovalov D.,-1,-100
53560,2.57,1,1.654438354,7/20/2021,Donskoy E.,1.57,157
54980,1.6,0,1.654241562,2/25/2022,Ramos-Vinolas A.,-1,-100
36419,1.53,0,1.653880608,6/15/2014,Dimitrov G.,-1,-100
40743,2.83,1,1.651791302,2/21/2016,Querrey S.,1.83,183
47265,1.55,0,1.651313726,7/28/2018,Mayer L.,-1,-100
32598,1.57,0,1.650657497,1/10/2013,Anderson K.,-1,-100
52162,2.71,1,1.649395522,2/9/2021,Andujar P.,1.71,171
56175,2.56,1,1.6487957,7/28/2022,Bagnis F.,1.56,156
39055,2.21,1,1.644953845,6/19/2015,Troicki V.,1.21,121
37969,1.76,0,1.644730986,2/10/2015,Schwartzman D.,-1,-100
47350,2.58,1,1.640536,8/3/2018,Istomin D.,1.58,158
47289,1.66,0,1.64033774,7/31/2018,De Minaur A.,-1,-100
32183,2.62,1,1.639317595,10/4/2012,Baghdatis M.,1.62,162
43865,2.5,1,1.638823835,5/3/2017,Tomic B.,1.5,150
35653,1.56,0,1.636114484,3/8/2014,Raonic M.,-1,-100
34787,2.44,1,1.635184644,10/8/2013,Seppi A.,1.44,144
40406,1.55,0,1.63445505,1/19/2016,Hewitt L.,-1,-100
46021,2.61,1,1.633714526,2/28/2018,Garcia-Lopez G.,1.61,161
44773,2.75,1,1.633083808,8/8/2017,Lorenzi P.,1.75,175
55016,1.58,0,1.632715278,3/11/2022,Wolf J.J.,-1,-100
