match,PSW,win0,confidence0,date,
43947,1.45,1,1.122157466,5/11/2017,0.45
50235,3.04,0,1.122106969,9/1/2019,-1
55707,1.88,0,1.122084775,5/30/2022,-1
44808,1.68,1,1.122077918,8/14/2017,0.68
50090,1.47,1,1.122063106,8/20/2019,0.47
49863,1.87,0,1.122023007,7/28/2019,-1
55234,1.81,0,1.122022932,4/9/2022,-1
57017,1.93,0,1.122021031,1/1/2023,-1
45144,1.94,0,1.122007502,10/2/2017,-1
48447,1.74,1,1.12191911,2/12/2019,0.74
50026,1.6,1,1.121909666,8/12/2019,0.6
51637,1.52,1,1.121807592,10/7/2020,0.52
50177,1.36,1,1.121777062,8/27/2019,0.36
43971,3.27,0,1.121766168,5/16/2017,-1
44502,2.08,1,1.121727401,7/18/2017,1.08
48519,2.6,0,1.121709996,2/19/2019,-1
44268,2.02,1,1.121696092,6/20/2017,1.02
44814,1.65,1,1.121663859,8/14/2017,0.65
46841,2.07,0,1.121655618,6/13/2018,-1
56315,1.83,1,1.121647985,8/11/2022,0.83
45995,1.81,1,1.121557521,2/27/2018,0.81
56720,2.25,0,1.121523542,10/5/2022,-1
48585,2.23,0,1.121499971,2/23/2019,-1
47368,2.1,0,1.121471774,8/5/2018,-1
47549,2.06,1,1.121423519,8/27/2018,1.06
49925,1.44,1,1.121394155,7/31/2019,0.44
45989,1.72,1,1.121370933,2/26/2018,0.72
54739,1.76,0,1.121273693,2/8/2022,-1
53317,2.06,0,1.121215242,6/23/2021,-1
44332,1.54,1,1.121196452,6/28/2017,0.54
48342,1.77,1,1.121123966,1/27/2019,0.77
57052,1.78,1,1.121121993,1/4/2023,0.78
55651,2.78,0,1.12093649,5/24/2022,-1
56636,2.39,0,1.120909558,9/27/2022,-1
55116,1.39,1,1.120893504,3/24/2022,0.39
52821,2.55,0,1.120841776,4/27/2021,-1
48154,2.16,1,1.120840559,1/4/2019,1.16
46286,2.18,0,1.120758827,4/11/2018,-1
49309,1.45,1,1.120741056,5/27/2019,0.45
51404,1.85,1,1.120653219,9/9/2020,0.85
47054,1.53,1,1.120623753,7/5/2018,0.53
57227,1.91,1,1.120555538,1/20/2023,0.91
44170,1.36,1,1.120487975,6/3/2017,0.36
51905,2.15,0,1.120440353,11/10/2020,-1
50505,2.68,0,1.120431098,10/16/2019,-1
43578,2.79,0,1.120323543,3/24/2017,-1
49077,1.67,0,1.120283172,4/30/2019,-1
46165,1.81,1,1.120212177,3/21/2018,0.81
47844,1.52,1,1.120200287,10/9/2018,0.52
51825,2.03,1,1.120184714,10/30/2020,1.03
55206,2.05,1,1.120171333,4/6/2022,1.05
44044,2.2,0,1.120113857,5/24/2017,-1
47269,2.56,0,1.120090334,7/29/2018,-1
56616,1.65,1,1.12007414,9/26/2022,0.65
53488,1.48,1,1.120048128,7/13/2021,0.48
49191,3.24,0,1.120023561,5/14/2019,-1
