match,PSW,win0,confidence0,date,winner,,,correct prediction?,roi,net,,,,,,,,,,,,,,,,,,,,,,,,,
56769,1.81,0,1.214683928,10/11/2022,Otte O.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39580,1.51,1,1.214669318,8/18/2015,Dimitrov G.,0.51,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56934,1.8,1,1.214645129,10/28/2022,Shapovalov D.,0.8,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55352,1.69,1,1.214632218,4/22/2022,Norrie C.,0.69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32222,1.66,1,1.214498642,10/8/2012,Dolgopolov O.,0.66,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35332,1.72,1,1.214354601,2/6/2014,Gimeno-Traver D.,0.72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50204,1.28,1,1.21435294,8/29/2019,Carreno Busta P.,0.28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40576,1.69,1,1.214262872,2/8/2016,Kudla D.,0.69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55112,1.61,1,1.214210068,3/24/2022,Wolf J.J.,0.61,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52938,1.49,1,1.214136152,5/12/2021,Shapovalov D.,0.49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49045,1.37,1,1.21407465,4/25/2019,Coric B.,0.37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50784,1.81,1,1.214040841,1/21/2020,Delbonis F.,0.81,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41581,1.81,1,1.2140091,6/6/2016,Groth S.,0.81,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53072,2.65,0,1.213945442,5/30/2021,Van De Zandschulp B.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39476,2.6,0,1.213932272,8/5/2015,Lajovic D.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43141,3.06,0,1.213876992,2/8/2017,De Schepper K.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47995,1.36,1,1.213875632,10/25/2018,Bautista Agut R.,0.36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34670,1.44,1,1.213853155,9/17/2013,Roger-Vasselin E.,0.44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52951,2.5,0,1.213825185,5/13/2021,Delbonis F.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32566,2.05,0,1.213821977,1/7/2013,Giraldo S.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57330,1.82,0,1.213793588,2/11/2023,Coria F.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56907,2.18,1,1.213712465,10/25/2022,Molcan A.,1.18,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32759,1.74,0,1.213694478,2/5/2013,Zeballos H.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50292,1.64,1,1.213682993,9/20/2019,Paire B.,0.64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54161,2.05,0,1.213675598,10/10/2021,Anderson K.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40342,1.98,0,1.213601773,1/13/2016,Muller G.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52008,1.49,1,1.213581452,2/1/2021,Ramos-Vinolas A.,0.49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40502,2.7,0,1.213551714,2/1/2016,Daniel T.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34209,1.63,1,1.213460479,7/19/2013,Falla A.,0.63,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46079,1.64,1,1.213445149,3/9/2018,Sousa J.,0.64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50311,2.3,0,1.213395667,9/24/2019,Andujar P.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34514,2.2,1,1.213389323,8/21/2013,Dolgopolov O.,1.2,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49443,1.56,1,1.21334956,6/14/2019,Berrettini M.,0.56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42425,2.5,0,1.213324834,9/20/2016,Gojowczyk P.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42384,1.43,1,1.213291653,9/2/2016,Ferrer D.,0.43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31718,1.79,1,1.213236774,8/7/2012,Granollers M.,0.79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53406,1.68,1,1.213230157,6/30/2021,Giron M.,0.68,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42864,1.41,1,1.213208752,1/2/2017,Dimitrov G.,0.41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31116,2.08,0,1.213207597,5/31/2012,Fognini F.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34424,1.36,1,1.213203127,8/10/2013,Raonic M.,0.36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47857,1.63,1,1.213163586,10/10/2018,De Minaur A.,0.63,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34156,1.72,1,1.213042704,7/16/2013,Mayer F.,0.72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38450,2.56,0,1.21304163,4/11/2015,Gimeno-Traver D.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57372,1.78,1,1.213024425,2/15/2023,Van De Zandschulp B.,0.78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33656,2.93,0,1.213002534,5/23/2013,Andujar P.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53786,2.1,1,1.21298241,8/17/2021,Sonego L.,1.1,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51111,1.62,1,1.212948386,2/21/2020,Auger-Aliassime F.,0.62,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44354,1.97,1,1.212942258,6/30/2017,Mannarino A.,0.97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56196,1.54,1,1.212936727,7/30/2022,Brooksby J.,0.54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38749,2.44,0,1.212923237,5/13/2015,Goffin D.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34818,1.34,1,1.212824034,10/11/2013,Tsonga J.W.,0.34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37754,1.69,1,1.212807757,1/19/2015,Bolelli S.,0.69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41096,1.35,1,1.212773845,4/12/2016,Tsonga J.W.,0.35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38858,1.91,1,1.212753409,5/25/2015,Becker B.,0.91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30888,1.63,1,1.212727732,5/5/2012,Cilic M.,0.63,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52499,1.46,1,1.212686974,3/17/2021,Kecmanovic M.,0.46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47120,2.23,0,1.212685444,7/17/2018,Harrison C.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50823,2.1,0,1.212610013,1/22/2020,Millman J.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32094,1.36,1,1.21255933,10/1/2012,Gasquet R.,0.36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41480,2.14,1,1.212554666,5/23/2016,Mannarino A.,1.14,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35900,1.94,0,1.212532732,4/16/2014,Rosol L.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46023,1.52,0,1.212472957,2/28/2018,Coric B.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42936,2.09,0,1.212408187,1/9/2017,Lorenzi P.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49393,1.45,1,1.212386299,6/3/2019,Nishikori K.,0.45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51819,1.55,1,1.212377447,10/29/2020,Mcdonald M.,0.55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46283,2.24,0,1.21235286,4/11/2018,Albot R.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43569,1.48,1,1.212292859,3/23/2017,Lu Y.H.,0.48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39219,1.42,1,1.212267372,7/4/2015,Troicki V.,0.42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38475,1.79,1,1.212242143,4/14/2015,Robredo T.,0.79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33577,1.33,1,1.212205141,5/14/2013,Wawrinka S.,0.33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30301,1.45,1,1.212182862,2/22/2012,Nishikori K.,0.45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44322,2.07,1,1.212074561,6/27/2017,Altmaier D.,1.07,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49748,2.23,1,1.2120683,7/17/2019,Bublik A.,1.23,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35401,1.88,0,1.212055734,2/12/2014,Haas T.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47987,1.53,1,1.212022231,10/24/2018,Coric B.,0.53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34499,2.71,0,1.211941055,8/20/2013,Nieminen J.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49001,1.76,1,1.2119323,4/23/2019,Garin C.,0.76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48403,2.01,0,1.211882355,2/8/2019,Albot R.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49529,2.74,0,1.21186368,6/24/2019,Klahn B.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55674,2.71,0,1.211742186,5/26/2022,Mcdonald M.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50300,1.94,0,1.211729588,9/21/2019,Bedene A.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42935,1.76,1,1.211673791,1/9/2017,Elias G.,0.76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57619,1.53,0,1.211655511,3/9/2023,Draper J.,-1,-100,0,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,
31575,2.39,0,1.211606592,7/18/2012,Gulbis E.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57478,1.36,1,1.211581313,2/23/2023,Norrie C.,0.36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56479,1.73,1,1.211570255,8/30/2022,Gasquet R.,0.73,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53293,1.46,1,1.211460898,6/21/2021,Khachanov K.,0.46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43191,2.01,0,1.211444575,2/13/2017,Mayer L.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33740,1.43,1,1.211430786,5/29/2013,Lopez F.,0.43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49854,1.88,1,1.211397147,7/26/2019,Carreno Busta P.,0.88,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56546,2.6,0,1.211389725,9/5/2022,Kyrgios N.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30538,2.3,0,1.21137902,3/21/2012,Clement A.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52468,1.64,1,1.211377856,3/16/2021,Khachanov K.,0.64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43469,1.81,0,1.211350848,3/10/2017,Pospisil V.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47426,2.72,0,1.211342566,8/13/2018,Querrey S.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50424,2.19,0,1.211335045,10/7/2019,Garin C.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34272,2.04,0,1.211311764,7/25/2013,Haase R.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31029,1.78,1,1.21130662,5/24/2012,Baker B.,0.78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39288,1.8,1,1.211272471,7/21/2015,Menendez-Maceiras A.,0.8,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49383,1.31,1,1.211269197,6/1/2019,Khachanov K.,0.31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37647,2.4,1,1.211258912,1/7/2015,Brown D.,1.4,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43183,2.4,0,1.211200602,2/11/2017,Lorenzi P.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41027,2.16,0,1.211131375,4/4/2016,Montanes A.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42698,1.69,1,1.211075975,10/20/2016,Kamke T.,0.69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37282,2.07,1,1.211074571,9/29/2014,Golubev A.,1.07,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35022,2.07,0,1.211071492,11/9/2013,Federer R.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46218,1.35,1,1.211061328,3/24/2018,Zverev A.,0.35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30264,3.27,0,1.211053637,2/20/2012,Dodig I.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31175,1.93,1,1.211021014,6/12/2012,Rosol L.,0.93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48465,1.45,1,1.210863089,2/13/2019,Monfils G.,0.45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51684,1.76,0,1.210826633,10/14/2020,Hanfmann Y.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36411,1.96,0,1.210791439,6/13/2014,Falla A.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54238,1.37,1,1.210787586,10/21/2021,Karatsev A.,0.37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32148,1.4,1,1.210718083,10/2/2012,Verdasco F.,0.4,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46693,1.53,1,1.210696476,5/27/2018,Delbonis F.,0.53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43858,1.4,1,1.210610342,5/3/2017,Gasquet R.,0.4,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35150,1.46,1,1.210591167,1/8/2014,Isner J.,0.46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39901,1.54,1,1.210587498,10/4/2015,Ferrer D.,0.54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49795,2.89,0,1.210560311,7/23/2019,Ebden M.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34259,1.37,1,1.210537781,7/24/2013,Monfils G.,0.37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32959,1.52,1,1.210480581,2/21/2013,Ramos A.,0.52,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55966,2.43,0,1.210409985,6/30/2022,Brooksby J.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55713,1.45,1,1.210409275,6/3/2022,Ruud C.,0.45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54429,2.01,0,1.210401234,1/6/2022,Van De Zandschulp B.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42591,3.22,0,1.210396242,10/10/2016,Pospisil V.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32562,1.7,1,1.210388361,1/7/2013,Rochus O.,0.7,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30288,1.7,1,1.21034707,2/21/2012,Paire B.,0.7,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44826,2.32,0,1.210337348,8/15/2017,Ramanathan R.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54118,2.33,1,1.210333936,10/7/2021,Taberner C.,1.33,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47425,2.29,0,1.210321695,8/13/2018,Chardy J.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32392,2.07,0,1.210317999,10/25/2012,Almagro N.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51855,1.96,1,1.210235385,11/3/2020,Carreno Busta P.,0.96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46059,2.3,0,1.210231627,3/2/2018,Jarry N.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35122,2.19,0,1.210198469,1/7/2014,Garcia-Lopez G.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38327,1.83,1,1.210186169,3/26/2015,Zverev A.,0.83,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48350,2.45,0,1.210140499,2/4/2019,Cachin P.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32791,1.46,1,1.210131749,2/7/2013,Rosol L.,0.46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55141,2.48,0,1.210124601,3/26/2022,Nishioka Y.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48047,1.4,1,1.210109758,10/31/2018,Isner J.,0.4,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42904,1.35,1,1.210101492,1/5/2017,Youzhny M.,0.35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35616,1.84,0,1.210018194,2/28/2014,Dimitrov G.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49851,2.04,1,1.210003302,7/26/2019,Andujar P.,1.04,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39720,3,0,1.209960868,9/1/2015,Melzer J.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44335,1.88,0,1.209915148,6/28/2017,Altmaier D.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53878,1.44,1,1.209893233,8/30/2021,Koepfer D.,0.44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49406,1.68,1,1.209879498,6/10/2019,Haase R.,0.68,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38397,1.61,1,1.209877605,4/3/2015,Murray A.,0.61,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55361,1.49,1,1.209851673,4/22/2022,Schwartzman D.,0.49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33592,2.15,1,1.209799057,5/15/2013,Simon G.,1.15,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35166,1.91,1,1.209772527,1/13/2014,Robredo T.,0.91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36493,1.38,1,1.2097096,6/23/2014,Stakhovsky S.,0.38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49432,1.63,1,1.209662002,6/12/2019,De Minaur A.,0.63,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33028,2.32,0,1.209652614,2/26/2013,Davydenko N.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48959,1.5,1,1.209645727,4/16/2019,Auger-Aliassime F.,0.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39878,1.56,1,1.209640139,9/30/2015,Zverev M.,0.56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55473,1.84,1,1.209614531,5/6/2022,Alcaraz C.,0.84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41714,2.19,1,1.209569549,6/21/2016,Evans D.,1.19,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52907,2.18,1,1.209568284,5/8/2021,Berrettini M.,1.18,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47241,2.75,0,1.209566893,7/26/2018,Baghdatis M.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50651,2.38,1,1.209555625,10/31/2019,Dimitrov G.,1.38,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36490,1.63,1,1.209549815,6/23/2014,Becker B.,0.63,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34649,3.2,0,1.209455124,9/4/2013,Gasquet R.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41649,2.16,1,1.20940417,6/14/2016,Tomic B.,1.16,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45962,1.47,1,1.209371939,2/23/2018,Johnson S.,0.47,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48328,3.23,0,1.209371934,1/20/2019,Tiafoe F.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31445,1.68,0,1.209340241,7/10/2012,Chardy J.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51531,1.84,0,1.209315652,9/27/2020,Rublev A.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45078,1.85,1,1.209293005,9/22/2017,Basilashvili N.,0.85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33619,1.76,0,1.209255223,5/19/2013,Brands D.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36690,2.8,0,1.209232356,7/14/2014,Krajinovic F.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43782,1.75,1,1.209191121,4/26/2017,Bedene A.,0.75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40714,1.59,1,1.20917841,2/18/2016,Delbonis F.,0.59,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43601,1.41,1,1.209175034,3/25/2017,Verdasco F.,0.41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51083,1.45,1,1.209058943,2/19/2020,Kwon S.W.,0.45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53296,2.3,0,1.20896832,6/22/2021,Mannarino A.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35864,2.62,1,1.208887006,4/13/2014,Garcia-Lopez G.,1.62,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47789,1.42,1,1.208878321,10/3/2018,Del Potro J.M.,0.42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34510,1.38,1,1.20887762,8/20/2013,Lu Y.H.,0.38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41957,1.78,1,1.208871059,7/18/2016,Munoz De La Nava D.,0.78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49990,2.96,0,1.208865443,8/7/2019,Hurkacz H.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47767,1.53,1,1.208843626,10/1/2018,Edmund K.,0.53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34137,1.83,1,1.208751697,7/13/2013,Verdasco F.,0.83,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34270,2.3,0,1.208750178,7/25/2013,Granollers M.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46346,1.65,1,1.208700685,4/18/2018,Seppi A.,0.65,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53148,1.77,0,1.208686458,6/2/2021,Delbonis F.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38124,1.31,1,1.208664134,2/23/2015,Sousa J.,0.31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39294,2.73,0,1.208651897,7/21/2015,Darcis S.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36213,1.39,1,1.208640979,5/25/2014,Dolgopolov O.,0.39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50918,1.59,1,1.208625493,2/5/2020,Sugita Y.,0.59,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52425,2.31,0,1.208591467,3/11/2021,Varillas J. P.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36795,1.53,1,1.208565572,7/23/2014,Robredo T.,0.53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37883,1.57,1,1.208544663,2/3/2015,De Schepper K.,0.57,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52184,1.49,1,1.208535431,2/11/2021,Fognini F.,0.49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42863,1.73,1,1.208504895,1/2/2017,Federer R.,0.73,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39877,1.45,1,1.208472674,9/30/2015,Sousa J.,0.45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43344,1.53,1,1.208462457,2/24/2017,Pouille L.,0.53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54030,2.45,0,1.208457439,9/22/2021,Rune H.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41731,1.83,1,1.208447662,6/22/2016,Baghdatis M.,0.83,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34250,1.58,1,1.208432977,7/24/2013,Youzhny M.,0.58,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53954,1.86,0,1.208432804,9/2/2021,Brooksby J.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48460,2,1,1.208423717,2/13/2019,Fucsovics M.,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43549,1.48,1,1.208378753,3/22/2017,Sela D.,0.48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39394,1.53,1,1.208366597,7/29/2015,Vesely J.,0.53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35454,1.97,1,1.20829979,2/17/2014,Bagnis F.,0.97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45352,2.94,0,1.208245976,10/24/2017,Ramos-Vinolas A.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34256,1.37,1,1.208177948,7/24/2013,Dodig I.,0.37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40868,2.54,0,1.208131818,3/12/2016,De Bakker T.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55315,2.01,0,1.208130147,4/19/2022,Daniel T.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30912,1.6,1,1.208110823,5/8/2012,Granollers M.,0.6,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47043,3.14,0,1.208093516,7/3/2018,Albot R.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42971,1.65,1,1.20809018,1/12/2017,Muller G.,0.65,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51696,1.43,1,1.208079397,10/15/2020,Raonic M.,0.43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44691,2.44,0,1.20803283,8/2/2017,Tursunov D.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40631,2.66,0,1.208030477,2/11/2016,Becker B.,-1,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56715,1.58,1,1.207950463,10/5/2022,Ruusuvuori E.,0.58,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47921,1.46,1,1.207930358,10/17/2018,Chung H.,0.46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53983,1.5,1,1.207890157,9/4/2021,Berrettini M.,0.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43472,1.39,1,1.207885193,3/10/2017,Fognini F.,0.39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
