match,PSW,win0,confidence0,date,winner,
55310,1.51,1,0.97639183,4/19/2022,Lehecka J.,0.51
48872,1.22,1,0.976379985,3/29/2019,Federer R.,0.22
53612,4.46,0,0.976366656,7/23/2021,Gaston H.,-1
49618,1.18,1,0.976359333,7/2/2019,Kukushkin M.,0.18
47857,1.63,1,0.9763556,10/10/2018,De Minaur A.,0.63
51743,1.63,1,0.976342634,10/20/2020,Herbert P.H.,0.63
51661,1.63,1,0.976324364,10/13/2020,Djere L.,0.63
53941,1.02,1,0.976301111,9/1/2021,Medvedev D.,0.02
51153,2.4,0,0.976288761,2/25/2020,Olivo R.,-1
52258,1.38,1,0.976278769,2/24/2021,Ebden M.,0.38
54540,1.16,1,0.976277287,1/18/2022,Fritz T.,0.16
46054,1.81,1,0.976269831,3/2/2018,Cuevas P.,0.81
52984,3.55,0,0.976233737,5/18/2021,Andujar P.,-1
52420,1.2,1,0.97622977,3/11/2021,Rublev A.,0.2
56709,7.15,0,0.976223672,10/4/2022,Goffin D.,-1
51648,3.05,0,0.976223023,10/12/2020,Pellegrino A.,-1
52164,2.39,0,0.976187618,2/10/2021,Mannarino A.,-1
47670,2.1,0,0.976143304,9/19/2018,Pella G.,-1
52809,3.61,0,0.976137444,4/27/2021,Galan D.E.,-1
49289,1.28,1,0.976126502,5/26/2019,Ruud C.,0.28
55440,1.25,1,0.976114986,5/2/2022,Monfils G.,0.25
56799,2.33,0,0.976114638,10/15/2022,Wolf J.J.,-1
46517,2.82,0,0.976085267,5/5/2018,Tiafoe F.,-1
49591,1.39,1,0.976081452,7/1/2019,Anderson K.,0.39
57494,1.79,1,0.976077911,2/24/2023,Fils A.,0.79
54617,1.06,1,0.976027688,1/22/2022,De Minaur A.,0.06
46518,1.67,1,0.976014647,5/5/2018,Jaziri M.,0.67
51295,1.71,1,0.976010577,8/31/2020,Thompson J.,0.71
46407,1.57,1,0.976001793,4/25/2018,Carreno Busta P.,0.57
53135,1.03,1,0.975948442,6/2/2021,Tsitsipas S.,0.03
55739,1.65,1,0.975905901,6/8/2022,Basilashvili N.,0.65
49158,1.38,1,0.975893509,5/9/2019,Thiem D.,0.38
47149,1.37,1,0.975878032,7/18/2018,Mannarino A.,0.37
53303,1.29,1,0.975877813,6/22/2021,Millman J.,0.29
51074,1.35,1,0.975865987,2/18/2020,Stebe C.M.,0.35
56447,2.91,0,0.975864099,8/29/2022,Van Rijthoven T.,-1
48121,1.35,1,0.975861155,1/2/2019,Anderson K.,0.35
50112,1.43,1,0.975793268,8/22/2019,Hurkacz H.,0.43
52556,1.32,1,0.975778973,3/26/2021,Bautista Agut R.,0.32
56576,1.15,1,0.975774487,9/21/2022,Bublik A.,0.15
53005,2.12,0,0.975751862,5/20/2021,Djere L.,-1
48737,2.64,0,0.975744912,3/10/2019,Krajinovic F.,-1
55163,1.22,1,0.975744464,3/28/2022,Zverev A.,0.22
47604,1.29,1,0.975734017,8/30/2018,Goffin D.,0.29
55714,1.19,1,0.975725911,6/5/2022,Nadal R.,0.19
49470,1.33,1,0.975693803,6/18/2019,Berrettini M.,0.33
50586,1.03,1,0.975661668,10/23/2019,Federer R.,0.03
54667,1.22,1,0.975656974,2/2/2022,Bautista Agut R.,0.22
49138,1.47,1,0.975651206,5/7/2019,Wawrinka S.,0.47
54942,1.58,1,0.975645114,2/23/2022,Mcdonald M.,0.58
55853,4.74,0,0.975622745,6/21/2022,Martinez P.,-1
48080,1.34,1,0.975609617,12/31/2018,Bautista Agut R.,0.34
55834,1.16,1,0.975607475,6/20/2022,Bautista Agut R.,0.16
56275,1.23,1,0.975597886,8/7/2022,Kyrgios N.,0.23
49656,1.27,1,0.975584929,7/4/2019,Nadal R.,0.27
53985,1.28,1,0.975520946,9/5/2021,Alcaraz C.,0.28
54127,1.56,1,0.975494472,10/8/2021,Anderson K.,0.56
51736,1.12,1,0.975481501,10/20/2020,Sinner J.,0.12
50522,3.6,0,0.975479577,10/17/2019,Sinner J.,-1
48071,1.49,1,0.975449279,11/14/2018,Cilic M.,0.49
47086,1.1,1,0.975409564,7/7/2018,Nadal R.,0.1
56358,4.89,0,0.975402992,8/17/2022,Shelton B.,-1
54195,3.22,0,0.975393713,10/13/2021,Basilashvili N.,-1
53636,2.43,0,0.97535682,7/27/2021,Altmaier D.,-1
54430,1.66,1,0.975346991,1/6/2022,Molcan A.,0.66
54992,2.37,0,0.975321707,2/26/2022,Martinez P.,-1
45535,3.55,0,0.975315088,1/5/2018,Simon G.,-1
50463,1.09,1,0.975280088,10/10/2019,Djokovic N.,0.09
54593,1.27,1,0.975252453,1/20/2022,De Minaur A.,0.27
54368,1.15,1,0.975244494,11/9/2021,Van De Zandschulp B.,0.15
54474,2.19,0,0.975211748,1/11/2022,Fucsovics M.,-1
53369,1.07,1,0.975187863,6/29/2021,Zverev A.,0.07
54216,1.67,1,0.975170631,10/19/2021,Paul T.,0.67
48731,1.19,1,0.975131673,3/10/2019,Cilic M.,0.19
55920,1.75,1,0.975099408,6/28/2022,Broady L.,0.75
53147,1.03,1,0.975074788,6/2/2021,Zverev A.,0.03
47937,1.15,1,0.975049316,10/19/2018,Khachanov K.,0.15
52443,2.35,0,0.975020306,3/13/2021,Bagnis F.,-1
46334,1.61,1,0.975011457,4/17/2018,Gasquet R.,0.61
54267,1.16,1,0.975010824,10/26/2021,Zverev A.,0.16
51870,4.93,0,0.974993841,11/4/2020,Thompson J.,-1
47678,1.29,1,0.974980913,9/19/2018,Gasquet R.,0.29
48849,1.52,1,0.974977138,3/25/2019,Coric B.,0.52
46675,2.76,0,0.974945921,5/24/2018,Fucsovics M.,-1
48535,2.44,0,0.974847167,2/19/2019,Opelka R.,-1
55189,1.54,1,0.974845543,4/5/2022,Djere L.,0.54
55121,2.46,0,0.974845271,3/25/2022,Mcdonald M.,-1
48892,1.63,1,0.974840224,4/9/2019,Herbert P.H.,0.63
51527,1.43,1,0.974815438,9/27/2020,Fritz T.,0.43
45983,1.47,1,0.974796134,2/26/2018,Paire B.,0.47
55754,1.09,1,0.974775585,6/9/2022,Medvedev D.,0.09
50873,4.03,0,0.974762954,1/27/2020,Wawrinka S.,-1
52340,1.54,1,0.97476085,3/3/2021,Khachanov K.,0.54
49080,1.44,1,0.97473999,4/30/2019,Millman J.,0.44
49659,1.17,1,0.974715388,7/4/2019,Pouille L.,0.17
48630,2.08,0,0.974707825,2/27/2019,Garin C.,-1
57009,2.51,0,0.974693503,11/16/2022,Tsitsipas S.,-1
56580,1.28,1,0.974650824,9/22/2022,Giron M.,0.28
49145,1.12,1,0.97464716,5/8/2019,Tsitsipas S.,0.12
57411,2.72,0,0.97463046,2/18/2023,Zapata Miralles B.,-1
56961,1.56,1,0.974627153,11/1/2022,Khachanov K.,0.56
48357,1.5,1,0.974593495,2/5/2019,Krajinovic F.,0.5
48571,2.14,0,0.974591359,2/21/2019,Auger-Aliassime F.,-1
56886,1.12,1,0.974568024,10/24/2022,Rublev A.,0.12
50481,1.25,1,0.974550726,10/15/2019,Kecmanovic M.,0.25
55810,1.21,1,0.974547401,6/16/2022,Berrettini M.,0.21
51612,1.01,1,0.97451361,10/2/2020,Nadal R.,0.01
57446,1.48,1,0.974499357,2/21/2023,Cerundolo F.,0.48
53394,3.05,0,0.974481879,6/30/2021,Fritz T.,-1
51315,1.13,1,0.97445358,9/1/2020,Rublev A.,0.13
46650,1.61,1,0.974453469,5/21/2018,Donaldson J.,0.61
48057,1.47,1,0.97443857,11/2/2018,Federer R.,0.47
51345,1.15,1,0.974438538,9/2/2020,Struff J.L.,0.15
57192,1.11,1,0.97441307,1/18/2023,Norrie C.,0.11
53395,1.03,1,0.974401362,6/30/2021,Sonego L.,0.03
53114,1.01,1,0.974364209,6/1/2021,Djokovic N.,0.01
53976,1.01,1,0.974360331,9/3/2021,Djokovic N.,0.01
53906,1.08,1,0.974295672,8/31/2021,Sinner J.,0.08
48754,1.64,1,0.974255571,3/11/2019,Karlovic I.,0.64
53110,1.06,1,0.97422843,5/31/2021,Ruud C.,0.06
52568,1.6,1,0.974222612,3/26/2021,Fritz T.,0.6
50583,1.28,1,0.97421536,10/23/2019,Monfils G.,0.28
52163,1.05,1,0.974208096,2/9/2021,Tsitsipas S.,0.05
53894,2.51,0,0.974206122,8/30/2021,Bagnis F.,-1
52056,1.15,1,0.974203535,2/3/2021,Auger-Aliassime F.,0.15
50755,1.03,1,0.974202835,1/20/2020,Federer R.,0.03
51654,4.41,0,0.974184243,10/12/2020,Zverev M.,-1
52848,1.56,1,0.974170478,5/1/2021,Basilashvili N.,0.56
50664,1.17,1,0.974165907,11/12/2019,Federer R. ,0.17
48850,1.33,1,0.974160867,3/25/2019,Kyrgios N.,0.33
57316,1.19,1,0.974142622,2/10/2023,Rune H.,0.19
51206,1.13,1,0.974134345,2/28/2020,Djokovic N.,0.13
53795,1.21,1,0.974128559,8/17/2021,Korda S.,0.21
46623,1.54,1,0.974122806,5/17/2018,Cilic M.,0.54
54553,1.58,1,0.974035262,1/18/2022,Baez S.,0.58
57180,3.32,0,0.974000506,1/17/2023,Chardy J.,-1
55666,1.48,1,0.973964699,5/25/2022,Khachanov K.,0.48
55910,2.36,0,0.973945605,6/28/2022,Gray A.,-1
49471,1.05,1,0.973926857,6/18/2019,Federer R.,0.05
52496,1.06,1,0.973892597,3/17/2021,Tsitsipas S.,0.06
54587,1.05,1,0.973888171,1/20/2022,Sinner J.,0.05
49921,1.41,1,0.973865814,7/31/2019,Albot R.,0.41
52339,1.17,1,0.97386231,3/3/2021,Rublev A.,0.17
50903,1.1,1,0.973847063,2/4/2020,Vesely J.,0.1
45822,1.24,1,0.973823187,2/13/2018,Gojowczyk P.,0.24
54291,1.28,1,0.973818686,10/27/2021,Monfils G.,0.28
52193,1.06,1,0.97381854,2/11/2021,Rublev A.,0.06
49999,1.33,1,0.973813963,8/7/2019,Zverev A.,0.33
47241,4.14,0,0.973803308,7/26/2018,Zopp J.,-1
48965,6.2,0,0.973788582,4/17/2019,Fritz T.,-1
57421,1.21,1,0.973787826,2/19/2023,Alcaraz C.,0.21
54073,1.13,1,0.973749489,9/29/2021,Ivashka I.,0.13
49694,1.19,1,0.973744636,7/10/2019,Bautista Agut R.,0.19
57483,1.27,1,0.973743404,2/23/2023,Hurkacz H.,0.27
