match,PSW,win0,confidence0,date,winner,,,
29472,1.43,0,1.990061862,10/5/2019,Barty A.,-1,-50,
28214,1.28,0,1.98866225,5/19/2019,Putintseva Y.,-1,-50,
29652,1.35,0,1.985193771,1/7/2020,Osaka N.,-1,-50,
23134,1.56,0,1.982635828,5/3/2017,Giorgi C.,-1,-50,
23135,1.53,0,1.977633449,5/3/2017,Barthel M.,-1,-50,
33262,2.65,1,1.971952912,1/13/2022,Kasatkina D.,1.65,82.5,
25609,1.43,0,1.971255696,5/3/2018,Mertens E.,-1,-50,
27903,1.51,0,1.969516996,4/6/2019,Wozniacki C.,-1,-50,
22248,1.46,0,1.966489563,1/4/2017,Cibulkova D.,-1,-50,
30400,1.49,0,1.963368948,9/7/2020,Osaka N.,-1,-50,
32696,1.53,0,1.961345056,9/13/2021,Cirstea S.,-1,-50,
34654,1.55,0,1.96110393,7/18/2022,Petkovic A.,-1,-50,
23256,1.52,0,1.960031768,5/18/2017,Svitolina E.,-1,-50,
33066,1.58,0,1.950770454,10/28/2021,Wang Xin.,-1,-50,
25081,1.55,0,1.943128772,2/19/2018,Lisicki S.,-1,-50,
28703,1.35,0,1.939900218,7/15/2019,Gavrilova D.,-1,-50,
32282,1.44,0,1.932419184,7/16/2021,Wang Xin.,-1,-50,
25498,1.54,0,1.929642078,4/14/2018,Mertens E.,-1,-50,
31612,1.43,0,1.92777324,5/5/2021,Sabalenka A.,-1,-50,
33489,3.2,1,1.927669525,2/21/2022,Martincova T.,2.2,110,
22815,2.55,1,1.925721619,3/22/2017,Cepede Royg V.,1.55,77.5,
29048,1.53,0,1.925463355,8/26/2019,Gasparyan M.,-1,-50,
28080,1.68,0,1.925398167,5/2/2019,Teichmann J.,-1,-50,
24635,1.53,0,1.919560057,10/18/2017,Parmentier P.,-1,-50,
32197,2.79,1,1.909787203,7/8/2021,Pliskova Ka.,1.79,89.5,
26465,1.44,0,1.906607777,8/13/2018,Azarenka V.,-1,-50,
23967,1.42,0,1.905070809,8/9/2017,Pliskova Ka.,-1,-50,
34063,1.48,0,1.904112071,5/14/2022,Jabeur O.,-1,-50,
22433,2.42,1,1.901205458,1/20/2017,Barthel M.,1.42,71,
23220,1.5,0,1.900427172,5/15/2017,Barthel M.,-1,-50,
29664,2.83,1,1.899350997,1/7/2020,Blinkova A.,1.83,91.5,
32179,1.53,0,1.896150032,7/5/2021,Sabalenka A.,-1,-50,
24349,2.72,1,1.894628742,9/23/2017,Pavlyuchenkova A.,1.72,86,
28155,1.51,0,1.890791755,5/13/2019,Keys M.,-1,-50,
32361,1.51,0,1.886049857,7/23/2021,Ruse E.G.,-1,-50,
27919,3.56,1,1.883340028,4/9/2019,Rodina E.,2.56,128,
29411,2.3,1,1.880276745,9/27/2019,Sabalenka A.,1.3,65,
30015,1.47,0,1.877919831,2/24/2020,Bertens K.,-1,-50,
34808,1.55,0,1.87509829,8/4/2022,Jabeur O.,-1,-50,
23554,1.62,0,1.874088162,6/21/2017,Lisicki S.,-1,-50,
29977,1.48,0,1.870612768,2/19/2020,Rybakina E.,-1,-50,
32620,1.56,0,1.866952942,8/31/2021,Martic P.,-1,-50,
24720,1.42,0,1.866059193,1/2/2018,Konta J.,-1,-50,
33462,1.58,0,1.865331802,2/17/2022,Vondrousova M.,-1,-50,
29073,2.57,1,1.864339391,8/27/2019,Di Lorenzo F.,1.57,78.5,
28195,1.35,0,1.861368256,5/16/2019,Osaka N.,-1,-50,
29008,2.27,1,1.857407631,8/19/2019,Ahn K.,1.27,63.5,
29389,1.54,0,1.857225253,9/25/2019,Sabalenka A.,-1,-50,
28441,2.24,1,1.854776421,6/13/2019,Rybakina E.,1.24,62,
24279,1.51,0,1.852099236,9/18/2017,Barthel M.,-1,-50,
24242,1.5,0,1.849873361,9/13/2017,Babos T.,-1,-50,
30982,1.49,0,1.847220182,2/13/2021,Kasatkina D.,-1,-50,
23464,2.5,1,1.845383823,6/12/2017,Fett J.,1.5,75,
26252,2.49,1,1.845322188,7/17/2018,Jabeur O.,1.49,74.5,
