match,PSW,win0,confidence0,date,winner,,correct?,,
21896,1.43,0,2.121443091,9/27/2016,Keys M.,,,,
25301,1.46,0,2.119268069,3/22/2018,Muguruza G.,,,,
31355,1.34,0,2.109653687,3/27/2021,Barty A.,,,,
13044,1.43,0,2.108886385,4/4/2013,Wozniacki C.,,,,
24712,1.37,0,2.102262059,1/1/2018,Zhang S.,,,,
19790,1.42,0,2.078190125,1/12/2016,Stosur S.,,,,
15798,1.46,0,2.076652787,5/21/2014,Svitolina E.,,,,
35365,2.82,1,2.068560272,10/9/2022,Krejcikova B.,,,,
24406,3.49,1,2.057732779,9/26/2017,Kasatkina D.,,,,
13426,2.75,1,2.054475445,5/29/2013,Cetkovska P.,,,,
29608,1.55,0,2.053417677,10/27/2019,Sabalenka A.,,,,
26513,2.79,1,2.052227732,8/17/2018,Bertens K.,,,,
29158,1.44,0,2.046190469,9/9/2019,Garcia C.,,,,
32376,1.44,0,2.044593483,8/3/2021,Mladenovic K.,,,,
25521,2.95,1,2.041596543,4/25/2018,Vandeweghe C.,,,,
34064,1.48,0,2.04092228,5/14/2022,Jabeur O.,,,,
13862,1.49,0,2.03814762,7/17/2013,Hlavackova A.,,,,
35944,1.4,0,2.031670147,2/22/2023,Pliskova Ka.,,,,
32679,1.32,0,2.030258845,9/5/2021,Sabalenka A.,,,,
17289,1.46,0,2.030022159,1/16/2015,Kvitova P.,,,,
29397,3.41,1,2.02732017,9/25/2019,Yastremska D.,,,,
24718,1.42,0,2.026916827,1/2/2018,Konta J.,,,,
12789,3,1,2.018707001,3/2/2013,Mattek-Sands B.,,,,
35368,3.06,1,2.015678919,10/10/2022,Trevisan M.,,,,
25923,1.45,0,2.011829683,6/6/2018,Halep S.,,,,
12411,2.84,1,2.007783589,1/15/2013,Gavrilova D.,,,,
28027,1.52,0,2.004169272,4/28/2019,Kvitova P.,,,,
25210,3.05,1,2.001541685,3/10/2018,Vesnina E.,,,,
11793,2.59,1,2.000615899,8/30/2012,Soler Espinosa S.,,,,
34828,1.56,0,1.995753015,8/8/2022,Stephens S.,,,,
14401,1.59,0,1.993807107,9/22/2013,Bencic B.,,,,
31223,1.43,0,1.989873408,3/12/2021,Muguruza G.,,,,
12847,1.48,0,1.9892027,3/9/2013,Kuznetsova S.,,,,
16047,1.45,0,1.98687661,6/19/2014,Wozniacki C.,,,,
16236,3.71,1,1.982197184,7/11/2014,Rogers S.,,,,
24813,1.51,0,1.980003575,1/9/2018,Tsurenko L.,,,,
17145,3.09,1,1.974189267,1/4/2015,Lepchenko V.,,,,
21491,1.41,0,1.968303283,8/4/2016,Babos T.,,,,
27687,1.55,0,1.964920441,3/9/2019,Williams S.,,,,
28272,1.5,0,1.962032094,5/26/2019,Svitolina E.,,,,
34809,1.55,0,1.960522379,8/4/2022,Jabeur O.,,,,
33120,2.9,1,1.95974821,11/15/2021,Muguruza G.,,,,
16737,2.6,1,1.958252211,9/11/2014,Hlavackova A.,,,,
33622,1.37,0,1.957574463,3/10/2022,Osaka N.,,,,
13235,2.44,1,1.952400631,5/8/2013,Kanepi K.,,,,
32996,1.34,0,1.951780016,10/20/2021,Sabalenka A.,,,,
14481,1.45,0,1.949319368,9/30/2013,Ivanovic A.,,,,
28441,2.24,1,1.948153044,6/13/2019,Rybakina E.,,,,
27110,1.5,0,1.94631402,10/18/2018,Goerges J.,,,,
16896,1.53,0,1.946224446,9/25/2014,Bouchard E.,,,,
22306,2.73,1,1.946057747,1/10/2017,Bouchard E.,,,,
10716,1.52,0,1.945813575,4/27/2012,Radwanska A.,,,,
22878,1.52,0,1.942802562,3/29/2017,Wozniacki C.,,,,
33423,1.29,0,1.939440545,2/9/2022,Bencic B.,,,,
14590,1.44,0,1.935920326,10/15/2013,Zakopalova K.,,,,
21090,1.38,0,1.935559504,6/21/2016,Kvitova P.,,,,
16297,1.6,0,1.935320186,7/18/2014,Scheepers C.,,,,
23332,1.45,0,1.934268853,5/28/2017,Cibulkova D.,,,,
19351,2.51,1,1.933373127,9/28/2015,Friedsam A.L.,,,,
24478,1.54,0,1.93068226,10/3/2017,Sharapova M.,,,,
16163,1.49,0,1.929572139,6/28/2014,Bouchard E.,,,,
23036,1.59,0,1.927836923,4/25/2017,Kuznetsova S.,,,,
21891,1.41,0,1.924356997,9/27/2016,Broady N.,,,,
24076,2.89,1,1.922587462,8/26/2017,Gavrilova D.,,,,
30278,1.53,0,1.918123131,8/26/2020,Osaka N.,,,,
24442,1.5,0,1.917255173,9/30/2017,Sharapova M.,,,,
10857,1.43,0,1.916499282,5/14/2012,Goerges J.,,,,
29761,1.54,0,1.914469793,1/16/2020,Barty A.,,,,
34811,2.99,1,1.910796367,8/5/2022,Kudermetova V.,,,,
24647,1.59,0,1.909878128,10/20/2017,Witthoeft C.,,,,
32696,1.53,0,1.909282838,9/13/2021,Cirstea S.,,,,
12311,1.33,0,1.908162461,1/5/2013,Li N.,,,,
10258,1.44,0,1.907754891,2/22/2012,Ivanovic A.,,,,
17056,1.4,0,1.907627003,10/13/2014,Pironkova T.,,,,
26436,1.51,0,1.906184399,8/8/2018,Svitolina E.,,,,
26345,2.21,1,1.90608732,7/28/2018,Danilovic O.,,,,
32265,1.49,0,1.902559533,7/14/2021,Garcia C.,,,,
17247,1.55,0,1.898168969,1/12/2015,Muguruza G.,,,,
34653,1.51,0,1.894329315,7/18/2022,Sasnovich A.,,,,
15486,1.59,0,1.893445176,4/9/2014,Scheepers C.,,,,
25006,2.34,1,1.893398402,2/1/2018,Wang Yaf.,,,,
11005,1.49,0,1.891578747,5/28/2012,Govortsova O.,,,,
26980,2.63,1,1.890602114,10/8/2018,Tomova V.,,,,
21923,1.47,0,1.890020189,9/28/2016,Allertova D.,,,,
29386,1.54,0,1.889580057,9/25/2019,Sabalenka A.,,,,
25550,1.55,0,1.889333567,4/27/2018,Sakkari M.,,,,
31499,1.61,0,1.883161804,4/19/2021,Wang Q.,,,,
32344,1.56,0,1.882014043,7/21/2021,Dodin O.,,,,
23622,1.36,0,1.881719952,6/29/2017,Pliskova Ka.,,,,
24498,2.82,1,1.879869214,10/6/2017,Garcia C.,,,,
27298,1.53,0,1.879600577,1/11/2019,Barty A.,,,,
25536,1.53,0,1.878901567,4/26/2018,Svitolina E.,,,,
24193,3.16,1,1.876325905,9/4/2017,Kvitova P.,,,,
24438,1.5,0,1.875812783,9/29/2017,Babos T.,,,,
24376,2.84,1,1.874217707,9/25/2017,Wang Q.,,,,
16376,1.43,0,1.873205161,7/31/2014,Kuznetsova S.,,,,
