match,PSW,win0,confidence0,date,winner,,,,
27926,3.56,1,2.237135309,4/9/2019,Rodina E.,,,,
31352,1.39,0,2.233345308,3/27/2021,Sabalenka A.,,,,
33689,3.02,1,2.231943405,3/14/2022,Vondrousova M.,,,,
31919,1.41,0,2.226703052,6/9/2021,Zhang S.,,,,
8705,3.34,1,2.213521871,6/14/2011,Jovanovski B.,,,,
8723,1.38,0,2.196244376,6/15/2011,Stosur S.,,,,
29389,1.44,0,2.193999196,9/25/2019,Barty A.,,,,
21004,1.33,0,2.193000406,6/13/2016,Keys M.,,,,
30835,1.41,0,2.190294383,2/3/2021,Williams S.,,,,
21892,1.43,0,2.187839248,9/27/2016,Keys M.,,,,
15591,1.22,0,2.187823057,4/25/2014,Muguruza G.,,,,
33677,1.3,0,2.186434226,3/13/2022,Samsonova L.,,,,
13552,1.41,0,2.180204967,6/12/2013,Schiavone F.,,,,
27705,1.32,0,2.174596585,3/11/2019,Kerber A.,,,,
12433,1.28,0,2.172344764,1/15/2013,Kvitova P.,,,,
14857,3.36,1,2.172242399,1/14/2014,Svitolina E.,,,,
29984,2.86,1,2.167940587,2/20/2020,Rybakina E.,,,,
14085,1.38,0,2.165677595,8/13/2013,Williams V.,,,,
15474,3.37,1,2.164657819,4/8/2014,Duque Marino M.,,,,
16056,2.8,1,2.161700734,6/21/2014,Keys M.,,,,
33988,3.61,1,2.152495155,5/1/2022,Sorribes Tormo S.,,,,
22306,2.73,1,2.131211198,1/10/2017,Bouchard E.,,,,
12853,1.48,0,2.126637986,3/9/2013,Kuznetsova S.,,,,
13184,3.46,1,2.125196722,5/2/2013,Oprandi R.,,,,
20409,3.26,1,2.124821095,4/4/2016,Dominguez Lino L.,,,,
20530,1.54,0,2.121377097,4/20/2016,Pliskova Ka.,,,,
13867,1.49,0,2.120553841,7/17/2013,Hlavackova A.,,,,
10444,1.31,0,2.120495093,3/13/2012,Ivanovic A.,,,,
18067,3.83,1,2.106711096,4/30/2015,Babos T.,,,,
8864,1.36,0,2.103307841,6/28/2011,Kvitova P.,,,,
21984,1.46,0,2.097898223,10/5/2016,Garcia C.,,,,
33104,1.41,0,2.096783798,11/10/2021,Kontaveit A.,,,,
21070,1.33,0,2.096143256,6/21/2016,Radwanska A.,,,,
24703,1.37,0,2.084451647,1/1/2018,Zhang S.,,,,
35913,1.33,0,2.083703396,2/20/2023,Muchova K.,,,,
