match,PSW,win0,confidence0,date,winner,,,correct pred?
23388,1.52,0,1.644464225,5/30/2017,Martic P.,-1,-100,
28517,2.61,1,1.64329319,6/22/2019,Bencic B.,1.61,161,
28146,1.48,0,1.640369771,5/9/2019,Halep S.,-1,-100,
24197,1.55,0,1.639628484,9/5/2017,Stephens S.,-1,-100,
28027,1.52,0,1.639240367,4/28/2019,Kvitova P.,-1,-100,
32562,2.36,1,1.639073557,8/27/2021,Begu I.,1.36,136,
24581,2.83,1,1.639046471,10/13/2017,Buzarnescu M.,1.83,183,
29718,2.32,1,1.635371898,1/13/2020,Kuzmova V.,1.32,132,
32325,1.49,0,1.634024751,7/20/2021,Bronzetti L.,-1,-100,
24812,1.51,0,1.628581621,1/9/2018,Tsurenko L.,-1,-100,
28157,2.77,1,1.625226693,5/13/2019,Williams V.,1.77,177,
32445,1.65,0,1.625014448,8/13/2021,Sabalenka A.,-1,-100,
26513,2.79,1,1.62478957,8/17/2018,Bertens K.,1.79,179,
31221,1.43,0,1.62451624,3/12/2021,Muguruza G.,-1,-100,
27091,2.47,1,1.624393645,10/16/2018,Bouchard E.,1.47,147,
25076,1.55,0,1.618836714,2/19/2018,Lisicki S.,-1,-100,
29768,1.54,0,1.616605192,1/16/2020,Barty A.,-1,-100,
27558,1.53,0,1.616191726,2/19/2019,Hsieh S.W.,-1,-100,
26727,1.6,0,1.615783862,9/14/2018,Kenin S.,-1,-100,
25254,1.61,0,1.60888806,3/16/2018,Williams V.,-1,-100,
30677,1.59,0,1.59913142,10/24/2020,Azarenka V.,-1,-100,
29198,1.6,0,1.599020652,9/11/2019,Kozlova K.,-1,-100,
22828,1.7,0,1.595567723,3/23/2017,Lucic-Baroni M.,-1,-100,
25350,2.46,1,1.595216059,3/29/2018,Stephens S.,1.46,146,
29571,1.54,0,1.594092894,10/17/2019,Bertens K.,-1,-100,
32100,1.56,0,1.593614876,6/29/2021,Liu C.,-1,-100,
24648,1.54,0,1.59147932,10/20/2017,Goerges J.,-1,-100,
24495,2.82,1,1.590160962,10/6/2017,Garcia C.,1.82,182,
26995,1.54,0,1.589516546,10/9/2018,Schmiedlova A.,-1,-100,
22787,2.46,1,1.588379754,3/18/2017,Kuznetsova S.,1.46,146,
22927,1.61,0,1.587802593,4/5/2017,Bertens K.,-1,-100,
30997,2.27,1,1.585264405,2/13/2021,Begu I.,1.27,127,
29382,2.46,1,1.584669255,9/24/2019,Maria T.,1.46,146,
27598,1.53,0,1.582312904,2/23/2019,Vondrousova M.,-1,-100,
23856,1.46,0,1.578689491,7/26/2017,Garcia C.,-1,-100,
35099,1.63,0,1.577255023,9/2/2022,Jabeur O.,-1,-100,
23014,1.63,0,1.57521882,4/13/2017,Arruabarrena L.,-1,-100,
24198,2.15,1,1.573710537,9/5/2017,Keys M.,1.15,115,
31648,1.65,0,1.57284112,5/12/2021,Ostapenko J.,-1,-100,
24933,2.77,1,1.572070417,1/19/2018,Suarez Navarro C.,1.77,177,
30727,1.47,0,1.571829978,1/10/2021,Svitolina E.,-1,-100,
27119,1.58,0,1.570839964,10/19/2018,Kasatkina D.,-1,-100,
23036,1.59,0,1.569120004,4/25/2017,Kuznetsova S.,-1,-100,
35737,2.5,1,1.567367104,1/25/2023,Linette M.,1.5,150,
25548,1.55,0,1.566687989,4/27/2018,Sakkari M.,-1,-100,
24092,2.52,1,1.564184372,8/28/2017,Duan Y.Y.,1.52,152,
31494,2.54,1,1.563601076,4/16/2021,Sharma A.,1.54,154,
29357,1.5,0,1.562615688,9/23/2019,Martincova T.,-1,-100,
31439,1.5,0,1.562175013,4/7/2021,Tomova V.,-1,-100,
23506,1.59,0,1.56201573,6/15/2017,Konjuh A.,-1,-100,
28438,2.24,1,1.561057024,6/13/2019,Rybakina E.,1.24,124,
34742,1.67,0,1.559976926,7/27/2022,Selekhmeteva O.,-1,-100,
