match,PSW,win0,confidence0,date,winner,,,,
26508,2.79,1,2.0466969,8/17/2018,Bertens K.,1.79,89.5,,
23649,1.44,0,2.043443635,7/3/2017,Haddad Maia B.,-1,-50,,
31615,1.43,0,2.04329851,5/5/2021,Sabalenka A.,-1,-50,,
28759,2.74,1,2.041720096,7/20/2019,Tig P.M.,1.74,87,,
33104,1.41,0,2.03845032,11/10/2021,Kontaveit A.,-1,-50,,
24120,3.73,1,2.0374841,8/30/2017,Mchale C.,2.73,136.5,,
26453,1.52,0,2.03636437,8/10/2018,Halep S.,-1,-50,,
30856,1.44,0,2.029476698,2/5/2021,Sakkari M.,-1,-50,,
25078,1.55,0,2.004065817,2/19/2018,Lisicki S.,-1,-50,,
22401,2.75,1,2.00180769,1/18/2017,Barthel M.,1.75,87.5,,
30334,2.89,1,1.98602435,9/2/2020,Rogers S.,1.89,94.5,,
34649,1.51,0,1.983983203,7/18/2022,Sasnovich A.,-1,-50,,
22252,1.46,0,1.97409686,1/4/2017,Cibulkova D.,-1,-50,,
35365,2.82,1,1.967475939,10/9/2022,Krejcikova B.,1.82,91,,
24484,1.56,0,1.967363691,10/4/2017,Svitolina E.,-1,-50,,
24495,2.82,1,1.967126042,10/6/2017,Garcia C.,1.82,91,,
25107,2.86,1,1.961317045,2/21/2018,Kasatkina D.,1.86,93,,
32178,1.53,0,1.950735104,7/5/2021,Sabalenka A.,-1,-50,,
25253,2.74,1,1.94857931,3/15/2018,Kasatkina D.,1.74,87,,
25536,1.53,0,1.947366781,4/26/2018,Svitolina E.,-1,-50,,
30835,3.58,1,1.945914093,2/3/2021,Begu I.,2.58,129,,
24037,1.53,0,1.938943766,8/17/2017,Wozniacki C.,-1,-50,,
33843,1.35,0,1.935446507,4/6/2022,Kanepi K.,-1,-50,,
35576,2.89,1,1.930616242,1/10/2023,Van Uytvanck A.,1.89,94.5,,
25740,1.52,0,1.92723694,5/20/2018,Buzarnescu M.,-1,-50,,
29238,1.49,0,1.926936146,9/15/2019,Pliskova Ka.,-1,-50,,
31499,1.61,0,1.926074739,4/19/2021,Wang Q.,-1,-50,,
32626,1.56,0,1.924145004,8/31/2021,Martic P.,-1,-50,,
30737,1.49,0,1.921244064,1/11/2021,Sabalenka A.,-1,-50,,
23853,1.46,0,1.919975646,7/26/2017,Garcia C.,-1,-50,,
34010,1.43,0,1.91889201,5/7/2022,Jabeur O.,-1,-50,,
32592,1.6,0,1.914011922,8/30/2021,Garcia C.,-1,-50,,
22509,1.5,0,1.91360057,2/3/2017,Cibulkova D.,-1,-50,,
27602,1.65,0,1.913275659,2/25/2019,Wang Yaf.,-1,-50,,
34053,1.68,0,1.905858815,5/12/2022,Sakkari M.,-1,-50,,
30278,1.53,0,1.904553716,8/26/2020,Osaka N.,-1,-50,,
28456,1.63,0,1.898668177,6/16/2019,Garcia C.,-1,-50,,
26209,2.8,1,1.897436819,7/7/2018,Kasatkina D.,1.8,90,,
24330,1.57,0,1.89691211,9/21/2017,Cirstea S.,-1,-50,,
25543,1.41,0,1.896297059,4/26/2018,Garcia C.,-1,-50,,
22815,2.55,1,1.895830826,3/22/2017,Cepede Royg V.,1.55,77.5,,
35120,1.43,0,1.894897338,9/6/2022,Jabeur O.,-1,-50,,
30493,1.46,0,1.894384956,9/20/2020,Halep S.,-1,-50,,
25034,1.41,0,1.892414007,2/13/2018,Witthoeft C.,-1,-50,,
29410,2.3,1,1.888462015,9/27/2019,Sabalenka A.,1.3,65,,
27351,3.18,1,1.888011116,1/15/2019,Zidansek T.,2.18,109,,
32672,1.52,0,1.884575074,9/4/2021,Sabalenka A.,-1,-50,,
30060,1.58,0,1.880224343,2/27/2020,Barty A.,-1,-50,,
30070,2.65,1,1.878081792,2/28/2020,Kvitova P.,1.65,82.5,,
25048,1.54,0,1.87661228,2/14/2018,Niculescu M.,-1,-50,,
26662,1.51,0,1.872533371,9/3/2018,Stephens S.,-1,-50,,
32361,1.51,0,1.868463494,7/23/2021,Ruse E.G.,-1,-50,,
23256,1.52,0,1.867457167,5/18/2017,Svitolina E.,-1,-50,,
24406,3.49,1,1.861984679,9/26/2017,Kasatkina D.,2.49,124.5,,
25094,2.48,1,1.860771544,2/20/2018,Kuzmova V.,1.48,74,,
23469,2.5,1,1.858901605,6/12/2017,Fett J.,1.5,75,,
30260,1.55,0,1.855264835,8/24/2020,Teichmann J.,-1,-50,,
22254,2.83,1,1.85434556,1/5/2017,Cornet A.,1.83,91.5,,
26943,1.51,0,1.847102496,10/2/2018,Kerber A.,-1,-50,,
28271,1.5,0,1.837236932,5/26/2019,Svitolina E.,-1,-50,,
23287,1.38,0,1.836325009,5/22/2017,Garcia C.,-1,-50,,
22386,1.57,0,1.836119271,1/17/2017,Safarova L.,-1,-50,,
29164,1.71,0,1.834061093,9/9/2019,Hon P.,-1,-50,,
30727,1.47,0,1.831530545,1/10/2021,Svitolina E.,-1,-50,,
