match,PSW,win0,confidence0,date,winner,-1
21626,4.76,0,0.760824515,8/30/2016,Day K.,
30241,3.57,0,0.760796614,8/23/2020,Mchale C.,
19707,4.25,0,0.760771803,1/5/2016,Wang Q.,
21981,1.34,1,0.760697449,10/5/2016,Konta J.,
22189,1.26,1,0.760604203,1/1/2017,Riske A.,
32198,1.35,1,0.760197043,7/8/2021,Ruse E.G.,
11939,1.5,1,0.760183,9/20/2012,Lepchenko V.,
25647,2.21,0,0.759946365,5/6/2018,Pera B.,
19593,1.2,1,0.759910257,10/20/2015,Errani S.,
19595,1.22,1,0.759880837,10/20/2015,Ivanovic A.,
20967,1.32,1,0.759485574,6/7/2016,Puig M.,
19469,3.53,0,0.759427967,10/8/2015,Mattek-Sands B.,
23348,1.11,1,0.759423917,5/29/2017,Stosur S.,
33897,3.06,0,0.7593166,4/19/2022,Kasatkina D.,-1
10894,2.44,0,0.75897661,5/17/2012,Williams V.,
19340,1.36,1,0.75895963,9/27/2015,Niculescu M.,
22015,1.15,1,0.758866254,10/10/2016,Williams V.,
17014,1.51,1,0.758812865,10/8/2014,Cirstea S.,
29599,1.56,1,0.758746661,10/23/2019,Kenin S.,
11909,1.27,1,0.758503258,9/18/2012,Rybarikova M.,
16606,6.23,0,0.758099494,8/27/2014,Larsson J.,
16847,1.21,1,0.757916999,9/21/2014,Makarova E.,
30287,1.2,1,0.757895064,8/31/2020,Linette M.,
33979,1.1,1,0.757749605,4/29/2022,Collins D.,0.1
25380,1.21,1,0.757468953,4/3/2018,Tsurenko L.,
31378,1.39,1,0.75715269,4/1/2021,Andreescu B.,
10438,4.4,0,0.756750882,3/12/2012,Petrova N.,
36235,1.14,1,0.756523348,3/26/2023,Sabalenka A.,0.14
30575,1.17,1,0.756491554,9/29/2020,Kasatkina D.,
15219,3.77,0,0.756356511,3/8/2014,Kleybanova A.,
26443,4.42,0,0.756351035,8/8/2018,Abanda F.,
23650,1.15,1,0.756328025,7/3/2017,Keys M.,
33398,1.13,1,0.75627244,1/25/2022,Barty A.,0.13
19534,1.25,1,0.756064318,10/14/2015,Wozniacki C.,
30250,1.33,1,0.756040595,8/23/2020,Muchova K.,
31195,2.6,0,0.755979229,3/10/2021,Bouchard E.,
10167,1.38,1,0.755929699,2/15/2012,Wickmayer Y.,
23687,1.61,1,0.755664616,7/4/2017,Flipkens K.,
23186,1.34,1,0.755618193,5/8/2017,Mladenovic K.,
18756,1.33,1,0.755414566,7/21/2015,Knapp K.,
30551,1.15,1,0.755161599,9/28/2020,Cornet A.,
29165,1.53,1,0.755078173,9/9/2019,Flipkens K.,
28323,1.17,1,0.754895204,5/28/2019,Begu I.,
27346,2.67,0,0.754787759,1/15/2019,Zhang S.,
33762,4.49,0,0.754722868,3/25/2022,Fruhvirtova L.,-1
10899,1.18,1,0.754578336,5/18/2012,Williams S.,
12767,1.27,1,0.754414263,2/28/2013,Mattek-Sands B.,
21669,1.16,1,0.754293408,9/1/2016,Halep S.,
11549,3.28,0,0.754284561,8/7/2012,Karatantcheva S.,
34636,1.65,1,0.754084485,7/15/2022,Danilovic O.,0.65
20492,3.47,0,0.754076739,4/13/2016,Sadikovic A.,
33027,1.11,1,0.753846267,10/25/2021,Gatto-Monticone G.,
27546,1.29,1,0.753675815,2/19/2019,Bencic B.,
21093,1.46,1,0.753427819,6/22/2016,Cibulkova D.,
19404,1.26,1,0.753392617,9/30/2015,Beck A.,
25539,1.28,1,0.752785666,4/26/2018,Wozniacki C.,
24831,1.49,1,0.752586088,1/12/2018,Kerber A.,
20791,1.59,1,0.752407307,5/18/2016,Vesnina E.,
31034,3.14,0,0.752356348,2/15/2021,Pegula J.,
31524,1.55,1,0.752322615,4/21/2021,Kontaveit A.,
34424,3.93,0,0.752279191,6/21/2022,Kalinina A.,-1
31178,1.32,1,0.752255301,3/9/2021,Zarazua R.,
35401,1.33,1,0.752127967,10/13/2022,Swiatek I.,0.33
13612,1.21,1,0.752036299,6/18/2013,Kvitova P.,
25149,6.02,0,0.75143777,2/28/2018,Zarazua R.,
12908,1.37,1,0.75129443,3/20/2013,Oprandi R.,
25237,1.42,1,0.75105963,3/12/2018,Osaka N.,
16145,1.2,1,0.750453061,6/26/2014,Ivanovic A.,
20447,1.48,1,0.750398461,4/6/2016,Begu I.,
23553,1.28,1,0.750134948,6/21/2017,Azarenka V.,
34565,3.14,0,0.750081145,7/2/2022,Anisimova A.,-1
27811,1.42,1,0.749848858,3/25/2019,Halep S.,
19411,2.98,0,0.749751482,10/1/2015,Jovanovski B.,
11351,1.53,1,0.74957124,6/30/2012,Paszek T.,
33693,1.17,1,0.749378769,3/15/2022,Swiatek I.,0.17
33390,2.91,0,0.749040479,1/23/2022,Krejcikova B.,-1
24126,2,1,0.748998299,8/30/2017,Kenin S.,
12053,1.23,1,0.748980455,10/2/2012,Bartoli M.,
32239,1.4,1,0.748475283,7/13/2021,Wang Xin.,
17598,1.46,1,0.748342205,2/26/2015,Safarova L.,
33475,2.13,0,0.748142046,2/20/2022,Tauson C.,-1
29685,1.25,1,0.747741493,1/9/2020,Pliskova Ka.,
23915,1.12,1,0.747675417,8/3/2017,Halep S.,
30425,1.69,1,0.747641358,9/10/2020,Peterson R.,
19417,2.51,0,0.747620663,10/2/2015,Vekic D.,
32914,1.24,1,0.747103289,10/9/2021,Gauff C.,
21041,1.43,1,0.746736117,6/16/2016,Pironkova T.,
32188,1.35,1,0.746700942,7/7/2021,Frech M.,
16033,1.42,1,0.746620973,6/18/2014,Kerber A.,
35961,1.49,1,0.746327412,2/23/2023,Pegula J.,0.49
28818,1.46,1,0.745917678,7/26/2019,Kawa K.,
30162,1.36,1,0.745460924,8/7/2020,Kontaveit A.,
20567,2.8,0,0.745393501,4/24/2016,Buyukakcay C.,
20793,3.26,0,0.745375166,5/18/2016,Parmentier P.,
28547,1.28,1,0.745347552,6/25/2019,Wozniacki C.,
26931,1.56,1,0.745241445,10/1/2018,Goerges J.,
31609,1.29,1,0.745056463,5/4/2021,Sabalenka A.,
26324,1.24,1,0.744320872,7/25/2018,Wang Q.,
27933,3.56,0,0.744307822,4/9/2019,Rodina E.,
19616,5,0,0.74408152,10/22/2015,Van Uytvanck A.,
33535,1.57,1,0.743789027,2/24/2022,Sakkari M.,0.57
31870,1.13,1,0.743765173,6/4/2021,Rybakina E.,
12203,1.25,1,0.743571461,10/26/2012,Radwanska A.,
35257,1.1,1,0.743203972,9/26/2022,Bogdan A.,0.1
29651,1.35,1,0.742666461,1/7/2020,Osaka N.,
16076,1.37,1,0.742640648,6/23/2014,Zahlavova Strycova B.,
24755,1.32,1,0.742426992,1/4/2018,Halep S.,
35880,1.66,1,0.742191539,2/15/2023,Haddad Maia B.,0.66
18727,1.41,1,0.741905551,7/17/2015,Barthel M.,
33764,1.6,1,0.741388096,3/25/2022,Davis L.,0.6
12195,1.13,1,0.741279337,10/24/2012,Williams S.,
13221,1.18,1,0.740898815,5/6/2013,Azarenka V.,
34019,1.15,1,0.740882409,5/9/2022,Halep S.,0.15
12059,5.3,0,0.740748177,10/3/2012,Hercog P.,
21308,3.61,0,0.740511061,7/19/2016,Radwanska U.,
32732,1.15,1,0.740495011,9/15/2021,Cornet A.,
17163,3.27,0,0.740432787,1/5/2015,Zvonareva V.,
12179,1.28,1,0.740400194,10/19/2012,Ivanovic A.,
12627,3.34,0,0.740353918,2/18/2013,Cirstea S.,
17699,1.69,1,0.739598215,3/12/2015,Mchale C.,
27827,1.28,1,0.739552263,4/1/2019,Trevisan M.,
24980,2.37,0,0.739527865,1/30/2018,Rybakina E.,
34805,1.46,1,0.739467,8/4/2022,Kanepi K.,0.46
35952,1.34,1,0.739385146,2/22/2023,Sabalenka A.,0.34
14786,3.1,0,0.739359379,1/7/2014,Suarez Navarro C.,
29324,1.6,1,0.739333105,9/21/2019,Osaka N.,
34096,1.32,1,0.739117037,5/17/2022,Sherif M.,0.32
14077,3.36,0,0.738924073,8/13/2013,Cornet A.,
36239,1.5,1,0.738415942,3/26/2023,Kvitova P.,0.5
34760,8.16,0,0.738243292,7/29/2022,Garcia C.,-1
26293,2.92,0,0.73818297,7/23/2018,Lu Jing-Jing,
13067,1.12,1,0.738062191,4/6/2013,Williams S.,
27089,1.27,1,0.737950297,10/16/2018,Goerges J.,
15884,1.55,1,0.737860508,5/28/2014,Kerber A.,
17821,1.34,1,0.737747595,3/26/2015,Stephens S.,
11997,3.4,0,0.737449313,9/25/2012,Hampton J.,
23828,1.23,1,0.736679393,7/24/2017,Liu F.,
12201,1.19,1,0.736506494,10/26/2012,Azarenka V.,
15495,1.23,1,0.736414029,4/10/2014,Rybarikova M.,
20250,1.42,1,0.736292313,3/12/2016,Puig M.,
29289,2.42,0,0.736239357,9/18/2019,Golubic V.,
25393,1.18,1,0.736048407,4/4/2018,Collins D.,
34115,1.23,1,0.735012187,5/19/2022,Liu C.,0.23
16832,1.2,1,0.734908543,9/19/2014,Niculescu M.,
18959,1.47,1,0.734881285,8/13/2015,Azarenka V.,
28968,1.33,1,0.734796825,8/14/2019,Barty A.,
27433,2.07,0,0.734506616,1/28/2019,Linette M.,
11211,1.26,1,0.734316075,6/19/2012,Bartoli M.,
21507,2.55,0,0.733830384,8/16/2016,Strycova B.,
22825,1.71,1,0.733622229,3/23/2017,Zhang S.,
23519,5.77,0,0.733350335,6/18/2017,Konta J.,
12194,1.11,1,0.731980529,10/23/2012,Sharapova M.,
12983,1.24,1,0.731928739,3/29/2013,Williams S.,
27990,1.44,1,0.731763725,4/24/2019,Azarenka V.,
33152,1.35,1,0.731295479,1/4/2022,Kenin S.,0.35
14907,1.46,1,0.730958488,1/16/2014,Cornet A.,
30322,3.21,0,0.730617488,9/1/2020,Bonaventure Y.,
36266,5.1,0,0.729847251,3/29/2023,Cirstea S.,-1
12608,1.11,1,0.729820481,2/15/2013,Williams S.,
22325,1.32,1,0.729330028,1/12/2017,Radwanska A.,
23306,1.55,1,0.727907496,5/23/2017,Riske A.,
20091,1.48,1,0.72766992,2/23/2016,Vinci R.,
31755,1.66,1,0.727427678,5/26/2021,Rus A.,
26056,1.5,1,0.727336217,6/24/2018,Collins D.R.,
24667,1.55,1,0.727274828,10/29/2017,Wozniacki C.,
10903,5.14,0,0.727107024,5/19/2012,Li N.,
11638,5.13,0,0.726902373,8/17/2012,Kerber A.,
13337,1.5,1,0.726436061,5/22/2013,Putintseva Y.,
30367,1.46,1,0.726117065,9/3/2020,Sakkari M.,
19621,5.73,0,0.72597147,10/23/2015,Doi M.,
15780,1.79,1,0.72488939,5/20/2014,Peng S.,
22886,1.18,1,0.724873558,4/3/2017,Pavlyuchenkova A.,
28697,1.28,1,0.72452433,7/9/2019,Williams S.,
29746,1.45,1,0.723697722,1/14/2020,Barty A.,
27445,3.37,0,0.723286048,1/29/2019,Martincova T.,
29908,1.27,1,0.723232822,2/10/2020,Rybakina E.,
33801,1.22,1,0.721570913,3/31/2022,Swiatek I.,0.22
19630,1.41,1,0.721398998,10/25/2015,Halep S.,
