match,correct_prediction,confidence,PSW,date,winner
48882,1,0.8882178,1.6,2025-01-14,Musetti L.
47880,1,0.88810235,2.71,2024-07-24,Mensik J.
48911,0,0.887939,1.02,2025-01-15,Alcaraz C.
48950,1,0.8876534,1.23,2025-01-19,Djokovic N.
48648,1,0.88764656,2.36,2024-11-01,Rune H.
48978,1,0.8873952,1.44,2025-01-30,Griekspoor T.
47490,1,0.88717467,1.72,2024-06-18,Korda S.
48548,1,0.8869406,1.57,2024-10-22,Musetti L.
48486,1,0.88630384,1.78,2024-10-16,Diallo G.
49148,1,0.88528836,1.61,2025-02-18,Navone M.
48795,0,0.8839356,1.82,2025-01-07,Basavareddy N.
48280,1,0.8835031,1.16,2024-09-21,Mannarino A.
49152,1,0.8834675,2.72,2025-02-18,Medjedovic H.
49152,1,0.88340473,2.72,2025-02-18,Medjedovic H.
47246,1,0.88340473,1.65,2024-05-19,Vukic A.
47860,1,0.88340473,2.73,2024-07-23,Mayot H.
48266,1,0.88248116,1.53,2024-09-19,Hanfmann Y.
48536,1,0.88232416,3.31,2024-10-20,Bautista Agut R.
48936,1,0.88218826,1.03,2025-01-17,Alcaraz C.
49130,1,0.8821328,2.31,2025-02-16,Fonseca J.
48578,1,0.8816068,1.61,2024-10-24,Mensik J.
48790,1,0.88148445,1.68,2025-01-06,Kokkinakis T.
47903,0,0.88021505,2.44,2024-07-26,Cerundolo F.
48916,1,0.88019335,1.01,2025-01-16,Sinner J.
47292,1,0.88003683,5.65,2024-05-24,Machac T.
47239,0,0.87967813,4.2,2024-05-16,Jarry N.
47640,1,0.8791127,4.78,2024-07-02,Mpetshi G.
48934,1,0.87845826,1.2,2025-01-17,Draper J.
48472,1,0.8784339,2.12,2024-10-15,Karatsev A.
47466,1,0.8783888,1.26,2024-06-14,Berrettini M.
48590,1,0.8777189,2.6,2024-10-25,Mpetshi G.
48936,1,0.87751913,1.03,2025-01-17,Alcaraz C.
49048,1,0.8763391,1.2,2025-02-08,De Minaur A.
48722,1,0.87600684,1.17,2024-11-17,Sinner J.
47352,1,0.8745977,1.19,2024-05-28,Rinderknech A.
48400,1,0.8742021,1.4,2024-10-04,Monfils G.
49162,1,0.87372607,2.45,2025-02-18,Ugo Carabelli C.
48934,1,0.87302,1.2,2025-01-17,Draper J.
47465,0,0.87290263,3.05,2024-06-14,Musetti L.
49089,0,0.87284845,2.74,2025-02-12,Seyboth Wild T.
48290,1,0.8720143,1.62,2024-09-22,Cilic M.
47612,1,0.87187684,1.9,2024-07-01,Shang J.
47700,1,0.87180644,1.95,2024-07-06,Shelton B.
48268,1,0.87152195,2.05,2024-09-19,Vukic A.
49124,1,0.8705739,2.24,2025-02-15,Kecmanovic M.
49089,0,0.8704122,2.74,2025-02-12,Seyboth Wild T.
49148,1,0.87028414,1.61,2025-02-18,Navone M.
47448,1,0.87026846,1.6,2024-06-12,Bublik A.
47426,1,0.8702336,1.65,2024-06-10,Medjedovic H.
49048,1,0.8691549,1.2,2025-02-08,De Minaur A.
49166,1,0.8690603,1.08,2025-02-19,Zverev A.
49130,1,0.8687238,2.31,2025-02-16,Fonseca J.
48138,1,0.86854696,1.73,2024-08-26,Krueger M.
48344,1,0.8681158,2.24,2024-09-29,Fils A.
48240,1,0.8679934,2.44,2024-09-04,Tiafoe F.
47938,1,0.8677815,2.61,2024-07-31,Rinderknech A.
47629,0,0.8676097,1.19,2024-07-02,Giron M.
48916,1,0.867481,1.01,2025-01-16,Sinner J.
47756,1,0.86658996,1.61,2024-07-16,Carballes Baena R.
48982,1,0.8662784,1.26,2025-01-31,Auger-Aliassime F.
48432,1,0.86517847,2.27,2024-10-08,Safiullin R.
48636,1,0.8648753,1.28,2024-10-30,Dimitrov G.
49124,1,0.8648286,2.24,2025-02-15,Kecmanovic M.
48648,1,0.8640083,2.36,2024-11-01,Rune H.
47684,1,0.86285466,1.4,2024-07-04,Monfils G.
48911,0,0.86282474,1.02,2025-01-15,Alcaraz C.
48974,1,0.86254925,1.77,2025-01-29,Bublik A.
48372,1,0.8623952,2.24,2024-10-02,Van De Zandschulp B.
48974,1,0.8623656,1.77,2025-01-29,Bublik A.
48590,1,0.8623448,2.6,2024-10-25,Mpetshi G.
47454,1,0.86180824,1.64,2024-06-12,Musetti L.
48908,1,0.8616935,1.02,2025-01-15,Djokovic N.
47916,1,0.8616741,2.84,2024-07-29,Hong S.
48400,1,0.8611853,1.4,2024-10-04,Monfils G.
48958,1,0.86086565,1.19,2025-01-22,Sinner J.
48196,1,0.85889435,1.93,2024-08-29,Evans D.
48894,1,0.85874873,1.19,2025-01-14,Tien L.
49112,1,0.85779387,1.76,2025-02-14,Djere L.
49058,1,0.85723644,2.19,2025-02-10,Seyboth Wild T.
48736,1,0.8571478,1.43,2024-12-31,Diallo G.
49162,1,0.85632616,2.45,2025-02-18,Ugo Carabelli C.
48603,0,0.85618293,1.19,2024-10-28,Tsitsipas S.
47906,1,0.8556682,2.25,2024-07-26,Thompson J.
48860,1,0.8554779,1.43,2025-01-13,Marozsan F.
48476,1,0.85457873,1.88,2024-10-15,Kecmanovic M.
47686,1,0.85407966,4.56,2024-07-04,Ruusuvuori E.
48603,0,0.8540336,1.19,2024-10-28,Tsitsipas S.
47452,1,0.85269165,1.68,2024-06-12,Humbert U.
48938,1,0.8519684,2.65,2025-01-17,Davidovich Fokina A.
48268,1,0.8511277,2.05,2024-09-19,Vukic A.
48692,1,0.85022765,1.37,2024-11-06,Shapovalov D.
47768,1,0.8496333,1.18,2024-07-16,Nakashima B.
48290,1,0.8487478,1.62,2024-09-22,Cilic M.
49058,1,0.8472882,2.19,2025-02-10,Seyboth Wild T.
47256,1,0.8467956,1.7,2024-05-21,Hanfmann Y.
47726,1,0.8467956,1.76,2024-07-15,Fognini F.
48711,0,0.846027,1.31,2024-11-11,Zverev A.
47604,1,0.8452739,1.13,2024-07-01,Humbert U.
48950,1,0.84524,1.23,2025-01-19,Djokovic N.
48894,1,0.8447289,1.19,2025-01-14,Tien L.
48860,1,0.8444804,1.43,2025-01-13,Marozsan F.
47289,0,0.8431276,2.22,2024-05-23,Bublik A.
48584,1,0.84244657,1.25,2024-10-24,Fils A.
48938,1,0.8423921,2.65,2025-01-17,Davidovich Fokina A.
47914,1,0.84176904,1.24,2024-07-29,Goffin D.
47354,1,0.8416868,1.11,2024-05-28,De Minaur A.
48850,1,0.8391122,1.49,2025-01-13,Auger-Aliassime F.
47748,1,0.83799416,1.37,2024-07-16,Rune H.
48160,1,0.83799255,1.24,2024-08-27,Michelsen A.
47644,1,0.83786523,1.06,2024-07-02,De Minaur A.
48736,1,0.8374585,1.43,2024-12-31,Diallo G.
49126,1,0.8364556,1.32,2025-02-15,Cerundolo F.
48930,1,0.835966,1.56,2025-01-16,Moutet C.
48584,1,0.8354822,1.25,2024-10-24,Fils A.
48410,1,0.83525467,1.22,2024-10-05,Djokovic N.
48722,1,0.83469474,1.17,2024-11-17,Sinner J.
47418,1,0.8344291,1.25,2024-06-04,Alcaraz C.
48102,1,0.8336597,1.76,2024-08-21,Michelsen A.
49142,1,0.83352315,1.74,2025-02-18,Munar J.
47620,1,0.8325352,1.04,2024-07-01,Medvedev D.
48757,0,0.83230895,1.8,2025-01-01,Thompson J.
49206,1,0.8322978,1.42,2025-02-25,Dimitrov G.
48292,1,0.83211243,1.51,2024-09-22,Zhang Zh.
49160,1,0.83155066,1.21,2025-02-18,Van De Zandschulp B.
48410,1,0.83101743,1.22,2024-10-05,Djokovic N.
48982,1,0.83098215,1.26,2025-01-31,Auger-Aliassime F.
48636,1,0.8306087,1.28,2024-10-30,Dimitrov G.
49100,1,0.8301508,4.24,2025-02-13,Zhang Zh.
48248,1,0.82957363,3.48,2024-09-18,Daniel T.
48080,1,0.8290008,1.89,2024-08-19,Svajda Z.
47316,1,0.8288943,1.54,2024-05-26,Nakashima B.
48700,1,0.828396,2.09,2024-11-07,Medjedovic H.
49206,1,0.8279347,1.42,2025-02-25,Dimitrov G.
49166,1,0.8277872,1.08,2025-02-19,Zverev A.
48783,0,0.826803,1.03,2025-01-06,Bergs Z.
48752,1,0.8267408,1.5,2025-01-01,Fils A.
49066,1,0.82667375,2.67,2025-02-11,McDonald M.
48700,1,0.82613826,2.09,2024-11-07,Medjedovic H.
48128,1,0.825467,2.65,2024-08-26,Nakashima B.
48752,1,0.82489693,1.5,2025-01-01,Fils A.
48788,1,0.8245497,4.29,2025-01-06,Diaz Acosta F.
48757,0,0.82405573,1.8,2025-01-01,Thompson J.
47432,1,0.8239796,1.72,2024-06-11,Fils A.
48106,1,0.822813,,2024-08-21,Sonego L.
48432,1,0.8223348,2.27,2024-10-08,Safiullin R.
47516,1,0.8212232,1.21,2024-06-19,Struff J.L.
47766,1,0.8210721,1.46,2024-07-16,Rinderknech A.
49100,1,0.82094556,4.24,2025-02-13,Zhang Zh.
48504,1,0.82065314,1.25,2024-10-17,Dimitrov G.
48788,1,0.82005864,4.29,2025-01-06,Diaz Acosta F.
48553,0,0.8197114,1.38,2024-10-22,De Minaur A.
47740,1,0.8193661,,2024-07-16,Hanfmann Y.
47360,1,0.81897855,2.64,2024-05-28,Cobolli F.
48476,1,0.8189708,1.88,2024-10-15,Kecmanovic M.
48372,1,0.8183325,2.24,2024-10-02,Van De Zandschulp B.
48956,1,0.81833166,2.62,2025-01-21,Djokovic N.
47816,1,0.81745476,1.65,2024-07-19,Struff J.L.
48716,1,0.8171273,3.09,2024-11-14,De Minaur A.
48292,1,0.81659466,1.51,2024-09-22,Zhang Zh.
47818,1,0.8163741,1.65,2024-07-19,Berrettini M.
49118,1,0.81601703,1.25,2025-02-14,Medvedev D.
48762,1,0.8160016,1.28,2025-01-02,Mensik J.
49034,1,0.81521714,2.61,2025-02-06,Nishioka Y.
48248,1,0.81515336,3.48,2024-09-18,Daniel T.
47912,1,0.8151316,1.95,2024-07-28,Nishioka Y.
48504,1,0.81289357,1.25,2024-10-17,Dimitrov G.
48783,0,0.8126054,1.03,2025-01-06,Bergs Z.
49142,1,0.81252635,1.74,2025-02-18,Munar J.
48240,1,0.8122929,2.44,2024-09-04,Tiafoe F.
47430,1,0.81188285,1.65,2024-06-11,Vukic A.
47530,1,0.8118761,1.9,2024-06-21,Zhang Zh.
48344,1,0.8109785,2.24,2024-09-29,Fils A.
49112,1,0.810887,1.76,2025-02-14,Djere L.
47372,1,0.81075644,10.78,2024-05-30,Kovalik J.
48092,1,0.80774176,1.71,2024-08-20,Coric B.
47569,0,0.8077128,1.54,2024-06-26,Shelton B.
48238,1,0.8076001,2.49,2024-09-03,Fritz T.
47908,1,0.8073868,2.72,2024-07-27,Nishioka Y.
47315,0,0.80677855,3.23,2024-05-26,Gasquet R.
48390,1,0.8059435,1.55,2024-10-03,Kecmanovic M.
48984,1,0.80582285,1.24,2025-01-31,Rublev A.
49118,1,0.8051843,1.25,2025-02-14,Medvedev D.
48776,1,0.8044583,2.62,2025-01-04,Lehecka J.
48057,0,0.80339575,1.13,2024-08-16,Sinner J.
49066,1,0.8031463,2.67,2025-02-11,McDonald M.
48242,1,0.8031317,1.16,2024-09-06,Sinner J.
48850,1,0.8026646,1.49,2025-01-13,Auger-Aliassime F.
47394,1,0.8016886,1.1,2024-05-31,Tsitsipas S.
48284,1,0.80110335,1.36,2024-09-21,Bublik A.
47268,1,0.8009695,2.69,2024-05-21,Machac T.
49126,1,0.8001577,1.32,2025-02-15,Cerundolo F.
47791,0,0.8000274,1.39,2024-07-17,Tsitsipas S.
49160,1,0.8000267,1.21,2025-02-18,Van De Zandschulp B.
48386,1,0.79997987,1.4,2024-10-03,Berrettini M.
48930,1,0.79955775,1.56,2025-01-16,Moutet C.
47275,0,0.79933375,1.15,2024-05-22,Darderi L.
48252,1,0.7992923,2.37,2024-09-19,Wong C.
48356,1,0.79893893,2.2,2024-09-30,Fils A.
49084,1,0.7987897,1.63,2025-02-12,Kecmanovic M.
47325,0,0.79844046,1.34,2024-05-27,Cerundolo F.
47694,1,0.7981581,1.13,2024-07-06,Djokovic N.
