match,correct_prediction,confidence,PSW,date,winner
47885,1,0.8924435,1.66,2024-07-24,Purcell M.
48669,1,0.8924435,1.18,2024-11-04,Kovacevic A.
48513,1,0.89182943,1.27,2024-10-17,Tsitsipas S.
48065,1,0.8917293,1.31,2024-08-17,Zverev A.
47305,1,0.8915158,3.23,2024-05-26,Gasquet R.
47243,1,0.89119154,1.65,2024-05-19,Vukic A.
47005,1,0.89097065,1.68,2024-04-17,Fils A.
46911,1,0.890742,1.7,2024-04-08,Khachanov K.
46847,1,0.890742,1.72,2024-04-03,Martinez P.
47593,1,0.89035726,1.75,2024-06-29,Tabilo A.
47215,1,0.89002144,1.54,2024-05-12,Borges N.
47893,1,0.8889947,1.13,2024-07-25,Berrettini M.
48119,1,0.8886677,2.65,2024-08-26,Nakashima B.
48555,1,0.88857687,2.02,2024-10-22,Shapovalov D.
48219,1,0.8885621,1.69,2024-08-30,Nakashima B.
48227,1,0.8885621,1.03,2024-08-31,Sinner J.
48647,1,0.8881432,1.4,2024-11-01,Zverev A.
46919,1,0.88798803,3.25,2024-04-09,Kecmanovic M.
47643,1,0.8879848,1.49,2024-07-02,Fearnley J.
47573,1,0.8877426,2.38,2024-06-26,Shang J.
46875,1,0.8877202,2.77,2024-04-05,Garin C.
47238,0,0.8870635,2.36,2024-05-16,Paul T.
46877,1,0.8864396,1.24,2024-04-05,Ruud C.
47893,1,0.886436,1.13,2024-07-25,Berrettini M.
47219,1,0.8858812,8.97,2024-05-12,Tabilo A.
47349,1,0.8856001,1.13,2024-05-28,Struff J.L.
48215,1,0.88521975,1.35,2024-08-30,Rublev A.
46795,1,0.8850537,1.15,2024-03-25,Dimitrov G.
48223,1,0.8850537,6.25,2024-08-31,Popyrin A.
47613,1,0.8841968,2.06,2024-07-01,Altmaier D.
48707,1,0.8841551,1.41,2024-11-09,Shapovalov D.
47475,1,0.8835893,1.29,2024-06-15,Humbert U.
47464,0,0.8835893,2.8,2024-06-14,Nakashima B.
47429,1,0.8834492,1.78,2024-06-11,Musetti L.
47501,1,0.88342005,1.21,2024-06-18,Tsitsipas S.
48689,1,0.88283294,1.37,2024-11-06,Shapovalov D.
47203,1,0.88276696,1.89,2024-05-11,Koepfer D.
47941,1,0.8825626,1.58,2024-07-31,Kokkinakis T.
47871,1,0.8825389,1.47,2024-07-24,Berrettini M.
