match,PSW,win0,confidence0,date,,
27283,1.53,0,1.616649599,3/5/2017,-1,0.53
36780,1.61,0,1.615891219,2/19/2022,-1,0.61
31593,1.69,0,1.612783872,7/17/2019,-1,0.69
39315,2.72,1,1.610302236,2/18/2023,1.72,1.72
36783,2.64,1,1.608861303,2/19/2022,1.64,1.64
38293,1.5,0,1.605392506,8/23/2022,-1,0.5
35895,1.5,0,1.604669509,9/22/2021,-1,0.5
36906,1.45,0,1.602587216,3/12/2022,-1,0.45
31318,1.4,0,1.602501782,6/18/2019,-1,0.4
27221,2.64,1,1.601939267,2/28/2017,1.64,1.64
34740,1.64,0,1.601555813,5/4/2021,-1,0.64
35488,2.75,1,1.60085123,7/24/2021,1.75,1.75
36211,1.76,0,1.599286976,11/2/2021,-1,0.76
35158,1.6,0,1.599086723,6/21/2021,-1,0.6
27629,2.73,1,1.598920676,4/26/2017,1.73,1.73
33848,1.6,0,1.598242532,1/12/2021,-1,0.6
31147,1.53,0,1.597953836,5/27/2019,-1,0.53
33059,2.21,1,1.591722523,2/27/2020,1.21,1.21
34466,1.56,0,1.590416218,3/30/2021,-1,0.56
35429,1.59,0,1.58732608,7/20/2021,-1,0.59
28356,2.79,1,1.586321097,7/18/2017,1.79,1.79
37427,1.52,0,1.584702502,5/16/2022,-1,0.52
31094,1.47,0,1.584688686,5/21/2019,-1,0.47
36281,3.09,1,1.58404786,11/20/2021,2.09,2.09
27617,1.61,0,1.584036332,4/25/2017,-1,0.61
36512,1.61,0,1.581792514,1/25/2022,-1,0.61
37977,1.56,0,1.581596041,7/19/2022,-1,0.56
39394,1.36,0,1.578979855,2/24/2023,-1,0.36
37238,1.55,0,1.578922884,4/22/2022,-1,0.55
33566,1.51,0,1.578858456,10/16/2020,-1,0.51
32185,2.5,1,1.578402817,9/26/2019,1.5,1.5
32180,1.55,0,1.577447418,9/26/2019,-1,0.55
37138,1.53,0,1.577373628,4/11/2022,-1,0.53
28442,2.55,1,1.576602782,7/26/2017,1.55,1.55
30952,1.56,0,1.57628683,5/4/2019,-1,0.56
36339,2.33,1,1.573398175,1/10/2022,1.33,1.33
31821,1.38,0,1.570715828,8/5/2019,-1,0.38
33682,2.6,1,1.569168869,10/29/2020,1.6,1.6
36580,1.68,0,1.567075161,2/4/2022,-1,0.68
31058,2.43,1,1.564745423,5/16/2019,1.43,1.43
38605,1.65,0,1.563677109,10/4/2022,-1,0.65
33178,1.6,0,1.563660709,9/1/2020,-1,0.6
33005,2.77,1,1.562899028,2/25/2020,1.77,1.77
36654,1.71,0,1.562669326,2/10/2022,-1,0.71
34329,1.64,0,1.56000579,3/16/2021,-1,0.64
37942,1.61,0,1.559164847,7/15/2022,-1,0.61
33263,2.31,1,1.55800558,9/9/2020,1.31,1.31
29002,1.71,0,1.554864311,10/3/2017,-1,0.71
33633,1.65,0,1.55459527,10/24/2020,-1,0.65
27404,1.51,0,1.554503902,3/23/2017,-1,0.51
37287,1.68,0,1.553251369,4/27/2022,-1,0.68
32290,1.57,0,1.552387244,10/8/2019,-1,0.57
30741,1.42,0,1.552176852,4/9/2019,-1,0.42
36643,1.67,0,1.551600651,2/9/2022,-1,0.67
36272,1.6,0,1.551542277,11/16/2021,-1,0.6
31965,1.66,0,1.550850749,8/23/2019,-1,0.66
29699,2.35,1,1.550163754,2/14/2018,1.35,1.35
36560,2.88,1,1.549281349,2/2/2022,1.88,1.88
33039,1.63,0,1.547258383,2/26/2020,-1,0.63
35665,1.84,0,1.546777109,8/18/2021,-1,0.84
31946,2.32,1,1.546019964,8/20/2019,1.32,1.32
35906,2.6,1,1.54572952,9/23/2021,1.6,1.6
35443,2.33,1,1.545493277,7/21/2021,1.33,1.33
27368,2.65,1,1.542453154,3/15/2017,1.65,1.65
37142,1.62,0,1.542280967,4/11/2022,-1,0.62
37192,1.61,0,1.541861909,4/18/2022,-1,0.61
26681,2.46,1,1.5417385,1/2/2017,1.46,1.46
38588,2.54,1,1.54128049,10/3/2022,1.54,1.54
35188,2.44,1,1.537066421,6/23/2021,1.44,1.44
31041,1.53,0,1.536734225,5/16/2019,-1,0.53
38114,1.63,0,1.536490046,8/3/2022,-1,0.63
37154,1.66,0,1.536420255,4/12/2022,-1,0.66
28336,1.65,0,1.534780958,7/18/2017,-1,0.65
30977,2.85,1,1.532277774,5/7/2019,1.85,1.85
29418,2.77,1,1.530400013,1/10/2018,1.77,1.77
30329,1.58,0,1.530212401,2/15/2019,-1,0.58
39142,1.64,0,1.530180042,1/22/2023,-1,0.64
