match,PSW,win0,confidence0,date,,
56783,1.53,0,1.552313259,10/13/2022,-100,-100
53288,1.68,0,1.551591947,6/21/2021,-1,-100
51247,2.55,1,1.551044016,8/24/2020,1.55,155
52248,1.69,0,1.55100891,2/23/2021,-1,-100
47302,2.52,1,1.550861074,8/1/2018,1.52,152
51549,1.53,0,1.54932359,9/28/2020,-1,-100
53804,2.36,1,1.549022191,8/18/2021,1.36,136
49962,2.18,1,1.547865225,8/4/2019,1.18,118
45157,1.71,0,1.546538877,10/3/2017,-1,-100
46808,1.54,0,1.545999935,6/7/2018,-1,-100
50421,2.2,1,1.545889983,10/7/2019,1.2,120
48684,1.6,0,1.544583975,3/7/2019,-1,-100
56870,2.48,1,1.543298159,10/21/2022,248,148
48760,1.61,0,1.542680524,3/12/2019,-1,-100
51979,1.68,0,1.542461762,1/11/2021,-1,-100
49427,1.59,0,1.54240182,6/11/2019,-1,-100
44684,2.67,1,1.5420443,8/2/2017,1.67,167
52586,1.66,0,1.540795529,3/28/2021,-1,-100
50633,1.59,0,1.540419836,10/30/2019,-1,-100
50958,2.51,1,1.538636896,2/9/2020,1.51,151
54299,2.51,1,1.535387567,10/28/2021,1.51,151
56687,2.68,1,1.535019925,10/2/2022,268,168
55565,2.59,1,1.534707689,5/18/2022,259,159
53775,2.36,1,1.531597141,8/15/2021,1.36,136
56172,1.56,0,1.53157589,7/27/2022,-100,-100
47946,2.37,1,1.530312032,10/19/2018,1.37,137
57359,2.3,1,1.529840411,2/14/2023,230,130
55827,2.49,1,1.529709661,6/18/2022,249,149
47659,2.33,1,1.529327585,9/18/2018,1.33,133
52842,1.63,0,1.52843111,4/30/2021,-1,-100
47201,1.53,0,1.527254076,7/24/2018,-1,-100
52926,2.47,1,1.526547585,5/11/2021,1.47,147
46470,2.3,1,1.52606651,5/1/2018,1.3,130
56009,1.63,0,1.525591173,7/8/2022,-100,-100
54107,1.51,0,1.525463074,10/2/2021,-1,-100
52404,1.51,0,1.525419687,3/10/2021,-1,-100
56524,1.63,0,1.52395068,9/2/2022,-100,-100
50474,1.74,0,1.522902972,10/14/2019,-1,-100
55867,2.53,1,1.522306931,6/22/2022,253,153
52860,2.82,1,1.521892968,5/3/2021,1.82,182
43316,2.16,1,1.521635488,2/22/2017,1.16,116
48696,2.24,1,1.521602182,3/8/2019,1.24,124
49209,2.43,1,1.521289298,5/16/2019,1.43,143
56052,2.77,1,1.520527279,7/14/2022,277,177
48687,1.57,0,1.519159386,3/7/2019,-1,-100
50557,1.56,0,1.51854915,10/21/2019,-1,-100
49699,1.55,0,1.517620772,7/14/2019,-1,-100
48563,1.52,0,1.514656027,2/21/2019,-1,-100
50214,2.2,1,1.513744085,8/29/2019,1.2,120
55161,1.65,0,1.512829006,3/28/2022,-100,-100
44837,1.55,0,1.512406142,8/16/2017,-1,-100
54979,1.6,0,1.511270888,2/25/2022,-100,-100
51494,2.51,1,1.510973781,9/22/2020,1.51,151
55696,1.66,0,1.510968311,5/28/2022,-100,-100
47801,1.78,0,1.510201498,10/4/2018,-1,-100
55424,1.56,0,1.51013369,5/1/2022,-100,-100
48125,1.74,0,1.509655606,1/2/2019,-1,-100
52968,2.45,1,1.507942837,5/17/2021,1.45,145
55139,1.69,0,1.507117562,3/26/2022,-100,-100
50524,1.76,0,1.506050969,10/17/2019,-1,-100
44899,2.11,1,1.505736303,8/24/2017,1.11,111
43286,2.33,1,1.504710821,2/21/2017,1.33,133
50333,1.55,0,1.504540396,9/26/2019,-1,-100
47594,2.32,1,1.503209995,8/29/2018,1.32,132
43621,1.68,0,1.500978532,3/27/2017,-1,-100
