match,PSW,win0,confidence0,date,,
53880,1.38,0,2.272525439,8/30/2021,-1,-100
43432,1.38,0,2.060877048,3/2/2017,-1,-100
49735,1.43,0,1.969845855,7/16/2019,-1,-100
56386,1.42,0,1.946403642,8/21/2022,-1,-100
54382,1.39,0,1.94528237,11/11/2021,-1,-100
43952,1.45,0,1.936695315,5/13/2017,-1,-100
47345,2.58,1,1.849544361,8/3/2018,1.58,158
44083,2.73,1,1.823498427,5/29/2017,1.73,173
54038,2.6,1,1.819897749,9/23/2021,1.6,160
43386,1.37,0,1.818722176,2/28/2017,-1,-100
55878,1.41,0,1.814406841,6/23/2022,-1,-100
54094,2.52,1,1.809362127,9/30/2021,1.52,152
57209,2.56,1,1.801187134,1/19/2023,1.56,156
51549,1.53,0,1.781335595,9/28/2020,-1,-100
48563,1.52,0,1.767802045,2/21/2019,-1,-100
53348,1.47,0,1.765952669,6/28/2021,-1,-100
47887,1.53,0,1.756924732,10/16/2018,-1,-100
54399,3.09,1,1.751449997,11/20/2021,2.09,209
44777,1.47,0,1.745529904,8/9/2017,-1,-100
54191,1.58,0,1.742832013,10/13/2021,-1,-100
51706,1.51,0,1.742157997,10/16/2020,-1,-100
47929,1.53,0,1.737869016,10/18/2018,-1,-100
53873,1.59,0,1.737364338,8/28/2021,-1,-100
47461,2.55,1,1.729539909,8/16/2018,1.55,155
45157,1.71,0,1.727918747,10/3/2017,-1,-100
43513,2.88,1,1.727640245,3/13/2017,1.88,188
48314,2.74,1,1.715180422,1/18/2019,1.74,174
50830,1.39,0,1.712550245,1/22/2020,-1,-100
52860,2.82,1,1.710362776,5/3/2021,1.82,182
43836,1.68,0,1.69702291,5/2/2017,-1,-100
44140,2.61,1,1.690561716,5/31/2017,1.61,161
52987,2.46,1,1.689941741,5/19/2021,1.46,146
53056,1.65,0,1.687812204,5/26/2021,-1,-100
54182,1.49,0,1.684981055,10/12/2021,-1,-100
46011,2.24,1,1.684896975,2/27/2018,1.24,124
53268,2.23,1,1.682411589,6/17/2021,1.23,123
49169,2.71,1,1.681844657,5/12/2019,1.71,171
53204,1.57,0,1.678542555,6/10/2021,-1,-100
43711,2.7,1,1.675775313,4/18/2017,1.7,170
56251,2.54,1,1.669522791,8/4/2022,1.54,154
48684,1.6,0,1.668466616,3/7/2019,-1,-100
57240,1.64,0,1.664274578,1/22/2023,-1,-100
48016,2.74,1,1.664002812,10/28/2018,1.74,174
54708,2.82,1,1.662547776,2/5/2022,1.82,182
52196,2.57,1,1.662283043,2/12/2021,1.57,157
47249,1.54,0,1.661879939,7/27/2018,-1,-100
50547,1.63,0,1.658240579,10/19/2019,-1,-100
49954,1.62,0,1.656759277,8/2/2019,-1,-100
54709,3.25,1,1.656626895,2/5/2022,2.25,225
52842,1.63,0,1.653466569,4/30/2021,-1,-100
43652,1.47,0,1.650908112,4/12/2017,-1,-100
47394,1.67,0,1.650886564,8/8/2018,-1,-100
45949,1.58,0,1.646494227,2/22/2018,-1,-100
43141,2.71,1,1.644511887,2/8/2017,1.71,171
50335,2.64,1,1.63717386,9/26/2019,1.64,164
52248,1.69,0,1.637022185,2/23/2021,-1,-100
48648,2.62,1,1.635897037,2/27/2019,1.62,162
51259,1.57,0,1.63146122,8/25/2020,-1,-100
49760,2.14,1,1.627429552,7/19/2019,1.14,114
56538,1.55,0,1.626008599,9/3/2022,-1,-100
53656,2.4,1,1.623708,7/28/2021,1.4,140
55244,1.61,0,1.622488462,4/10/2022,-1,-100
43108,1.54,0,1.621330674,1/26/2017,-1,-100
54487,1.61,0,1.620642184,1/12/2022,-1,-100
52404,1.51,0,1.618034828,3/10/2021,-1,-100
49750,2.6,1,1.617873795,7/17/2019,1.6,160
55356,1.59,0,1.616644636,4/22/2022,-1,-100
55455,2.55,1,1.616247073,5/4/2022,1.55,155
47946,2.37,1,1.611221775,10/19/2018,1.37,137
46968,1.57,0,1.608945881,6/28/2018,-1,-100
47427,2.29,1,1.607771848,8/13/2018,1.29,129
46540,2.44,1,1.606529642,5/8/2018,1.44,144
53791,1.49,0,1.600273449,8/17/2021,-1,-100
53354,1.55,0,1.599922117,6/29/2021,-1,-100
53521,1.61,0,1.598052845,7/15/2021,-1,-100
50295,1.53,0,1.597826499,9/20/2019,-1,-100
54879,1.58,0,1.595817676,2/18/2022,-1,-100
53212,2.8,1,1.594932087,6/11/2021,1.8,180
44255,1.55,0,1.593679618,6/20/2017,-1,-100
47904,1.56,0,1.593445814,10/16/2018,-1,-100
55806,1.66,0,1.59322581,6/15/2022,-1,-100
49434,2.44,1,1.592760067,6/12/2019,1.44,144
53916,2.68,1,1.591574177,8/31/2021,1.68,168
48763,2.25,1,1.586688772,3/13/2019,1.25,125
48365,1.52,0,1.583264489,2/5/2019,-1,-100
54034,1.66,0,1.582993754,9/23/2021,-1,-100
44513,2.79,1,1.580929604,7/18/2017,1.79,179
52551,1.62,0,1.578879396,3/25/2021,-1,-100
49508,1.68,0,1.578687809,6/21/2019,-1,-100
50027,1.62,0,1.578272945,8/12/2019,-1,-100
47460,1.54,0,1.578268968,8/16/2018,-1,-100
44232,2.7,1,1.578184077,6/16/2017,1.7,170
48154,2.16,1,1.577447054,1/4/2019,1.16,116
55198,1.5,0,1.577210812,4/5/2022,-1,-100
49758,1.58,0,1.577174759,7/18/2019,-1,-100
52017,2.48,1,1.576449531,2/2/2021,1.48,148
46584,2.59,1,1.576002197,5/14/2018,1.59,159
56783,1.53,0,1.572940266,10/13/2022,-1,-100
47167,1.63,0,1.572919859,7/20/2018,-1,-100
48206,1.56,0,1.572535872,1/10/2019,-1,-100
49755,1.72,0,1.572400406,7/18/2019,-1,-100
52837,2.6,1,1.572132571,4/29/2021,1.6,160
56573,2.39,1,1.570294877,9/21/2022,1.39,139
50243,2.65,1,1.569833147,9/4/2019,1.65,165
43958,1.52,0,1.569770861,5/14/2017,-1,-100
50010,2.36,1,1.568486588,8/8/2019,1.36,136
55035,2.54,1,1.566711056,3/12/2022,1.54,154
57485,1.41,0,1.565428249,2/23/2023,-1,-100
48990,1.6,0,1.565220298,4/22/2019,-1,-100
48438,1.69,0,1.565016419,2/12/2019,-1,-100
