match,PSW,win0,confidence0,date,,
34042,1.76,0,1.601419476,10/17/2019,-1,-100
38881,1.55,0,1.601322038,4/22/2022,-1,-100
40388,2.48,1,1.601246588,10/21/2022,1.48,148
40592,1.65,0,1.600113463,1/8/2023,-1,-100
30521,1.56,0,1.599897042,7/2/2018,-1,-100
31342,1.45,0,1.598844051,10/8/2018,-1,-100
34266,2.83,1,1.598377764,1/16/2020,1.83,183
38565,2.43,1,1.598149738,3/13/2022,1.43,143
31513,2.67,1,1.596914942,10/25/2018,1.67,167
40794,1.63,0,1.59665283,2/7/2023,-1,-100
40906,2.46,1,1.594825874,2/16/2023,1.46,146
40823,1.52,0,1.593690227,2/9/2023,-1,-100
40529,2.41,1,1.591935264,11/17/2022,1.41,141
34700,1.63,0,1.591393484,2/26/2020,-1,-100
30767,1.54,0,1.590376227,7/27/2018,-1,-100
29663,2.58,1,1.590141313,3/14/2018,1.58,158
35714,2.57,1,1.58862052,2/12/2021,1.57,157
32770,1.54,0,1.588619023,5/22/2019,-1,-100
33851,1.55,0,1.587650177,9/26/2019,-1,-100
39649,2.34,1,1.587510851,7/25/2022,1.34,134
36395,1.64,0,1.587154147,5/4/2021,-1,-100
34784,1.62,0,1.58671649,8/26/2020,-1,-100
31883,1.52,0,1.586263078,2/5/2019,-1,-100
38802,2.16,1,1.584743156,4/14/2022,1.16,116
40561,2.72,1,1.582997631,1/3/2023,1.72,172
29977,1.59,0,1.582696512,5/1/2018,-1,-100
37543,2.31,1,1.581907244,9/22/2021,1.31,131
37324,1.79,0,1.581865233,8/18/2021,-1,-100
32945,1.59,0,1.581522684,6/11/2019,-1,-100
35908,2.58,1,1.581172326,3/9/2021,1.58,158
38342,2.34,1,1.579194194,2/15/2022,1.34,134
37858,1.67,0,1.5751725,11/2/2021,-1,-100
38532,1.6,0,1.573096288,3/11/2022,-1,-100
39014,1.68,0,1.572903072,5/10/2022,-1,-100
37168,1.66,0,1.572859021,7/28/2021,-1,-100
35638,1.56,0,1.572589522,2/8/2021,-1,-100
36786,2.23,1,1.572198345,6/17/2021,1.23,123
40437,1.6,0,1.570396185,10/26/2022,-1,-100
31610,1.67,0,1.569167173,12/31/2018,-1,-100
38530,1.58,0,1.567405596,3/11/2022,-1,-100
38921,2.48,1,1.566993276,4/28/2022,1.48,148
40802,1.71,0,1.566125549,2/8/2023,-1,-100
35421,1.58,0,1.56610347,11/10/2020,-1,-100
39324,1.66,0,1.564101379,6/15/2022,-1,-100
33461,2.27,1,1.562931593,8/1/2019,1.27,127
30058,2.44,1,1.561950435,5/8/2018,1.44,144
36810,1.6,0,1.55525916,6/21/2021,-1,-100
36299,1.77,0,1.554897601,4/22/2021,-1,-100
31832,2.74,1,1.554198689,1/18/2019,1.74,174
38972,1.49,0,1.552881267,5/4/2022,-1,-100
35199,2.37,1,1.551504968,10/14/2020,1.37,137
31718,1.61,0,1.551420028,1/9/2019,-1,-100
32634,1.51,0,1.550367267,5/6/2019,-1,-100
32082,1.6,0,1.550191918,2/21/2019,-1,-100
30454,1.53,0,1.549825113,6/25/2018,-1,-100
33191,1.52,0,1.548990099,7/5/2019,-1,-100
39206,2.46,1,1.548637159,5/27/2022,1.46,146
40825,3.04,1,1.548158931,2/9/2023,2.04,204
30319,1.69,0,1.548002174,6/3/2018,-1,-100
29834,2.38,1,1.547091542,4/15/2018,1.38,138
29997,2.37,1,1.54703955,5/2/2018,1.37,137
30326,1.54,0,1.546695501,6/7/2018,-1,-100
37635,2.75,1,1.545613145,10/7/2021,1.75,175
35703,2.48,1,1.545341394,2/11/2021,1.48,148
32300,2.34,1,1.544549613,3/20/2019,1.34,134
38518,1.62,0,1.543911052,3/10/2022,-1,-100
31044,2.06,1,1.543885383,8/27/2018,1.06,106
34883,2.52,1,1.543591154,9/3/2020,1.52,152
32736,1.72,0,1.543325408,5/17/2019,-1,-100
30425,1.58,0,1.543105888,6/21/2018,-1,-100
34093,2.3,1,1.542590359,10/23/2019,1.3,130
33055,2.18,1,1.542501362,6/25/2019,1.18,118
35595,2.24,1,1.538600235,2/4/2021,1.24,124
37231,2.42,1,1.537942777,8/5/2021,1.42,142
34892,1.58,0,1.537407837,9/4/2020,-1,-100
38206,1.56,0,1.537265169,2/3/2022,-1,-100
37552,1.66,0,1.535099256,9/23/2021,-1,-100
36416,2.36,1,1.534767212,5/6/2021,1.36,136
38071,1.58,0,1.532981377,1/18/2022,-1,-100
37735,1.6,0,1.53281536,10/19/2021,-1,-100
37971,1.63,0,1.531932666,1/9/2022,-1,-100
36825,2.4,1,1.531462598,6/22/2021,1.4,140
35445,2.29,1,1.531131725,11/19/2020,1.29,129
37781,2.53,1,1.530382705,10/25/2021,1.53,153
37386,2.75,1,1.529727491,8/26/2021,1.75,175
32579,1.77,0,1.529172506,4/29/2019,-1,-100
37700,1.49,0,1.527092762,10/12/2021,-1,-100
38895,2.13,1,1.526221051,4/25/2022,1.13,113
38769,1.53,0,1.525553545,4/11/2022,-1,-100
34270,2.73,1,1.523207927,1/17/2020,1.73,173
32358,1.55,0,1.522334936,3/23/2019,-1,-100
33324,1.47,0,1.519901454,7/23/2019,-1,-100
38902,1.6,0,1.519389667,4/26/2022,-1,-100
30116,2.48,1,1.51891847,5/15/2018,1.48,148
31017,1.56,0,1.518054478,8/21/2018,-1,-100
30665,1.57,0,1.516739226,7/18/2018,-1,-100
29529,2.24,1,1.516090412,2/27/2018,1.24,124
32244,2.13,1,1.51401056,3/9/2019,1.13,113
34450,2.2,1,1.512614896,2/6/2020,1.2,120
38146,1.61,0,1.512593759,1/25/2022,-1,-100
35024,1.58,0,1.509795914,9/24/2020,-1,-100
31405,1.53,0,1.509493481,10/16/2018,-1,-100
30953,1.87,0,1.50923302,8/13/2018,-1,-100
36188,1.76,0,1.509228879,4/11/2021,-1,-100
35809,1.74,0,1.508908742,2/26/2021,-1,-100
29294,1.69,0,1.50823737,2/8/2018,-1,-100
31262,2.34,1,1.507284939,9/27/2018,1.34,134
36222,2.44,1,1.506028785,4/14/2021,1.44,144
33275,2.3,1,1.505265398,7/18/2019,1.3,130
33448,2.37,1,1.505248042,8/1/2019,1.37,137
34912,1.54,0,1.504897209,9/8/2020,-1,-100
36457,2.14,1,1.50451071,5/12/2021,1.14,114
32522,2.24,1,1.504000845,4/23/2019,1.24,124
33031,1.69,0,1.503785096,6/21/2019,-1,-100
33508,1.75,0,1.503250503,8/7/2019,-1,-100
37649,1.73,0,1.50057595,10/8/2021,-1,-100
36659,2.15,1,1.499983726,6/2/2021,1.15,115
30406,1.63,0,1.499682026,6/19/2018,-1,-100
40863,2.17,1,1.498567644,2/13/2023,1.17,117
36984,2.22,1,1.498382811,7/12/2021,1.22,122
30362,1.6,0,1.497204565,6/14/2018,-1,-100
31528,1.81,0,1.497125629,10/26/2018,-1,-100
36337,2.55,1,1.49636001,4/27/2021,1.55,155
31202,2.37,1,1.494705043,9/20/2018,1.37,137
29976,2.2,1,1.493962646,5/1/2018,1.2,120
36360,1.63,0,1.492865232,4/30/2021,-1,-100
38125,2.23,1,1.491909077,1/21/2022,1.23,123
38018,1.71,0,1.49172368,1/13/2022,-1,-100
36484,1.76,0,1.491333574,5/17/2021,-1,-100
40819,1.85,0,1.488075007,2/9/2023,-1,-100
39345,2.49,1,1.485036798,6/18/2022,1.49,149
29111,2.36,1,1.484718694,1/11/2018,1.36,136
30917,1.66,0,1.484703768,8/8/2018,-1,-100
32737,2.6,1,1.483527154,5/17/2019,1.6,160
38594,1.71,0,1.483166995,3/16/2022,-1,-100
36125,1.56,0,1.482750434,3/30/2021,-1,-100
35682,2.39,1,1.480493609,2/10/2021,1.39,139
29998,1.54,0,1.48032828,5/2/2018,-1,-100
40550,1.69,0,1.479976704,1/2/2023,-1,-100
36722,1.57,0,1.479569348,6/10/2021,-1,-100
39651,1.51,0,1.47859014,7/25/2022,-1,-100
35465,2.12,1,1.478193623,1/8/2021,1.12,112
30912,1.67,0,1.478066617,8/8/2018,-1,-100
37974,1.51,0,1.477449402,1/10/2022,-1,-100
38220,1.68,0,1.477073268,2/4/2022,-1,-100
33278,2.14,1,1.476977937,7/19/2019,1.14,114
39894,1.9,0,1.476912483,8/19/2022,-1,-100
38557,1.69,0,1.476380335,3/13/2022,-1,-100
37722,2.53,1,1.476130479,10/16/2021,1.53,153
29015,1.84,0,1.475717212,1/2/2018,-1,-100
40301,1.53,0,1.475253086,10/13/2022,-1,-100
38280,1.83,0,1.474834197,2/9/2022,-1,-100
33611,1.69,0,1.474751464,8/20/2019,-1,-100
