match,PSW,win0,confidence0,date,,
45826,2.33,1,1.58866668,2/13/2018,1.33,133
51370,2.44,1,1.58836696,9/4/2020,1.44,144
50010,2.36,1,1.5876908,8/8/2019,1.36,136
54456,1.51,0,1.587164089,1/10/2022,-1,-100
49190,2.16,1,1.586746187,5/14/2019,1.16,116
54855,1.62,0,1.585836603,2/16/2022,-1,-100
52510,1.62,0,1.585515261,3/18/2021,-1,-100
47976,1.56,0,1.584774648,10/23/2018,-1,-100
46735,1.5,0,1.582763412,5/29/2018,-1,-100
51504,2.04,1,1.581964115,9/24/2020,1.04,104
56959,1.62,0,1.581504827,10/31/2022,-1,-100
55284,2.16,1,1.579946833,4/14/2022,1.16,116
46688,1.54,0,1.57970811,5/27/2018,-1,-100
56919,1.6,0,1.577392034,10/26/2022,-1,-100
56263,2.09,1,1.576344889,8/5/2022,1.09,109
44764,2.52,1,1.575688474,8/8/2017,1.52,152
55457,2.4,1,1.573010802,5/4/2022,1.4,140
48102,1.69,0,1.57294566,1/1/2019,-1,-100
46377,1.49,0,1.572942109,4/23/2018,-1,-100
48766,2.34,1,1.57195918,3/13/2019,1.34,134
52594,1.55,0,1.571481932,3/29/2021,-1,-100
54390,1.6,0,1.571045161,11/16/2021,-1,-100
47425,1.66,0,1.57081509,8/13/2018,-1,-100
44643,2.56,1,1.567943611,7/29/2017,1.56,156
53524,1.66,0,1.567410028,7/15/2021,-1,-100
44232,2.7,1,1.567343983,6/16/2017,1.7,170
55806,1.66,0,1.566198059,6/15/2022,-1,-100
54107,1.51,0,1.565966225,10/2/2021,-1,-100
46316,2.38,1,1.565590218,4/15/2018,1.38,138
52394,1.79,0,1.565444465,3/9/2021,-1,-100
49717,2.34,1,1.564846845,7/16/2019,1.34,134
43565,1.69,0,1.563930347,3/23/2017,-1,-100
57240,1.64,0,1.562929684,1/22/2023,-1,-100
44837,1.55,0,1.562200621,8/16/2017,-1,-100
48684,1.6,0,1.560680836,3/7/2019,-1,-100
57084,2.28,1,1.560438302,1/9/2023,1.28,128
43526,1.61,0,1.559812501,3/14/2017,-1,-100
52968,2.45,1,1.558640613,5/17/2021,1.45,145
47427,2.29,1,1.557385877,8/13/2018,1.29,129
56087,1.56,0,1.557088028,7/19/2022,-1,-100
52072,2.41,1,1.556212601,2/4/2021,1.41,141
51129,1.58,0,1.554739431,2/23/2020,-1,-100
50347,1.57,0,1.5538486,9/27/2019,-1,-100
51182,1.63,0,1.553338275,2/26/2020,-1,-100
47243,2.44,1,1.553176641,7/26/2018,1.44,144
55869,1.51,0,1.552288773,6/22/2022,-1,-100
53569,2.57,1,1.551633033,7/20/2021,1.57,157
47744,2.34,1,1.550667318,9/27/2018,1.34,134
45975,2.59,1,1.548906641,2/25/2018,1.59,159
52926,2.47,1,1.548108054,5/11/2021,1.47,147
47946,2.37,1,1.547294807,10/19/2018,1.37,137
51107,2.11,1,1.547149192,2/20/2020,1.11,111
51890,1.56,0,1.546173674,11/7/2020,-1,-100
56178,1.57,0,1.545011718,7/28/2022,-1,-100
42858,2.46,1,1.543710478,1/2/2017,1.46,146
49209,2.43,1,1.543057581,5/16/2019,1.43,143
47643,1.57,0,1.542546736,9/3/2018,-1,-100
52087,1.57,0,1.542403739,2/5/2021,-1,-100
55140,2.96,1,1.541907276,3/26/2022,1.96,196
44640,1.66,0,1.540823184,7/29/2017,-1,-100
47950,1.72,0,1.540816618,10/20/2018,-1,-100
53204,1.57,0,1.540067837,6/10/2021,-1,-100
47563,1.66,0,1.539046406,8/28/2018,-1,-100
47885,2.47,1,1.538764866,10/16/2018,1.47,147
48379,2.12,1,1.535502056,2/6/2019,1.12,112
57388,2.46,1,1.533538391,2/16/2023,1.46,146
52519,1.54,0,1.533402002,3/20/2021,-1,-100
44105,1.74,0,1.532516255,5/29/2017,-1,-100
56149,1.64,0,1.531233231,7/26/2022,-1,-100
56841,1.95,0,1.528392958,10/19/2022,-1,-100
47679,1.69,0,1.52811773,9/20/2018,-1,-100
47166,2.24,1,1.527536404,7/19/2018,1.24,124
47964,1.66,0,1.526014368,10/22/2018,-1,-100
52332,2.27,1,1.524424723,3/3/2021,1.27,127
55349,2.7,1,1.524327165,4/21/2022,1.7,170
47554,2.29,1,1.522692125,8/28/2018,1.29,129
43257,2.27,1,1.521458323,2/17/2017,1.27,127
48699,1.65,0,1.521441132,3/8/2019,-1,-100
56574,1.6,0,1.521297958,9/21/2022,-1,-100
48671,2.23,1,1.521185449,3/1/2019,1.23,123
47684,2.37,1,1.518645167,9/20/2018,1.37,137
50369,2.2,1,1.518422136,10/1/2019,1.2,120
55372,1.81,0,1.518335509,4/25/2022,-1,-100
51569,2.03,0,1.517192846,9/29/2020,-1,-100
50524,1.76,0,1.515560251,10/17/2019,-1,-100
48010,1.81,0,1.514759733,10/26/2018,-1,-100
50383,1.59,0,1.514668539,10/2/2019,-1,-100
55198,1.5,0,1.514513009,4/5/2022,-1,-100
55827,2.49,1,1.514364184,6/18/2022,1.49,149
52967,1.6,0,1.513853599,5/17/2021,-1,-100
43779,1.61,0,1.51324531,4/25/2017,-1,-100
53056,1.65,0,1.511787071,5/26/2021,-1,-100
47383,1.51,0,1.511527351,8/7/2018,-1,-100
42852,2.28,1,1.508466842,1/2/2017,1.28,128
57379,1.57,0,1.508093295,2/15/2023,-1,-100
46847,1.8,0,1.507817293,6/14/2018,-1,-100
47768,1.83,0,1.507136251,10/1/2018,-1,-100
43345,1.76,0,1.50640844,2/24/2017,-1,-100
54702,1.68,0,1.505300559,2/4/2022,-1,-100
46465,1.63,0,1.502752141,5/1/2018,-1,-100
53656,2.4,1,1.502059027,7/28/2021,1.4,140
47439,1.78,0,1.501793339,8/14/2018,-1,-100
53564,1.59,0,1.501677513,7/20/2021,-1,-100
50295,1.53,0,1.498272782,9/20/2019,-1,-100
56770,2.3,1,1.497748038,10/11/2022,1.3,130
49732,1.65,0,1.497704689,7/16/2019,-1,-100
56321,2.51,1,1.497257467,8/12/2022,1.51,151
48125,1.74,0,1.496814983,1/2/2019,-1,-100
47249,1.54,0,1.496510188,7/27/2018,-1,-100
50547,1.63,0,1.494703101,10/19/2019,-1,-100
45192,1.78,0,1.493466055,10/6/2017,-1,-100
46501,1.75,0,1.493332584,5/3/2018,-1,-100
49445,2.6,1,1.492775409,6/14/2019,1.6,160
53801,1.7,0,1.492441683,8/18/2021,-1,-100
45336,2.04,1,1.491219119,10/22/2017,1.04,104
46801,1.69,0,1.49060849,6/3/2018,-1,-100
52839,1.78,0,1.49015834,4/29/2021,-1,-100
55161,1.65,0,1.490125194,3/28/2022,-1,-100
49954,1.62,0,1.489996436,8/2/2019,-1,-100
44751,1.74,0,1.489059279,8/7/2017,-1,-100
47904,1.56,0,1.488699443,10/16/2018,-1,-100
52945,1.79,0,1.487841426,5/12/2021,-1,-100
49948,1.64,0,1.487085045,8/2/2019,-1,-100
54400,2.44,1,1.486854915,11/21/2021,1.44,144
48489,1.58,0,1.486639865,2/15/2019,-1,-100
48564,1.6,0,1.484807058,2/21/2019,-1,-100
48931,1.73,0,1.484768896,4/14/2019,-1,-100
56363,1.75,0,1.484694062,8/17/2022,-1,-100
49673,1.52,0,1.48460333,7/5/2019,-1,-100
45037,1.65,0,1.484378688,9/18/2017,-1,-100
48540,1.69,0,1.483845426,2/19/2019,-1,-100
43371,2.2,1,1.483610133,2/28/2017,1.2,120
52239,2.33,1,1.483597115,2/23/2021,1.33,133
55863,2.24,1,1.483123242,6/22/2022,1.24,124
45789,2.61,1,1.481442409,2/9/2018,1.61,161
53612,1.63,0,1.481009053,7/23/2021,-1,-100
56351,2.46,1,1.480570875,8/16/2022,1.46,146
47204,2.63,1,1.476858528,7/24/2018,1.63,163
56213,2.24,1,1.475599494,8/2/2022,1.24,124
55044,2.43,1,1.474855962,3/13/2022,1.43,143
46011,2.24,1,1.474810502,2/27/2018,1.24,124
50337,2.5,1,1.473506987,9/26/2019,1.5,150
56063,1.57,0,1.4735029,7/16/2022,-1,-100
51309,1.8,0,1.473191527,9/1/2020,-1,-100
45663,1.59,0,1.47248768,1/16/2018,-1,-100
52077,2.24,1,1.470343052,2/4/2021,1.24,124
53491,2.12,1,1.469105679,7/13/2021,1.12,112
54090,2.19,1,1.468460986,9/30/2021,1.19,119
49893,2.27,1,1.468288347,7/30/2019,1.27,127
53268,2.23,1,1.468081834,6/17/2021,1.23,123
43228,2.62,1,1.467787262,2/15/2017,1.62,162
45051,2.37,1,1.467425296,9/20/2017,1.37,137
48980,1.74,0,1.46672665,4/19/2019,-1,-100
46975,1.56,0,1.46662334,6/29/2018,-1,-100
48659,1.68,0,1.466348261,2/28/2019,-1,-100
55350,1.55,0,1.465709587,4/22/2022,-1,-100
56573,2.39,1,1.465703714,9/21/2022,1.39,139
55436,1.83,0,1.465635855,5/2/2022,-1,-100
55021,1.55,0,1.465318019,3/12/2022,-1,-100
43868,2.37,1,1.464840289,5/4/2017,1.37,137
44769,1.63,0,1.46471283,8/8/2017,-1,-100
48027,1.72,0,1.4646952,10/29/2018,-1,-100
48619,1.83,1,1.464311248,2/26/2019,0.83,83
52647,1.79,0,1.462305305,4/7/2021,-1,-100
57255,2.58,1,1.462106598,2/6/2023,1.58,158
43778,2.09,1,1.461321665,4/25/2017,1.09,109
47752,2.65,1,1.461011371,9/28/2018,1.65,165
46386,1.65,0,1.460553733,4/24/2018,-1,-100
54680,1.7,0,1.459942527,2/2/2022,-1,-100
51687,2.31,1,1.458740367,10/14/2020,1.31,131
46806,1.63,0,1.457697082,6/5/2018,-1,-100
53294,1.89,0,1.457304001,6/22/2021,-1,-100
46922,1.76,0,1.456748588,6/23/2018,-1,-100
54022,1.78,0,1.456280558,9/22/2021,-1,-100
52067,2.22,1,1.455527363,2/3/2021,1.22,122
54853,2.37,1,1.454180935,2/16/2022,1.37,137
51756,2.02,1,1.452197525,10/21/2020,1.02,102
48777,1.47,0,1.452195504,3/16/2019,-1,-100
54025,2.31,1,1.451872507,9/22/2021,1.31,131
57044,1.62,0,1.451501927,1/3/2023,-1,-100
50544,1.61,0,1.451226994,10/19/2019,-1,-100
47279,1.89,1,1.451197093,7/31/2018,0.89,89
49962,2.18,1,1.450931081,8/4/2019,1.18,118
49185,2.28,1,1.450508967,5/14/2019,1.28,128
44065,1.65,0,1.450303459,5/28/2017,-1,-100
49930,2.37,1,1.449890124,8/1/2019,1.37,137
47756,1.69,0,1.449778939,9/29/2018,-1,-100
54117,2.75,1,1.449053148,10/7/2021,1.75,175
47264,1.55,0,1.447692557,7/28/2018,-1,-100
50976,2.06,0,1.447400433,2/11/2020,-1,-100
46584,2.59,1,1.446738786,5/14/2018,1.59,159
47913,2.3,1,1.446688078,10/17/2018,1.3,130
53307,2.4,1,1.446574416,6/22/2021,1.4,140
47318,1.79,0,1.445584153,8/1/2018,-1,-100
43372,1.81,0,1.445360356,2/28/2017,-1,-100
55857,2.2,1,1.445316241,6/22/2022,1.2,120
50198,1.77,0,1.444836723,8/29/2019,-1,-100
54451,2.16,1,1.44470556,1/8/2022,1.16,116
54186,1.6,0,1.444675644,10/12/2021,-1,-100
55515,1.66,0,1.444633227,5/11/2022,-1,-100
56238,2.1,0,1.444592097,8/3/2022,-1,-100
54204,2.53,1,1.443449338,10/16/2021,1.53,153
50578,1.71,0,1.443403289,10/23/2019,-1,-100
49941,1.68,0,1.443199408,8/1/2019,-1,-100
57474,1.67,0,1.442936289,2/23/2023,-1,-100
43700,2.6,1,1.441082136,4/17/2017,1.6,160
52849,2.45,1,1.440430237,5/1/2021,1.45,145
51544,1.77,0,1.440185782,9/28/2020,-1,-100
56331,1.99,1,1.439388696,8/14/2022,0.99,99
52908,1.68,0,1.438787778,5/9/2021,-1,-100
54628,1.61,0,1.437955838,1/25/2022,-1,-100
45857,1.58,0,1.437121067,2/15/2018,-1,-100
47801,1.78,0,1.43703806,10/4/2018,-1,-100
