match,PSW,win0,confidence0,date,,
52016,2.2,1,1.557073417,2/2/2021,1.2,120
52248,1.69,0,1.557040184,2/23/2021,-1,-100
49086,1.59,0,1.554556525,5/1/2019,-1,-100
47975,1.56,0,1.553370443,10/23/2018,-1,-100
48122,1.74,0,1.55087769,1/2/2019,-1,-100
46868,1.65,0,1.549886023,6/18/2018,-1,-100
48674,2.23,1,1.5494285,3/1/2019,1.23,123
49961,1.61,0,1.548002522,8/3/2019,-1,-100
55244,1.61,0,1.547259366,4/10/2022,-1,-100
49197,2.41,1,1.54661716,5/16/2019,1.41,141
48207,1.56,0,1.545862776,1/10/2019,-1,-100
44068,1.65,0,1.544657965,5/28/2017,-1,-100
51129,1.58,0,1.543915887,2/23/2020,-1,-100
49224,1.57,0,1.539898631,5/19/2019,-1,-100
48365,1.52,0,1.538435952,2/5/2019,-1,-100
47402,1.66,0,1.538405814,8/8/2018,-1,-100
42888,2.54,1,1.538027487,1/4/2017,1.54,154
49217,1.72,0,1.537696837,5/17/2019,-1,-100
56500,2.59,1,1.536186303,8/31/2022,1.59,159
49717,2.34,1,1.536154837,7/16/2019,1.34,134
56682,1.67,0,1.534908155,10/1/2022,-1,-100
52660,1.63,0,1.534808959,4/9/2021,-1,-100
57119,2.21,1,1.534574551,1/12/2023,1.21,121
48981,1.74,0,1.533925774,4/19/2019,-1,-100
48676,1.54,0,1.53348379,3/1/2019,-1,-100
54482,1.61,0,1.529708164,1/12/2022,-1,-100
52069,1.67,0,1.528982282,2/3/2021,-1,-100
50547,1.63,0,1.528496218,10/19/2019,-1,-100
54858,1.62,0,1.526841532,2/16/2022,-1,-100
55349,1.51,0,1.526083469,4/21/2022,-1,-100
56325,2.51,1,1.525333469,8/12/2022,1.51,151
50524,1.76,0,1.52427156,10/17/2019,-1,-100
50643,1.6,0,1.523275331,10/30/2019,-1,-100
47647,2.47,1,1.523084536,9/5/2018,1.47,147
53449,1.67,0,1.523079481,7/3/2021,-1,-100
51107,2.11,1,1.522665447,2/20/2020,1.11,111
49510,2.3,1,1.522178242,6/21/2019,1.3,130
43865,2.5,1,1.520460521,5/3/2017,1.5,150
57047,1.69,0,1.519543309,1/4/2023,-1,-100
54893,1.61,0,1.51707561,2/19/2022,-1,-100
51912,1.59,0,1.5161936,11/12/2020,-1,-100
47357,2.58,1,1.515807747,8/3/2018,1.58,158
53583,2.33,1,1.515437763,7/21/2021,1.33,133
44784,1.43,0,1.514869005,8/9/2017,-1,-100
52810,2.25,1,1.513875883,4/27/2021,1.25,125
47425,2.29,1,1.513390971,8/13/2018,1.29,129
48537,1.69,0,1.512221346,2/19/2019,-1,-100
51019,1.91,1,1.511661045,2/13/2020,0.91,91
56654,2.37,1,1.511136273,9/29/2022,1.37,137
56709,1.65,0,1.510383804,10/4/2022,-1,-100
43488,1.67,0,1.508753861,3/11/2017,-1,-100
55463,2.4,1,1.50804677,5/4/2022,1.4,140
43942,1.54,0,1.507731401,5/11/2017,-1,-100
51032,1.56,0,1.506509027,2/15/2020,-1,-100
52368,1.91,0,1.506045029,3/8/2021,-1,-100
55403,2.48,1,1.505940249,4/28/2022,1.48,148
50953,2.65,1,1.505021721,2/8/2020,1.65,165
52357,2.25,1,1.504854273,3/5/2021,1.25,125
52417,1.56,0,1.504048486,3/10/2021,-1,-100
52948,1.58,0,1.503763866,5/13/2021,-1,-100
43322,2.16,1,1.503759198,2/22/2017,1.16,116
53656,2.4,1,1.503162646,7/28/2021,1.4,140
54179,2.14,1,1.502372983,10/12/2021,1.14,114
55175,2.74,1,1.501762077,3/30/2022,1.74,174
51927,2.29,1,1.500343156,11/19/2020,1.29,129
56882,1.79,0,1.500171466,10/23/2022,-1,-100
48710,2.57,1,1.500130051,3/8/2019,1.57,157
52842,1.63,0,1.499635758,4/30/2021,-1,-100
55399,2.33,1,1.499562173,4/27/2022,1.33,133
48652,2.26,1,1.499455307,2/28/2019,1.26,126
48102,1.69,0,1.499121299,1/1/2019,-1,-100
54186,1.6,0,1.498908713,10/12/2021,-1,-100
46543,2.16,1,1.498496275,5/8/2018,1.16,116
53134,1.81,0,1.497985162,6/2/2021,-1,-100
51477,2.36,1,1.497686521,9/19/2020,1.36,136
48163,1.66,0,1.497056408,1/6/2019,-1,-100
49990,1.75,0,1.496866177,8/7/2019,-1,-100
49537,2.18,1,1.496856693,6/25/2019,1.18,118
52313,2.1,1,1.496558819,3/1/2021,1.1,110
44493,1.61,0,1.495310772,7/17/2017,-1,-100
48506,2.45,1,1.49483985,2/17/2019,1.45,145
46985,1.77,0,1.494344625,7/2/2018,-1,-100
45663,1.59,0,1.491849092,1/16/2018,-1,-100
46930,2.37,1,1.488861844,6/25/2018,1.37,137
44301,2.28,1,1.488347893,6/24/2017,1.28,128
50333,1.55,0,1.486072902,9/26/2019,-1,-100
55305,2.18,1,1.484781619,4/18/2022,1.18,118
46800,1.69,0,1.484302544,6/3/2018,-1,-100
46011,2.24,1,1.484022573,2/27/2018,1.24,124
52898,2.36,1,1.483581318,5/6/2021,1.36,136
51350,2.44,1,1.483400768,9/3/2020,1.44,144
56160,2.16,1,1.482518954,7/27/2022,1.16,116
51977,1.92,1,1.48217671,1/11/2021,0.92,92
56059,1.61,0,1.480319948,7/15/2022,-1,-100
47792,1.77,0,1.479821946,10/3/2018,-1,-100
53213,1.68,0,1.479419174,6/11/2021,-1,-100
52283,2.32,1,1.478343913,2/25/2021,1.32,132
47290,1.66,0,1.477820992,7/31/2018,-1,-100
52017,2.48,1,1.477644452,2/2/2021,1.48,148
53300,1.64,0,1.476520483,6/22/2021,-1,-100
53531,1.57,0,1.476217545,7/16/2021,-1,-100
48133,1.6,0,1.475602626,1/2/2019,-1,-100
51644,1.61,0,1.475411467,10/12/2020,-1,-100
43413,2.32,1,1.475020471,3/1/2017,1.32,132
44490,1.55,0,1.474775615,7/17/2017,-1,-100
51973,1.48,0,1.474634046,1/10/2021,-1,-100
44765,2.52,1,1.474601741,8/8/2017,1.52,152
48994,1.76,0,1.473865219,4/22/2019,-1,-100
49732,1.65,0,1.473325641,7/16/2019,-1,-100
54042,2.6,1,1.472530916,9/23/2021,1.6,160
52781,1.77,0,1.472096286,4/22/2021,-1,-100
52967,1.6,0,1.471184861,5/17/2021,-1,-100
45454,1.57,0,1.470769601,11/15/2017,-1,-100
48154,2.5,1,1.470164567,1/4/2019,1.5,150
49258,1.8,0,1.469803516,5/22/2019,-1,-100
57073,1.62,0,1.468307337,1/7/2023,-1,-100
55567,2.58,1,1.467430176,5/18/2022,1.58,158
44516,1.9,0,1.467241073,7/18/2017,-1,-100
44094,1.74,0,1.466279109,5/29/2017,-1,-100
54606,1.67,0,1.466086709,1/21/2022,-1,-100
51996,2.31,1,1.465991054,2/1/2021,1.31,131
43244,2.37,1,1.465882033,2/16/2017,1.37,137
51922,1.74,0,1.463070397,11/16/2020,-1,-100
50080,1.96,1,1.462834929,8/19/2019,0.96,96
50148,1.75,0,1.462287792,8/26/2019,-1,-100
49555,2.42,1,1.461347813,6/26/2019,1.42,142
44710,1.67,0,1.460988883,8/3/2017,-1,-100
54770,1.9,0,1.460515976,2/10/2022,-1,-100
45151,1.81,0,1.460343504,10/2/2017,-1,-100
48330,2.22,1,1.459768646,1/20/2019,1.22,122
50793,1.64,0,1.459741394,1/21/2020,-1,-100
50284,2.34,1,1.459559451,9/19/2019,1.34,134
43775,2.09,1,1.45929768,4/25/2017,1.09,109
48025,2.35,1,1.45901262,10/29/2018,1.35,135
46236,1.65,0,1.45765878,3/26/2018,-1,-100
52330,1.71,0,1.457538722,3/2/2021,-1,-100
43456,2.46,1,1.457415124,3/9/2017,1.46,146
48117,2.23,1,1.456737857,1/1/2019,1.23,123
54339,1.67,0,1.456647873,11/2/2021,-1,-100
48842,2.17,1,1.455740367,3/24/2019,1.17,117
44791,2.09,1,1.455676391,8/10/2017,1.09,109
50337,2.5,1,1.455497866,9/26/2019,1.5,150
45710,2.36,1,1.455433894,1/20/2018,1.36,136
45467,1.73,0,1.455269444,1/1/2018,-1,-100
56975,2.62,1,1.454386092,11/2/2022,1.62,162
46089,1.58,0,1.453777012,3/9/2018,-1,-100
48007,1.81,0,1.452879395,10/26/2018,-1,-100
56735,2.11,1,1.452670769,10/6/2022,1.11,111
47287,1.94,1,1.452623494,7/31/2018,0.94,94
47026,1.63,0,1.452320205,7/3/2018,-1,-100
57006,1.6,0,1.452277903,11/15/2022,-1,-100
52914,1.79,0,1.452176396,5/10/2021,-1,-100
54833,1.57,0,1.451862175,2/15/2022,-1,-100
49750,2.6,1,1.451296309,7/17/2019,1.6,160
46610,1.65,0,1.451173508,5/16/2018,-1,-100
54090,2.19,1,1.450755787,9/30/2021,1.19,119
53242,1.89,0,1.4493165,6/15/2021,-1,-100
43584,2.28,1,1.447348557,3/24/2017,1.28,128
49733,1.57,0,1.447327365,7/16/2019,-1,-100
52863,1.74,0,1.445910138,5/3/2021,-1,-100
48860,2.36,1,1.445812168,3/26/2019,1.36,136
56365,1.61,0,1.445297584,8/17/2022,-1,-100
47993,1.61,0,1.44528413,10/25/2018,-1,-100
45622,1.71,0,1.445127992,1/15/2018,-1,-100
55283,2.16,1,1.445043905,4/14/2022,1.16,116
43656,2.45,1,1.444560487,4/12/2017,1.45,145
48561,2.33,1,1.443479676,2/21/2019,1.33,133
