match,PSW,win0,confidence0,date,winner,,,,,,,,,
47460,1.54,0,1.738065885,8/16/2018,Fucsovics M.,,,,,,,,,1.04
43449,1.53,0,1.733346817,3/5/2017,Cuevas P.,,,,,,,,,
32175,2.62,1,1.732089418,10/4/2012,Baghdatis M.,,,,,,,,,
53216,2.8,1,1.731926723,6/11/2021,Djokovic N.,,,,,,,,,
35550,2.55,1,1.73176361,2/25/2014,Rosol L.,,,,,,,,,
57465,1.67,0,1.72991028,2/21/2023,Van De Zandschulp B.,,,,,,,,,
43832,1.54,0,1.729453835,5/1/2017,Elias G.,,,,,,,,,
39061,2.21,1,1.727601645,6/19/2015,Troicki V.,,,,,,,,,
34759,1.48,0,1.723585169,9/27/2013,Benneteau J.,,,,,,,,,
37771,1.56,0,1.721776008,1/19/2015,Baghdatis M.,,,,,,,,,
46590,2.59,1,1.720287173,5/14/2018,Ramos-Vinolas A.,,,,,,,,,
37442,1.65,0,1.719230035,10/16/2014,Troicki V.,,,,,,,,,
41423,1.69,0,1.716836243,5/17/2016,Istomin D.,,,,,,,,,
38434,1.59,0,1.71479588,4/9/2015,Vesely J.,,,,,,,,,
34714,3.05,1,1.712061539,9/23/2013,Sijsling I.,,,,,,,,,
35021,1.56,0,1.712039021,11/8/2013,Wawrinka S.,,,,,,,,,
55220,1.68,0,1.707794307,4/6/2022,Kyrgios N.,,,,,,,,,
55869,1.51,0,1.706910027,6/22/2022,Bublik A.,,,,,,,,,
42558,1.54,0,1.702500672,10/5/2016,Dimitrov G.,,,,,,,,,
56330,2.51,1,1.701634277,8/12/2022,Ruud C.,,,,,,,,,
51890,1.56,0,1.700348473,11/7/2020,Medvedev D.,,,,,,,,,
30501,1.52,0,1.700192411,3/12/2012,Almagro N.,,,,,,,,,
50244,2.65,1,1.698186891,9/4/2019,Berrettini M.,,,,,,,,,
36157,1.57,0,1.697466833,5/18/2014,Delbonis F.,,,,,,,,,
44691,2.44,1,1.697243755,8/2/2017,Tursunov D.,,,,,,,,,
53532,1.57,0,1.697109439,7/16/2021,Djere L.,,,,,,,,,
48676,1.54,0,1.696657013,3/1/2019,Ruud C.,,,,,,,,,
47736,1.59,0,1.696263168,9/26/2018,Sousa J.,,,,,,,,,
36170,1.57,0,1.695763164,5/19/2014,Gabashvili T.,,,,,,,,,
31534,2.49,1,1.692237543,7/15/2012,Tipsarevic J.,,,,,,,,,
47249,1.54,0,1.691785341,7/27/2018,Kovalik J.,,,,,,,,,
36418,1.53,0,1.691710851,6/15/2014,Dimitrov G.,,,,,,,,,
30851,1.58,0,1.690509315,5/1/2012,Veic A.,,,,,,,,,
31768,1.53,0,1.690410305,8/14/2012,Haas T.,,,,,,,,,
41319,2.52,1,1.68927594,5/4/2016,Sock J.,,,,,,,,,
56548,1.55,0,1.689255858,9/3/2022,Rublev A.,,,,,,,,,
40520,1.67,0,1.687085796,2/2/2016,Millman J.,,,,,,,,,
33579,1.62,0,1.686335822,5/14/2013,Chardy J.,,,,,,,,,
48316,2.74,1,1.685097631,1/18/2019,Bautista Agut R.,,,,,,,,,
40755,1.52,0,1.683019171,2/22/2016,Marchenko I.,,,,,,,,,
42547,1.47,0,1.682506056,10/4/2016,Baghdatis M.,,,,,,,,,
43566,1.51,0,1.682226432,3/23/2017,Coric B.,,,,,,,,,
46035,1.53,0,1.681730344,2/28/2018,Donaldson J.,,,,,,,,,
45026,1.49,0,1.67944921,9/5/2017,Carreno Busta P.,,,,,,,,,
37994,1.47,0,1.679416753,2/11/2015,Querrey S.,,,,,,,,,
57081,2.25,1,1.677882303,1/6/2023,Bonzi B.,,,,,,,,,
37972,3.15,1,1.677062056,2/10/2015,Lajovic D.,,,,,,,,,
57811,2.53,1,1.676731094,3/25/2023,Lajovic D.,1.53,76.5,,,,,,,1.53
47396,1.67,0,1.676316707,8/8/2018,Shapovalov D.,,,,,,,,,
52238,1.49,0,1.674380556,2/23/2021,Albot R.,,,,,,,,,
43192,1.57,0,1.672497316,2/13/2017,Haase R.,,,,,,,,,
49723,1.57,0,1.671306118,7/16/2019,Jarry N.,,,,,,,,,
44059,2.71,1,1.670558291,5/26/2017,Berdych T.,,,,,,,,,
47750,1.54,0,1.668750501,9/28/2018,Sousa J.,,,,,,,,,
38025,1.53,0,1.668675146,2/14/2015,Anderson K.,,,,,,,,,
38466,2.64,1,1.667943374,4/13/2015,Stakhovsky S.,,,,,,,,,
53650,1.51,0,1.667799169,7/28/2021,Rinderknech A.,,,,,,,,,
54054,2.77,1,1.666725004,9/25/2021,Kwon S.W.,,,,,,,,,
31610,2.65,1,1.666016349,7/21/2012,Haas T.,,,,,,,,,
53217,1.68,0,1.665952217,6/11/2021,Shapovalov D.,,,,,,,,,
