match,PSW,win0,confidence0,date,winner,,,
53560,2.57,1,1.709196867,7/20/2021,Donskoy E.,1.57,157,
50214,2.2,1,1.702697137,8/29/2019,Evans D.,1.2,120,
54182,1.49,0,1.702537906,10/12/2021,Sinner J.,-1,-100,
50685,3.34,1,1.699316424,1/7/2020,Ilkel C.,2.34,234,
41891,2.61,1,1.698893631,7/12/2016,Robert S.,1.61,161,
42094,2.5,1,1.697725852,7/26/2016,Young D.,1.5,150,
44589,2.53,1,1.695843515,7/25/2017,Millman J.,1.53,153,
53010,1.5,0,1.694315917,5/21/2021,Shapovalov D.,-1,-100,
56787,1.53,0,1.693971981,10/13/2022,Musetti L.,-1,-100,
43839,1.53,0,1.693573662,5/2/2017,Daniel T.,-1,-100,
47747,2.6,1,1.693208635,9/28/2018,Fritz T.,1.6,160,
37191,2.52,1,1.689442061,9/3/2014,Nishikori K.,1.52,152,
50526,1.76,0,1.688234855,10/17/2019,Chardy J.,-1,-100,
49328,2.76,1,1.687529333,5/28/2019,Thompson J.,1.76,176,
47461,2.55,1,1.686495241,8/16/2018,Kyrgios N.,1.55,155,
37968,2.62,1,1.684950014,2/10/2015,Souza J.,1.62,162,
35020,1.56,0,1.684784259,11/8/2013,Wawrinka S.,-1,-100,
33645,1.51,0,1.682517854,5/22/2013,Roger-Vasselin E.,-1,-100,
39414,1.54,0,1.680929066,7/30/2015,Carreno-Busta P.,-1,-100,
57043,2.72,1,1.679616536,1/3/2023,Bautista Agut R.,1.72,172,
50295,1.53,0,1.677835945,9/20/2019,Tsonga J.W.,-1,-100,
53872,1.56,0,1.677718525,8/27/2021,Alcaraz C.,-1,-100,
55150,1.59,0,1.676655121,3/27/2022,Sinner J.,-1,-100,
44235,2.7,1,1.676431623,6/16/2017,Pouille L.,1.7,170,
39645,1.61,0,1.67362214,8/25/2015,Coric B.,-1,-100,
48495,1.58,0,1.670573506,2/15/2019,Opelka R.,-1,-100,
44519,2.79,1,1.669195847,7/18/2017,Brown D.,1.79,179,
34099,2.67,1,1.669049629,7/10/2013,Ramos A.,1.67,167,
36989,1.47,0,1.668295415,8/12/2014,Cilic M.,-1,-100,
32717,1.57,0,1.668083748,1/19/2013,Simon G.,-1,-100,
42565,1.66,0,1.668034836,10/6/2016,Karlovic I.,-1,-100,
41083,1.49,0,1.667743729,4/11/2016,Bautista Agut R.,-1,-100,
37250,2.45,1,1.667525498,9/24/2014,Seppi A.,1.45,145,
42041,2.3,1,1.666627994,7/21/2016,Basilashvili N.,1.3,130,
53293,1.6,0,1.665632533,6/21/2021,Travaglia S.,-1,-100,
38655,1.55,0,1.664262064,5/2/2015,Gasquet R.,-1,-100,
50542,1.63,0,1.664259185,10/19/2019,Rublev A.,-1,-100,
40782,1.41,0,1.663987545,2/23/2016,Schwartzman D.,-1,-100,
55018,1.58,0,1.66372157,3/11/2022,Wolf J.J.,-1,-100,
48754,1.64,0,1.663517556,3/11/2019,Karlovic I.,-1,-100,
42488,1.54,0,1.663360995,9/27/2016,Bellucci T.,-1,-100,
42052,2.85,1,1.662878591,7/22/2016,Johnson S.,1.85,185,
42559,1.54,0,1.662044975,10/5/2016,Dimitrov G.,-1,-100,
41202,2.88,1,1.66184761,4/23/2016,Pouille L.,1.88,188,
39694,1.51,0,1.66045952,8/31/2015,Gabashvili T.,-1,-100,
46975,1.56,0,1.657556578,6/29/2018,Zverev M.,-1,-100,
53481,1.48,0,1.65721536,7/13/2021,Sandgren T.,-1,-100,
49342,1.48,0,1.657198806,5/29/2019,Carreno Busta P.,-1,-100,
