match,PSW,win0,confidence0,date,winner,
56293,1.2,0,3.408676156,8/9/2022,Kyrgios N.,
56749,1.26,0,2.639340638,10/6/2022,Tiafoe F.,
43386,1.35,0,2.616297792,2/28/2017,Ruud C.,
51880,1.35,0,2.501732751,11/5/2020,Carreno Busta P.,
43327,1.37,0,2.425015877,2/23/2017,Johnson S.,
49834,1.33,0,2.390333054,7/25/2019,Fognini F.,
54398,3.09,1,2.359559311,11/20/2021,Zverev A.,2.09
50684,3.34,1,2.268287889,1/7/2020,Ilkel C.,
51452,1.36,0,2.260885372,9/15/2020,Martinez P.,
53426,1.31,0,2.172824827,7/1/2021,Norrie C.,-1
43761,2.94,1,2.167777524,4/25/2017,Haase R.,
54029,1.38,0,2.157918426,9/22/2021,Pouille L.,-1
50340,2.64,1,2.141850632,9/26/2019,Garin C.,
53010,1.5,0,2.13522081,5/21/2021,Shapovalov D.,-1
56057,2.77,1,2.106179293,7/14/2022,Thiem D.,
53869,2.75,1,2.065079659,8/26/2021,Ivashka I.,1.75
50294,1.53,0,2.061761817,9/20/2019,Tsonga J.W.,
49835,1.34,0,2.051725931,7/25/2019,Zverev A.,
53790,1.49,0,2.046218296,8/17/2021,Hurkacz H.,-1
55206,1.5,0,2.045165853,4/5/2022,Thompson J.,
44629,3.65,1,2.044781283,7/28/2017,Mayer F.,
43952,1.45,0,2.042443949,5/13/2017,Nadal R.,
42983,1.43,0,2.0361455,1/14/2017,Sock J.,
54085,2.52,1,2.034207348,9/30/2021,Giron M.,1.52
49805,1.44,0,2.027416861,7/23/2019,Ruud C.,
44036,1.51,0,2.026813971,5/23/2017,Tipsarevic J.,
50830,1.39,0,2.021135268,1/22/2020,Cilic M.,
53365,1.48,0,2.020068884,6/29/2021,Hurkacz H.,-1
55883,2.75,1,2.00800238,6/23/2022,Cressy M.,
45791,1.35,0,2.007589572,2/9/2018,Gasquet R.,
54939,3.06,1,2.007122219,2/22/2022,Pucinelli de Almeida M.,
57733,1.36,0,1.994337365,3/23/2023,Halys Q.,
47199,1.38,0,1.992228447,7/24/2018,Bedene A.,
44580,1.42,0,1.991660592,7/25/2017,Delbonis F.,
49804,1.49,0,1.986229426,7/23/2019,Gasquet R.,
43420,1.38,0,1.970526171,3/2/2017,Cuevas P.,
43760,1.45,0,1.969766798,4/25/2017,Kuznetsov An.,
49935,1.4,0,1.968134778,8/1/2019,Medvedev D.,
48568,1.52,0,1.966352416,2/21/2019,Mcdonald M.,
53347,1.47,0,1.960606816,6/28/2021,Seppi A.,-1
52936,1.49,0,1.958623906,5/12/2021,Shapovalov D.,-1
55382,1.6,0,1.957969424,4/25/2022,Kwon S.W.,
47223,1.41,0,1.955872833,7/25/2018,Kovalik J.,
43945,1.54,0,1.949041608,5/11/2017,Thiem D.,
49421,1.59,0,1.940398179,6/11/2019,Kukushkin M.,
56130,1.51,0,1.936509493,7/25/2022,Misolic F.,
52401,1.56,0,1.928353089,3/10/2021,Rune H.,-1
47250,3.32,1,1.9247299,7/27/2018,Basilashvili N.,
49224,1.57,0,1.917002906,5/19/2019,Nadal R.,
53521,1.61,0,1.903805398,7/15/2021,Basilashvili N.,-1
51506,1.58,0,1.90051239,9/24/2020,Humbert U.,
