match,PSW,win0,confidence0,date,winner,return,,,
49757,1.58,0,2.060116482,7/18/2019,Gasquet R.,,,,
44582,3.19,1,2.058576213,7/25/2017,Mayer L.,,,,
39459,1.48,0,2.055437121,8/4/2015,Montanes A.,,,,
47758,2.71,1,2.053047244,9/30/2018,Tomic B.,,,,
35730,3.11,1,2.052771905,3/19/2014,Mannarino A.,,,,
51920,1.58,0,2.050239363,11/15/2020,Nadal R.,,,,
30703,2.57,1,2.049355432,4/17/2012,Gil F.,,,,
43479,1.48,0,2.044385946,3/11/2017,Carreno Busta P.,,,,
54657,1.44,0,2.036612647,2/1/2022,Munar J.,,,,
38206,3.14,1,2.036271395,2/28/2015,Federer R.,,,,
42869,1.41,0,2.03564362,1/3/2017,Youzhny M.,,,,
32280,3.26,1,2.034273415,10/16/2012,Bogomolov A.,,,,
51491,1.39,0,2.033389803,9/22/2020,Auger-Aliassime F.,,,,
53665,2.69,1,2.032772011,7/29/2021,Rinderknech A.,,,,
36615,1.66,0,2.031864041,7/7/2014,Sousa J.,,,,
36431,1.41,0,2.031693732,6/16/2014,Klizan M.,,,,
37395,3.45,1,2.024338089,10/11/2014,Federer R.,,,,
43422,1.38,0,2.0227454,3/2/2017,Cuevas P.,,,,
39570,2.8,1,2.020171654,8/17/2015,Paire B.,,,,
48072,2.57,1,2.008860508,11/15/2018,Thiem D.,,,,
50996,2.56,1,2.008482475,2/12/2020,Seppi A.,,,,
41131,1.41,0,2.007446551,4/16/2016,Nadal R.,,,,
31151,1.36,0,2.001677873,6/5/2012,Federer R.,,,,
43763,2.94,1,2.001653611,4/25/2017,Haase R.,,,,
41043,2.7,1,2.000457586,4/5/2016,Paul T.,,,,
46259,1.35,0,1.99741012,4/9/2018,Sandgren T.,,,,
41781,3.22,1,1.995880757,6/28/2016,Ramos-Vinolas A.,,,,
55277,1.36,0,1.994301536,4/13/2022,Sinner J.,,,,
44627,3.65,1,1.989576492,7/28/2017,Mayer F.,,,,
43687,2.94,1,1.980228617,4/15/2017,Johnson S.,,,,
47745,2.65,1,1.975923675,9/28/2018,Verdasco F.,,,,
43383,1.37,0,1.971358206,2/28/2017,Delbonis F.,,,,
49732,3.4,1,1.969153947,7/16/2019,Dzumhur D.,,,,
49802,1.45,0,1.968699263,7/23/2019,Londero J.I.,,,,
53216,2.8,1,1.966616874,6/11/2021,Djokovic N.,,,,
56659,1.34,0,1.962944935,9/28/2022,Safiullin R.,,,,
30719,1.45,0,1.962327721,4/18/2012,Dolgopolov O.,,,,
49981,2.93,1,1.960983492,8/6/2019,Pella G.,,,,
43828,1.5,0,1.957797829,5/1/2017,Vesely J.,,,,
57164,1.47,0,1.955764234,1/16/2023,Van De Zandschulp B.,,,,
40739,1.41,0,1.946455804,2/20/2016,Cilic M.,,,,
37710,1.53,0,1.942651614,1/13/2015,Young D.,,,,
54939,3.06,1,1.942119031,2/22/2022,Pucinelli de Almeida M.,,,,
47698,1.5,0,1.941834025,9/21/2018,Wawrinka S.,,,,
41317,2.52,1,1.941578708,5/4/2016,Sock J.,,,,
50549,2.65,1,1.94118015,10/20/2019,Murray A.,,,,
52643,1.41,0,1.93958916,4/7/2021,Carreno Busta P.,,,,
54902,1.48,0,1.939341702,2/19/2022,Bautista Agut R.,,,,
34621,1.55,0,1.934661536,8/30/2013,Benneteau J.,,,,
46876,1.31,0,1.934133336,6/18/2018,Thiem D.,,,,
35004,1.48,0,1.933980674,10/31/2013,Gasquet R.,,,,
41057,2.73,1,1.933722243,4/7/2016,Garcia-Lopez G.,,,,
35649,1.46,0,1.932902463,3/7/2014,Chardy J.,,,,
40716,1.29,0,1.931256731,2/18/2016,Dolgopolov O.,,,,
49996,1.4,0,1.929757929,8/7/2019,Cilic M.,,,,
51509,1.39,0,1.92680376,9/25/2020,Tsitsipas S.,,,,
44494,1.61,0,1.924902263,7/17/2017,Laaksonen H.,,,,
47741,1.53,0,1.923497592,9/27/2018,Querrey S.,,,,
52685,1.61,0,1.921919031,4/13/2021,Dimitrov G.,,,,
55141,2.96,1,1.919311291,3/26/2022,Harris L.,,,,
49302,1.53,0,1.918673163,5/27/2019,Struff J.L.,,,,
40770,2.63,1,1.916241032,2/23/2016,Tursunov D.,,,,
44752,1.42,0,1.915427581,8/7/2017,Harrison R.,,,,
43420,1.43,0,1.910154821,3/2/2017,Ramos-Vinolas A.,,,,
47250,1.54,0,1.9096924,7/27/2018,Kovalik J.,,,,
47751,1.54,0,1.909690133,9/28/2018,Sousa J.,,,,
33550,1.5,0,1.907809555,5/9/2013,Wawrinka S.,,,,
36640,1.52,0,1.901405418,7/9/2014,Garcia-Lopez G.,,,,
57752,1.36,0,1.899617415,3/21/2023,Safiullin R.,-1,-20,,
31325,1.59,0,1.89948411,6/25/2012,Tipsarevic J.,,,,
44091,1.75,0,1.899382513,5/29/2017,Bolelli S.,,,,
41341,2.67,1,1.899145446,5/7/2016,Murray A.,,,,
45529,1.54,0,1.898612192,1/4/2018,Pella G.,,,,
56512,2.59,1,1.897007792,8/31/2022,Cachin P.,,,,
45114,2.66,1,1.893459672,9/27/2017,Istomin D.,,,,
41172,1.42,0,1.893247983,4/20/2016,Troicki V.,,,,
39565,2.98,1,1.892138321,8/16/2015,Murray A.,,,,
57259,1.64,0,1.889233509,1/22/2023,Korda S.,,,,
42537,1.47,0,1.887968649,10/4/2016,Baghdatis M.,,,,
53504,1.43,0,1.886555002,7/14/2021,Anderson K.,,,,
38435,3.22,1,1.885121486,4/9/2015,Ouahab L.,,,,
33324,1.62,0,1.883424362,4/14/2013,Dolgopolov O.,,,,
46104,1.56,0,1.88183291,3/10/2018,Sandgren T.,,,,
38754,1.51,0,1.880517783,5/13/2015,Isner J.,,,,
46382,1.49,0,1.877128327,4/23/2018,Garcia-Lopez G.,,,,
40819,3.49,1,1.875070627,2/26/2016,Cervantes I.,,,,
42042,1.46,0,1.874934721,7/21/2016,Karlovic I.,,,,
48676,1.54,0,1.873646679,3/1/2019,Ruud C.,,,,
45116,2.52,1,1.87357555,9/27/2017,Gojowczyk P.,,,,
33602,2.31,1,1.859747223,5/16/2013,Granollers M.,,,,
49227,1.57,0,1.858571493,5/19/2019,Nadal R.,,,,
32798,1.56,0,1.856468946,2/8/2013,Chardy J.,,,,
33085,2.82,1,1.854402292,3/7/2013,Brands D.,,,,
38302,1.34,0,1.853348014,3/21/2015,Djokovic N.,,,,
55255,1.47,0,1.852756873,4/11/2022,Bublik A.,,,,
34718,3.05,1,1.852407158,9/23/2013,Sijsling I.,,,,
46000,1.4,0,1.852124265,2/27/2018,Donskoy E.,,,,
39500,2.72,1,1.852037057,8/7/2015,Mathieu P.H.,,,,
55811,1.49,0,1.851930215,6/15/2022,Hurkacz H.,,,,
52862,2.82,1,1.84954186,5/3/2021,Giron M.,,,,
53280,1.38,0,1.848718582,6/19/2021,Shapovalov D.,,,,
35516,2.65,1,1.848055213,2/21/2014,Dolgopolov O.,,,,
47267,2.74,1,1.847664285,7/29/2018,Basilashvili N.,,,,
50633,1.59,0,1.846435133,10/30/2019,Wawrinka S.,,,,
57730,1.63,0,1.845525538,3/18/2023,Alcaraz C.,-1,-20,,
45951,1.58,0,1.84325576,2/22/2018,Fritz T.,,,,
31363,1.58,0,1.842550959,6/27/2012,Monaco J.,,,,
47738,2.34,1,1.841229441,9/27/2018,Ebden M.,,,,
51927,2.29,1,1.84014928,11/19/2020,Rublev A.,,,,
49756,1.72,0,1.839334667,7/18/2019,Sousa J.,,,,
49699,1.55,0,1.838085856,7/14/2019,Djokovic N.,,,,
38954,1.54,0,1.837346437,6/8/2015,Kohlschreiber P.,,,,
57596,2.89,1,1.836479125,3/3/2023,Medvedev D.,1.89,37.8,,
44236,2.7,1,1.836301258,6/16/2017,Pouille L.,,,,
34478,3.14,1,1.833544132,8/16/2013,Berdych T.,,,,
54118,2.75,1,1.833384332,10/7/2021,Daniel T.,,,,
48594,2.76,1,1.833290275,2/24/2019,Albot R.,,,,
56289,1.57,0,1.833123468,8/9/2022,Nishioka Y.,,,,
39373,1.28,0,1.832720461,7/28/2015,Groth S.,,,,
31609,2.65,1,1.832523648,7/21/2012,Haas T.,,,,
31487,1.51,0,1.831103416,7/11/2012,Van Der Merwe I.,,,,
47713,1.68,0,1.830725843,9/25/2018,Querrey S.,,,,
45882,1.63,0,1.829910766,2/17/2018,Dimitrov G.,,,,
37756,1.68,0,1.829038142,1/19/2015,Rosol L.,,,,
37036,1.47,0,1.825243401,8/18/2014,Janowicz J.,,,,
39876,1.56,0,1.822857372,9/30/2015,Zverev M.,,,,
30504,1.52,0,1.82278652,3/12/2012,Almagro N.,,,,
52415,1.51,0,1.821504245,3/10/2021,Shapovalov D.,,,,
37992,1.47,0,1.821226142,2/11/2015,Querrey S.,,,,
48202,1.58,0,1.8186913,1/9/2019,Schwartzman D.,,,,
