match,PSW,win0,confidence0,date,winner,,,correct pred?,
46487,1.54,0,1.967492911,5/2/2018,Struff J.L.,-1,-50,,
47058,3.19,1,1.960907441,7/5/2018,Paire B.,2.19,109.5,,
48129,1.6,0,1.959824382,1/2/2019,Paire B.,-1,-50,,
47757,2.71,1,1.959753812,9/30/2018,Tomic B.,1.71,85.5,,
49780,1.53,0,1.959552971,7/21/2019,Lajovic D.,-1,-50,,
57087,1.62,0,1.959412087,1/7/2023,Djokovic N.,-1,-50,,
45665,1.52,0,1.93947153,1/17/2018,Dolgopolov O.,-1,-50,,
55459,1.55,0,1.937916559,5/4/2022,Auger-Aliassime F.,-1,-50,,
55219,1.68,0,1.937222101,4/6/2022,Kyrgios N.,-1,-50,,
54712,3.25,1,1.933249759,2/5/2022,Tabilo A.,2.25,112.5,,
53008,1.5,0,1.928427313,5/21/2021,Shapovalov D.,-1,-50,,
51716,1.51,0,1.925897534,10/16/2020,Shapovalov D.,-1,-50,,
57390,1.57,0,1.925078239,2/15/2023,Lajovic D.,-1,-50,,
55119,1.49,0,1.924778192,3/24/2022,Korda S.,-1,-50,,
54183,1.49,0,1.924558592,10/12/2021,Sinner J.,-1,-50,,
57383,1.49,0,1.914408471,2/14/2023,Varillas J. P.,-1,-50,,
47200,1.53,0,1.911465928,7/24/2018,Djere L.,-1,-50,,
46069,1.38,0,1.910763434,3/8/2018,Coric B.,-1,-50,,
48708,2.7,1,1.908514827,3/8/2019,Marterer M.,1.7,85,,
47359,2.58,1,1.905571915,8/3/2018,Istomin D.,1.58,79,,
56445,2.73,1,1.90457543,8/29/2022,Thompson J.,1.73,86.5,,
55460,1.49,0,1.901299644,5/4/2022,Sinner J.,-1,-50,,
54496,1.56,0,1.898492126,1/13/2022,Evans D.,-1,-50,,
45180,1.6,0,1.898005414,10/4/2017,Dolgopolov O.,-1,-50,,
50340,2.64,1,1.897677466,9/26/2019,Garin C.,1.64,82,,
48422,1.54,0,1.896513888,2/11/2019,Wawrinka S.,-1,-50,,
52401,1.51,0,1.895003186,3/10/2021,Shapovalov D.,-1,-50,,
43761,2.76,1,1.894962978,4/25/2017,Vesely J.,1.76,88,,
57161,1.47,0,1.894886515,1/16/2023,Van De Zandschulp B.,-1,-50,,
54935,3.06,1,1.890882458,2/22/2022,Pucinelli de Almeida M.,2.06,103,,
48116,1.37,0,1.889704027,1/1/2019,Thompson J.,-1,-50,,
53531,1.57,0,1.885643422,7/16/2021,Djere L.,-1,-50,,
55092,1.66,0,1.884248359,3/19/2022,Nadal R.,-1,-50,,
49755,1.58,0,1.882948166,7/18/2019,Gasquet R.,-1,-50,,
54575,1.51,0,1.880488495,1/19/2022,Karatsev A.,-1,-50,,
54398,3.09,1,1.880322752,11/20/2021,Zverev A.,2.09,104.5,,
43512,2.88,1,1.87864151,3/13/2017,Carreno Busta P.,1.88,94,,
50239,2.72,1,1.875334103,9/2/2019,Berrettini M.,1.72,86,,
51972,1.48,0,1.868021235,1/10/2021,Isner J.,-1,-50,,
55700,1.66,0,1.867274196,5/28/2022,Medvedev D.,-1,-50,,
47140,1.54,0,1.866711807,7/17/2018,Delbonis F.,-1,-50,,
56547,1.55,0,1.866422951,9/3/2022,Rublev A.,-1,-50,,
55114,1.54,0,1.865064964,3/24/2022,Rinderknech A.,-1,-50,,
57113,1.6,0,1.862922564,1/10/2023,Millman J.,-1,-50,,
44494,1.61,0,1.862431207,7/17/2017,Laaksonen H.,-1,-50,,
55383,1.6,0,1.852920581,4/25/2022,Kwon S.W.,-1,-50,,
57569,1.57,0,1.852253396,3/1/2023,Hanfmann Y.,-1,-50,,
54196,1.58,0,1.852046378,10/13/2021,Hurkacz H.,-1,-50,,
