match,PSW,win0,confidence0,date,winner,,,correct pred?,
49529,1.4,1,1.146026099,6/24/2019,Humbert U.,0.4,20,,
46480,1.31,1,1.145974526,5/2/2018,Klizan M.,0.31,15.5,,
44200,1.68,1,1.145970692,6/13/2017,Gojowczyk P.,0.68,34,,
55648,1.75,1,1.145963937,5/24/2022,Ruusuvuori E.,0.75,37.5,,
51244,2.94,0,1.145951882,8/24/2020,Murray A.,-1,-50,,
55268,1.66,1,1.145849905,4/12/2022,Ruusuvuori E.,0.66,33,,
54309,1.27,1,1.145704115,10/29/2021,Zverev A.,0.27,13.5,,
55819,1.65,1,1.145656723,6/16/2022,Bautista Agut R.,0.65,32.5,,
52633,1.41,1,1.145650525,4/6/2021,Mager G.,0.41,20.5,,
54975,3.81,0,1.14559971,2/24/2022,Giron M.,-1,-50,,
48684,1.48,1,1.145559038,3/7/2019,Nishioka Y.,0.48,24,,
48008,1.27,1,1.145456875,10/26/2018,Zverev A.,0.27,13.5,,
53793,2.28,0,1.145416357,8/17/2021,Murray A.,-1,-50,,
53575,1.8,1,1.145336321,7/20/2021,Rinderknech A.,0.8,40,,
47893,1.56,1,1.145292926,10/16/2018,Verdasco F.,0.56,28,,
47863,1.65,1,1.145266512,10/11/2018,Anderson K.,0.65,32.5,,
45649,2.18,0,1.145262083,1/16/2018,Ramos-Vinolas A.,-1,-50,,
46067,1.75,1,1.145257797,3/8/2018,Lajovic D.,0.75,37.5,,
54704,2.41,0,1.145246185,2/4/2022,Sousa J.,-1,-50,,
45000,1.47,1,1.145244532,8/31/2017,Kukushkin M.,0.47,23.5,,
55954,1.5,1,1.14523077,6/28/2022,Molcan A.,0.5,25,,
54297,1.36,1,1.145221767,10/28/2021,Ruud C.,0.36,18,,
46436,2.01,0,1.145198951,4/28/2018,Tsitsipas S.,-1,-50,,
53446,1.68,1,1.145181785,7/3/2021,Ivashka I.,0.68,34,,
49191,1.46,1,1.14517981,5/14/2019,Schwartzman D.,0.46,23,,
49983,2.11,0,1.145153172,8/6/2019,Edmund K.,-1,-50,,
56167,2.73,0,1.145100893,7/27/2022,Zapata Miralles B.,-1,-50,,
51186,1.87,1,1.145087844,2/26/2020,Fritz T.,0.87,43.5,,
46578,2.02,1,1.145047717,5/13/2018,Zverev A.,1.02,51,,
49735,1.65,1,1.145045879,7/16/2019,Sousa J.,0.65,32.5,,
55587,1.77,1,1.14504298,5/19/2022,Gasquet R.,0.77,38.5,,
57085,2.51,0,1.145032708,1/6/2023,Korda S.,-1,-50,,
50723,1.52,1,1.144980463,1/15/2020,Lopez F.,0.52,26,,
55363,1.28,1,1.144971379,4/22/2022,Tsitsipas S.,0.28,14,,
56122,1.87,1,1.144810845,7/22/2022,Molcan A.,0.87,43.5,,
56611,1.47,1,1.144741237,9/23/2022,Evans D.,0.47,23.5,,
49018,1.73,1,1.144726203,4/24/2019,Garin C.,0.73,36.5,,
53673,1.68,1,1.144713666,7/30/2021,Nakashima B.,0.68,34,,
52735,1.53,1,1.144700903,4/19/2021,Chardy J.,0.53,26.5,,
54005,1.64,1,1.144679627,9/20/2021,Pospisil V.,0.64,32,,
50416,1.75,1,1.144652462,10/6/2019,Basilashvili N.,0.75,37.5,,
54055,2.11,0,1.144633309,9/26/2021,Kwon S.W.,-1,-50,,
57330,1.34,1,1.144583908,2/10/2023,Sinner J.,0.34,17,,
50288,2.34,0,1.144562049,9/19/2019,Bedene A.,-1,-50,,
48969,1.25,1,1.1444793,4/17/2019,Tsitsipas S.,0.25,12.5,,
54721,1.52,1,1.144445107,2/7/2022,Anderson K.,0.52,26,,
55660,1.47,1,1.144413217,5/25/2022,Korda S.,0.47,23.5,,
47457,2.19,0,1.1444107,8/15/2018,Shapovalov D.,-1,-50,,
44561,1.32,1,1.144370584,7/22/2017,Lorenzi P.,0.32,16,,
47192,3.9,0,1.144364622,7/23/2018,Masur D.,-1,-50,,
49512,1.28,1,1.144352308,6/21/2019,Medvedev D.,0.28,14,,
48133,1.38,1,1.144327321,1/2/2019,Wawrinka S.,0.38,19,,
47286,1.68,1,1.144314566,7/31/2018,Copil M.,0.68,34,,
46999,1.56,1,1.144289169,7/2/2018,Jarry N.,0.56,28,,
44855,2.85,0,1.144271646,8/19/2017,Ferrer D.,-1,-50,,
50359,1.66,1,1.144169176,9/30/2019,Chung H.,0.66,33,,
50403,1.32,1,1.144161784,10/4/2019,Zverev A.,0.32,16,,
51396,1.37,1,1.144118922,9/8/2020,Zverev A.,0.37,18.5,,
47197,1.51,1,1.144049712,7/23/2018,De Minaur A.,0.51,25.5,,
55555,3.14,0,1.144028864,5/16/2022,Cecchinato M.,-1,-50,,
54647,1.8,1,1.144014743,2/1/2022,Krajinovic F.,0.8,40,,
47610,1.22,1,1.143998653,8/30/2018,Schwartzman D.,0.22,11,,
55713,3.94,0,1.143974246,5/30/2022,Cilic M.,-1,-50,,
51542,1.27,1,1.143893756,9/28/2020,Carreno Busta P.,0.27,13.5,,
44734,3.67,0,1.143891725,8/4/2017,Sock J.,-1,-50,,
49229,2.63,0,1.143888865,5/20/2019,Humbert U.,-1,-50,,
46249,2.38,0,1.143819026,3/28/2018,Zverev A.,-1,-50,,
47004,1.74,1,1.143594028,7/2/2018,Stakhovsky S.,0.74,37,,
44498,1.4,1,1.143542767,7/18/2017,Kravchuk K.,0.4,20,,
52168,1.22,1,1.14353728,2/10/2021,Carreno Busta P.,0.22,11,,
50850,1.56,1,1.143500565,1/23/2020,Verdasco F.,0.56,28,,
49545,1.53,1,1.143466197,6/25/2019,Sonego L.,0.53,26.5,,
47181,1.24,1,1.143226446,7/21/2018,Gasquet R.,0.24,12,,
45835,1.78,1,1.143204366,2/13/2018,Zeballos H.,0.78,39,,
53794,1.68,1,1.143203068,8/17/2021,De Minaur A.,0.68,34,,
51698,2.58,0,1.143180465,10/15/2020,Davidovich Fokina A.,-1,-50,,
50550,2.65,0,1.143167006,10/20/2019,Murray A.,-1,-50,,
56962,1.34,1,1.143116327,10/30/2022,Auger-Aliassime F.,0.34,17,,
57553,2.25,0,1.14306842,2/28/2023,Monteiro T.,-1,-50,,
57640,1.75,1,1.143031983,3/9/2023,Struff J.L.,0.75,37.5,,
43997,3.38,0,1.142988125,5/18/2017,Isner J.,-1,-50,,
47962,1.47,1,1.142967319,10/22/2018,Cilic M.,0.47,23.5,,
54094,1.56,1,1.142951811,9/30/2021,Millman J.,0.56,28,,
44792,2.75,0,1.14294134,8/10/2017,Querrey S.,-1,-50,,
46823,1.83,1,1.142940696,6/12/2018,Jaziri M.,0.83,41.5,,
48941,2.19,0,1.142921823,4/15/2019,Fognini F.,-1,-50,,
49866,1.7,1,1.14291321,7/29/2019,Copil M.,0.7,35,,
44563,1.94,1,1.142814922,7/23/2017,Rublev A.,0.94,47,,
49339,1.55,1,1.142812842,5/28/2019,Lajovic D.,0.55,27.5,,
51717,1.65,0,1.142806759,10/17/2020,Rublev A.,-1,-50,,
43473,1.39,1,1.14270939,3/10/2017,Fognini F.,0.39,19.5,,
54099,1.33,1,1.142701958,10/1/2021,Rublev A.,0.33,16.5,,
49734,1.32,1,1.142667855,7/16/2019,Delbonis F.,0.32,16,,
43254,1.57,1,1.142655316,2/17/2017,Basilashvili N.,0.57,28.5,,
56093,2.57,0,1.142623757,7/19/2022,Varillas J.P.,-1,-50,,
43918,1.62,1,1.142620663,5/9/2017,Zverev A.,0.62,31,,
49402,3.04,0,1.142608057,6/8/2019,Thiem D.,-1,-50,,
49013,1.76,1,1.142605397,4/23/2019,Garin C.,0.76,38,,
57145,1.36,1,1.142576483,1/16/2023,Kubler J.,0.36,18,,
48202,2.44,0,1.142516628,1/9/2019,Mayer L.,-1,-50,,
48346,2.57,0,1.142501832,2/4/2019,Copil M.,-1,-50,,
50989,1.31,1,1.142483365,2/11/2020,Londero J.I.,0.31,15.5,,
51997,2.31,0,1.142429832,2/1/2021,Chardy J.,-1,-50,,
45210,1.69,1,1.142364208,10/9/2017,Ramos-Vinolas A.,0.69,34.5,,
54968,1.23,1,1.142326299,2/24/2022,Kecmanovic M.,0.23,11.5,,
50111,1.65,1,1.14231368,8/21/2019,Millman J.,0.65,32.5,,
47855,3.88,0,1.142237009,10/10/2018,Cecchinato M.,-1,-50,,
43360,1.36,1,1.142098934,2/26/2017,Tsonga J.W.,0.36,18,,
56546,1.25,1,1.14208661,9/3/2022,Norrie C.,0.25,12.5,,
48345,1.27,1,1.142011723,2/4/2019,Pella G.,0.27,13.5,,
47992,1.31,1,1.141960494,10/24/2018,Bautista Agut R.,0.31,15.5,,
45437,3.1,0,1.141935025,11/2/2017,Isner J.,-1,-50,,
43346,1.53,1,1.141760606,2/24/2017,Pouille L.,0.53,26.5,,
45972,3.28,0,1.141755688,2/24/2018,Tiafoe F.,-1,-50,,
51845,1.68,1,1.141752614,11/2/2020,Thompson J.,0.68,34,,
55601,2.43,0,1.141704581,5/22/2022,Ugo Carabelli C.,-1,-50,,
51216,2.77,0,1.141656581,2/29/2020,Seyboth Wild T.,-1,-50,,
57351,1.33,1,1.141635528,2/12/2023,Sinner J.,0.33,16.5,,
43173,1.31,1,1.141384159,2/10/2017,Lorenzi P.,0.31,15.5,,
49670,1.59,1,1.141383632,7/5/2019,Verdasco F.,0.59,29.5,,
57546,1.7,1,1.141381364,2/28/2023,Shapovalov D.,0.7,35,,
49628,1.78,1,1.141277198,7/2/2019,Sandgren T.,0.78,39,,
52692,1.68,1,1.14123751,4/13/2021,Fognini F.,0.68,34,,
53700,1.48,1,1.141195779,8/4/2021,Harris L.,0.48,24,,
56693,2.73,0,1.141142817,9/30/2022,Brooksby J.,-1,-50,,
47766,1.53,1,1.141106819,10/1/2018,Edmund K.,0.53,26.5,,
47367,4.46,0,1.141106579,8/5/2018,Fognini F.,-1,-50,,
54310,2.84,0,1.141061969,10/29/2021,Alcaraz C.,-1,-50,,
52355,1.67,1,1.141056483,3/5/2021,Ramos-Vinolas A.,0.67,33.5,,
56266,1.62,1,1.141050982,8/5/2022,Korda S.,0.62,31,,
46517,1.67,1,1.14100111,5/5/2018,Jaziri M.,0.67,33.5,,
50916,1.59,1,1.140953641,2/5/2020,Sugita Y.,0.59,29.5,,
51950,2.86,0,1.140915148,1/8/2021,Karlovic I.,-1,-50,,
43213,1.57,1,1.140809487,2/14/2017,Berlocq C.,0.57,28.5,,
51657,3.23,0,1.140712588,10/13/2020,Davidovich Fokina A.,-1,-50,,
55392,2.7,0,1.140692436,4/26/2022,Bonzi B.,-1,-50,,
48104,4.06,0,1.140676684,1/1/2019,Herbert P.H.,-1,-50,,
45683,3.58,0,1.140650311,1/18/2018,Marterer M.,-1,-50,,
45898,2.24,0,1.140623947,2/19/2018,Jarry N.,-1,-50,,
49817,2.89,0,1.140622663,7/23/2019,Ebden M.,-1,-50,,
45080,1.32,1,1.140616828,9/22/2017,Dzumhur D.,0.32,16,,
53503,1.55,1,1.140465541,7/14/2021,Rinderknech A.,0.55,27.5,,
53958,1.28,1,1.140456467,9/2/2021,Harris L.,0.28,14,,
48462,3.93,0,1.140400967,2/13/2019,Lorenzi P.,-1,-50,,
53833,1.67,1,1.140395912,8/23/2021,Pouille L.,0.67,33.5,,
50267,1.46,1,1.140382592,9/18/2019,Fucsovics M.,0.46,23,,
49398,1.42,1,1.140268172,6/4/2019,Federer R.,0.42,21,,
53890,1.38,1,1.140252026,8/30/2021,Garin C.,0.38,19,,
52588,1.58,1,1.140249251,3/28/2021,Korda S.,0.58,29,,
52336,1.65,1,1.140236872,3/3/2021,Goffin D.,0.65,32.5,,
45962,1.85,0,1.140119598,2/23/2018,Schwartzman D.,-1,-50,,
44030,2.16,0,1.140086409,5/23/2017,Basilashvili N.,-1,-50,,
45846,1.85,1,1.140086044,2/14/2018,Youzhny M.,0.85,42.5,,
50889,1.78,1,1.140060981,2/3/2020,Pospisil V.,0.78,39,,
46201,1.3,1,1.139910701,3/23/2018,Schwartzman D.,0.3,15,,
52398,3.54,0,1.139884663,3/9/2021,Jaziri M.,-1,-50,,
48833,1.34,1,1.139804918,3/23/2019,Medvedev D.,0.34,17,,
54421,1.51,1,1.139745639,1/5/2022,Cressy M.,0.51,25.5,,
45409,2.86,0,1.139739011,10/31/2017,Krajinovic F.,-1,-50,,
48206,3.7,0,1.139713364,1/10/2019,Seppi A.,-1,-50,,
48378,2.12,0,1.139628766,2/6/2019,Fucsovics M.,-1,-50,,
56388,1.45,1,1.13961337,8/19/2022,Medvedev D.,0.45,22.5,,
50686,1.57,1,1.139601307,1/7/2020,Herbert P.H.,0.57,28.5,,
54373,2.77,0,1.139549468,11/10/2021,Paul T.,-1,-50,,
54566,1.41,1,1.139517448,1/18/2022,Berankis R.,0.41,20.5,,
48115,1.38,1,1.13950847,1/1/2019,Murray A.,0.38,19,,
50509,1.54,1,1.139387625,10/16/2019,Ymer M.,0.54,27,,
45724,1.33,1,1.139387199,1/25/2018,Cilic M.,0.33,16.5,,
47500,1.47,1,1.139370412,8/21/2018,Berrettini M.,0.47,23.5,,
43619,1.34,1,1.139360475,3/27/2017,Federer R.,0.34,17,,
50503,2.31,0,1.139342353,10/16/2019,Nishioka Y.,-1,-50,,
48314,1.31,1,1.139328469,1/18/2019,Cilic M.,0.31,15.5,,
53263,1.24,1,1.139316039,6/17/2021,Harris L.,0.24,12,,
50900,1.83,1,1.13930306,2/4/2020,Martin A.,0.83,41.5,,
51803,1.34,1,1.139296841,10/28/2020,Tsitsipas S.,0.34,17,,
51050,1.77,1,1.139222359,2/17/2020,Ymer M.,0.77,38.5,,
55113,1.73,0,1.139112971,3/24/2022,Kecmanovic M.,-1,-50,,
53988,4.69,0,1.139096232,9/5/2021,Van De Zandschulp B.,-1,-50,,
54184,1.75,1,1.139096081,10/12/2021,Norrie C.,0.75,37.5,,
44021,1.43,1,1.139095567,5/22/2017,Anderson K.,0.43,21.5,,
48077,3.24,0,1.13901635,11/17/2018,Zverev A.,-1,-50,,
47275,1.81,1,1.13897487,7/30/2018,Jaziri M.,0.81,40.5,,
43560,2.03,1,1.13894963,3/23/2017,Kuznetsov An.,1.03,51.5,,
47135,2.1,0,1.138944792,7/17/2018,Melzer G.,-1,-50,,
57261,2,1,1.138893798,1/23/2023,Shelton B.,1,50,,
50539,1.76,1,1.138886417,10/18/2019,Mannarino A.,0.76,38,,
45255,1.25,1,1.138870716,10/14/2017,Nadal R.,0.25,12.5,,
51610,3.04,0,1.138869038,10/1/2020,Galan D.,-1,-50,,
52792,2.14,0,1.138868406,4/23/2021,Carreno Busta P.,-1,-50,,
55111,1.56,1,1.138836506,3/24/2022,Paul T.,0.56,28,,
49386,1.33,1,1.138799279,6/1/2019,Zverev A.,0.33,16.5,,
47777,4.5,0,1.138565401,10/2/2018,Struff J.L.,-1,-50,,
47979,1.54,1,1.138555418,10/24/2018,Monfils G.,0.54,27,,
49984,2.04,1,1.138551778,8/6/2019,Albot R.,1.04,52,,
44237,1.43,1,1.138546035,6/16/2017,Muller G.,0.43,21.5,,
48692,2.3,0,1.138518427,3/7/2019,Auger-Aliassime F.,-1,-50,,
43187,2.63,0,1.138443851,2/12/2017,Estrella Burgos V.,-1,-50,,
49347,1.45,1,1.138437399,5/29/2019,Krajinovic F.,0.45,22.5,,
45925,1.78,1,1.138351544,2/20/2018,Shapovalov D.,0.78,39,,
45432,2.14,0,1.13834311,11/1/2017,Cuevas P.,-1,-50,,
45747,2.02,1,1.138329422,2/7/2018,Kavcic B.,1.02,51,,
49875,1.56,1,1.13831881,7/29/2019,Mannarino A.,0.56,28,,
44568,1.3,1,1.138303774,7/24/2017,Zeballos H.,0.3,15,,
53842,1.4,1,1.138265395,8/23/2021,Kwon S.W.,0.4,20,,
46896,2.02,1,1.138257016,6/20/2018,Chardy J.,1.02,51,,
47822,2.09,0,1.138124052,10/7/2018,Gojowczyk P.,-1,-50,,
45902,1.74,1,1.138123941,2/19/2018,Tiafoe F.,0.74,37,,
43509,1.45,1,1.138116095,3/13/2017,Wawrinka S.,0.45,22.5,,
45918,1.72,1,1.138082378,2/20/2018,Herbert P.H.,0.72,36,,
47539,2.57,0,1.137956113,8/27/2018,Chardy J.,-1,-50,,
46281,1.3,1,1.137941139,4/11/2018,Fritz T.,0.3,15,,
46313,2.17,0,1.137899393,4/15/2018,Medvedev D.,-1,-50,,
56420,1.58,1,1.137867629,8/23/2022,Fognini F.,0.58,29,,
51916,1.28,1,1.137867301,11/13/2020,Sinner J.,0.28,14,,
52756,1.31,1,1.13785042,4/20/2021,Musetti L.,0.31,15.5,,
45506,2.86,0,1.137849423,1/3/2018,Ojeda Lara R.,-1,-50,,
49342,1.48,1,1.137809147,5/29/2019,Carreno Busta P.,0.48,24,,
45398,1.76,1,1.137738835,10/28/2017,Del Potro J.M.,0.76,38,,
47053,1.38,1,1.137665066,7/4/2018,Medvedev D.,0.38,19,,
43269,1.61,1,1.137654172,2/18/2017,Berlocq C.,0.61,30.5,,
56847,1.91,0,1.137585137,10/19/2022,Moutet C.,-1,-50,,
43837,1.68,1,1.137547256,5/2/2017,Khachanov K.,0.68,34,,
45720,3.83,0,1.13752126,1/23/2018,Edmund K.,-1,-50,,
53516,1.47,1,1.13748224,7/15/2021,Anderson K.,0.47,23.5,,
45674,1.56,1,1.137477323,1/17/2018,Tsonga J.W.,0.56,28,,
53357,1.59,1,1.137404883,6/29/2021,Sandgren T.,0.59,29.5,,
45940,1.45,1,1.137369695,2/21/2018,Schwartzman D.,0.45,22.5,,
52815,1.42,1,1.137302847,4/27/2021,Hanfmann Y.,0.42,21,,
45758,1.45,1,1.137295035,2/7/2018,Gasquet R.,0.45,22.5,,
49305,1.95,1,1.137265677,5/27/2019,Laaksonen H.,0.95,47.5,,
45571,2.19,0,1.137181103,1/10/2018,Lorenzi P.,-1,-50,,
45009,2.05,1,1.137137747,9/2/2017,Del Potro J.M.,1.05,52.5,,
53500,2.23,0,1.137094896,7/13/2021,Carballes Baena R.,-1,-50,,
48006,1.86,1,1.136955313,10/26/2018,Nishikori K.,0.86,43,,
46692,1.54,1,1.136898844,5/27/2018,Andreozzi G.,0.54,27,,
55595,1.25,1,1.136897153,5/22/2022,Khachanov K.,0.25,12.5,,
57191,1.58,1,1.136868848,1/17/2023,Schwartzman D.,0.58,29,,
48099,2.2,0,1.136850105,1/1/2019,Karlovic I.,-1,-50,,
43446,2.32,0,1.136842598,3/4/2017,Cuevas P.,-1,-50,,
52607,1.26,1,1.136766754,3/30/2021,Tsitsipas S.,0.26,13,,
50696,1.32,1,1.136747382,1/10/2020,Rublev A.,0.32,16,,
56115,1.41,1,1.136592275,7/21/2022,Ramos-Vinolas A.,0.41,20.5,,
43848,3.34,0,1.136591759,5/2/2017,Fratangelo B.,-1,-50,,
44651,1.9,1,1.136554379,7/31/2017,Mahut N.,0.9,45,,
47788,1.55,1,1.136548845,10/3/2018,Krajinovic F.,0.55,27.5,,
50953,1.75,0,1.136432873,2/8/2020,Gerasimov E.,-1,-50,,
51441,3.77,0,1.136431945,9/15/2020,Musetti L.,-1,-50,,
44559,2.38,1,1.13635004,7/22/2017,Dolgopolov O.,1.38,69,,
53930,1.46,1,1.136302516,8/31/2021,Musetti L.,0.46,23,,
49158,1.68,1,1.136203308,5/9/2019,Cilic M.,0.68,34,,
44033,1.68,1,1.136194413,5/23/2017,Zeballos H.,0.68,34,,
47845,1.44,1,1.136170092,10/9/2018,Gasquet R.,0.44,22,,
50178,1.36,1,1.136084631,8/27/2019,Verdasco F.,0.36,18,,
51082,1.28,1,1.136060638,2/19/2020,Paul T.,0.28,14,,
47478,2.14,0,1.136050463,8/19/2018,Djokovic N.,-1,-50,,
53044,1.73,1,1.136029724,5/25/2021,Gasquet R.,0.73,36.5,,
53597,1.25,1,1.136024254,7/22/2021,Fritz T.,0.25,12.5,,
52099,1.22,1,1.135998266,2/7/2021,Sinner J.,0.22,11,,
48921,1.44,1,1.135918044,4/12/2019,Simon G.,0.44,22,,
44944,1.68,1,1.135905604,8/30/2017,Lopez F.,0.68,34,,
55618,1.53,1,1.135788952,5/23/2022,Cachin P.,0.53,26.5,,
52190,2.58,0,1.135717197,2/11/2021,Ymer M.,-1,-50,,
53962,1.24,1,1.135602517,9/2/2021,Ivashka I.,0.24,12,,
46156,2.1,0,1.135588742,3/16/2018,Raonic M.,-1,-50,,
46587,2.68,0,1.135588642,5/14/2018,Berrettini M.,-1,-50,,
50328,1.27,1,1.135567052,9/26/2019,Shapovalov D.,0.27,13.5,,
51961,3.97,0,1.135560608,1/9/2021,Mager G.,-1,-50,,
43770,1.31,1,1.135364766,4/25/2017,Struff J.L.,0.31,15.5,,
56432,1.56,1,1.135335527,8/25/2022,Bonzi B.,0.56,28,,
51057,2,0,1.135329528,2/17/2020,Kwon S.W.,-1,-50,,
51185,1.38,1,1.135314791,2/26/2020,Isner J.,0.38,19,,
46521,2.07,0,1.135185225,5/6/2018,Shapovalov D.,-1,-50,,
53619,1.88,1,1.135159293,7/24/2021,Gasquet R.,0.88,44,,
49948,1.76,1,1.135132558,8/2/2019,Pella G.,0.76,38,,
56621,2,0,1.135096235,9/25/2022,Sonego L.,-1,-50,,
50732,2.46,0,1.135057907,1/15/2020,Cecchinato M.,-1,-50,,
46139,1.46,1,1.135052894,3/13/2018,Mayer L.,0.46,23,,
57292,1.77,1,1.135030608,2/7/2023,Garin C.,0.77,38.5,,
52510,1.62,1,1.135000994,3/18/2021,Auger-Aliassime F.,0.62,31,,
47163,2.83,0,1.134989813,7/19/2018,Ramanathan R.,-1,-50,,
51772,1.76,1,1.134981722,10/23/2020,Evans D.,0.76,38,,
57456,1.23,1,1.134902845,2/21/2023,Cressy M.,0.23,11.5,,
48342,1.77,0,1.134862225,1/27/2019,Djokovic N.,-1,-50,,
43308,2.56,0,1.134845718,2/21/2017,Young D.,-1,-50,,
55998,1.41,1,1.134770737,7/2/2022,Van De Zandschulp B.,0.41,20.5,,
57354,1.77,1,1.134708537,2/13/2023,Wawrinka S.,0.77,38.5,,
50913,1.83,1,1.134657819,2/5/2020,Berankis R.,0.83,41.5,,
45483,2.37,0,1.134596469,1/2/2018,Gojowczyk P.,-1,-50,,
54732,1.24,1,1.134531248,2/8/2022,Van De Zandschulp B.,0.24,12,,
56430,2.44,0,1.134400397,8/24/2022,Thiem D.,-1,-50,,
50691,1.45,1,1.134381553,1/8/2020,Herbert P.H.,0.45,22.5,,
57014,1.45,1,1.134339364,11/4/2022,Tsitsipas S.,0.45,22.5,,
51870,1.35,1,1.134334061,11/4/2020,Zverev A.,0.35,17.5,,
52891,1.7,1,1.134329876,5/5/2021,Karatsev A.,0.7,35,,
47030,1.22,1,1.134315381,7/3/2018,Gulbis E.,0.22,11,,
53583,2.6,0,1.134302608,7/21/2021,Escobedo E.,-1,-50,,
56968,1.72,1,1.134297174,10/31/2022,Cressy M.,0.72,36,,
47869,1.41,1,1.134243398,10/12/2018,Coric B.,0.41,20.5,,
56018,2.1,1,1.134188551,7/11/2022,Kubler J.,1.1,55,,
51987,1.5,1,1.134178494,1/12/2021,Bublik A.,0.5,25,,
53799,2.3,0,1.134124022,8/18/2021,Monfils G.,-1,-50,,
50404,1.81,1,1.134031983,10/4/2019,Tsitsipas S.,0.81,40.5,,
53837,1.31,1,1.134029853,8/23/2021,Ivashka I.,0.31,15.5,,
43750,1.46,1,1.134012052,4/24/2017,Ruud C.,0.46,23,,
57240,1.45,1,1.133996186,1/19/2023,Humbert U.,0.45,22.5,,
50104,1.69,1,1.133991324,8/21/2019,Shapovalov D.,0.69,34.5,,
53723,1.64,1,1.133983122,8/7/2021,Nishikori K.,0.64,32,,
53153,1.48,1,1.133937371,6/3/2021,Federer R.,0.48,24,,
43637,1.57,1,1.133930733,4/1/2017,Federer R.,0.57,28.5,,
43709,1.32,1,1.133910383,4/18/2017,Berlocq C.,0.32,16,,
50562,1.68,1,1.133882275,10/22/2019,Bedene A.,0.68,34,,
52379,1.5,1,1.133834558,3/8/2021,Bautista Agut R.,0.5,25,,
43820,2.24,0,1.133828568,5/1/2017,Hanfmann Y.,-1,-50,,
50836,1.86,0,1.133729649,1/23/2020,Fritz T.,-1,-50,,
43943,1.76,1,1.133708754,5/11/2017,Zverev A.,0.76,38,,
46275,2.17,0,1.1336584,4/10/2018,Zeballos H.,-1,-50,,
55799,1.27,1,1.133657097,6/14/2022,Khachanov K.,0.27,13.5,,
47321,1.3,1,1.133651457,8/1/2018,Lopez F.,0.3,15,,
44197,1.47,1,1.133583393,6/12/2017,Seppi A.,0.47,23.5,,
50140,1.66,1,1.133535352,8/26/2019,Kudla D.,0.66,33,,
50839,1.24,1,1.133493967,1/23/2020,Carreno Busta P.,0.24,12,,
45136,2.23,0,1.133488572,9/30/2017,Baghdatis M.,-1,-50,,
52955,3.92,0,1.133479194,5/13/2021,Opelka R.,-1,-50,,
45485,2.28,1,1.133385861,1/2/2018,Berrettini M.,1.28,64,,
48211,3.02,0,1.133315751,1/11/2019,Sandgren T.,-1,-50,,
54028,1.65,1,1.133198593,9/22/2021,Murray A.,0.65,32.5,,
47703,1.42,1,1.133168396,9/23/2018,Thiem D.,0.42,21,,
57382,3.01,0,1.133149598,2/14/2023,Lajovic D.,-1,-50,,
56582,1.64,1,1.133075469,9/21/2022,Kudla D.,0.64,32,,
43139,1.71,0,1.13306577,2/8/2017,Seppi A.,-1,-50,,
45313,1.65,1,1.133015049,10/19/2017,Ferrer D.,0.65,32.5,,
43251,3.31,0,1.133006905,2/17/2017,Ebden M.,-1,-50,,
56875,1.38,1,1.133003203,10/20/2022,Kecmanovic M.,0.38,19,,
52076,1.3,1,1.132991619,2/4/2021,Sinner J.,0.3,15,,
54259,2,1,1.132942069,10/25/2021,Struff J.L.,1,50,,
56327,1.37,1,1.132880375,8/11/2022,Auger-Aliassime F.,0.37,18.5,,
45462,1.37,1,1.132758167,11/19/2017,Dimitrov G.,0.37,18.5,,
53465,2.37,0,1.132747363,7/12/2021,Paire B.,-1,-50,,
55142,1.42,1,1.132726498,3/26/2022,Brooksby J.,0.42,21,,
56242,1.34,1,1.13267091,8/3/2022,Korda S.,0.34,17,,
55936,1.37,1,1.132547173,6/28/2022,Sock J.,0.37,18.5,,
48343,2.73,0,1.132539254,2/4/2019,Granollers M.,-1,-50,,
55203,1.65,1,1.132513844,4/5/2022,Johnson S.,0.65,32.5,,
45428,1.95,0,1.132459819,11/1/2017,Isner J.,-1,-50,,
54571,3.64,0,1.132380415,1/18/2022,Paire B.,-1,-50,,
53856,1.43,1,1.132362992,8/25/2021,Ymer M.,0.43,21.5,,
48035,2.16,0,1.132329764,10/30/2018,Kukushkin M.,-1,-50,,
55227,1.54,1,1.132313449,4/7/2022,Carballes Baena R.,0.54,27,,
57642,1.39,1,1.132273535,3/9/2023,Mcdonald M.,0.39,19.5,,
46828,2.73,0,1.132239486,6/12/2018,Bolt A.,-1,-50,,
47829,1.45,1,1.132233157,10/8/2018,Wu Y.,0.45,22.5,,
56636,1.52,1,1.132074122,9/27/2022,Ruusuvuori E.,0.52,26,,
55231,1.69,1,1.131996876,4/8/2022,Goffin D.,0.69,34.5,,
50532,1.24,1,1.131970666,10/18/2019,Shapovalov D.,0.24,12,,
56515,4.47,0,1.131962453,8/31/2022,Carballes Baena R.,-1,-50,,
49554,1.66,1,1.131860106,6/26/2019,Evans D.,0.66,33,,
48693,1.85,1,1.131802764,3/7/2019,Karlovic I.,0.85,42.5,,
43127,4.21,0,1.131719942,2/7/2017,Ram R.,-1,-50,,
47792,1.23,1,1.131690825,10/3/2018,Anderson K.,0.23,11.5,,
43338,2.96,0,1.131682055,2/24/2017,Ruud C.,-1,-50,,
50538,3.92,0,1.131627936,10/18/2019,Seppi A.,-1,-50,,
45807,2.07,0,1.131608594,2/12/2018,Lopez F.,-1,-50,,
