match,PSW,win0,confidence0,date,winner,pred correct?
50632,1.5,1,1.243153759,10/29/2019,Shapovalov D.,
57192,1.58,1,1.243107583,1/17/2023,Schwartzman D.,
56442,1.88,0,1.242979755,8/29/2022,Moutet C.,
40346,1.6,1,1.242941802,1/13/2016,Sock J.,
33114,1.88,0,1.242911795,3/9/2013,Nieminen J.,
51690,2.18,1,1.24287881,10/14/2020,Djere L.,
36872,1.67,1,1.242836168,7/30/2014,Karlovic I.,
35919,2.35,0,1.242761421,4/20/2014,Wawrinka S.,
33431,1.75,0,1.24275941,4/25/2013,Mayer F.,
45641,1.48,1,1.242519535,1/16/2018,Berdych T.,
40576,2.01,1,1.242474012,2/8/2016,Nishioka Y.,
46551,1.91,0,1.242440095,5/8/2018,Coric B.,
33674,2.14,0,1.24218184,5/26/2013,Devvarman S.,
30442,2.05,0,1.242108809,3/8/2012,Ramos A.,
48779,2.14,1,1.242036527,3/20/2019,Hurkacz H.,
36176,2.3,1,1.241970106,5/20/2014,Istomin D.,
48034,2.16,0,1.241924418,10/30/2018,Kukushkin M.,
55722,1.96,0,1.2419099,6/6/2022,Albot R.,
56917,2.71,0,1.241716597,10/25/2022,Wawrinka S.,
47501,2.19,1,1.241704191,8/21/2018,Jarry N.,
50975,2.06,0,1.241525593,2/11/2020,Lorenzi P.,
47741,1.93,1,1.241329809,9/27/2018,Fritz T.,
31120,1.94,1,1.24131008,5/31/2012,Giraldo S.,
32341,2.29,1,1.241304251,10/20/2012,Bellucci T.,
45432,1.95,1,1.241239218,11/1/2017,Isner J.,
48698,1.95,0,1.241173375,3/8/2019,Popyrin A.,
46890,2.14,0,1.241025701,6/19/2018,Khachanov K.,
56771,1.7,1,1.240925426,10/10/2022,Celikbilek A.,
56650,2.09,1,1.240894906,9/27/2022,Nishioka Y.,
50566,2.19,0,1.240768395,10/22/2019,Sinner J.,
34747,1.61,1,1.2405854,9/26/2013,Melzer J.,
49843,1.88,0,1.240528868,7/26/2019,Carreno Busta P.,
39892,1.54,1,1.240470572,10/2/2015,Cilic M.,
56006,1.55,1,1.240462496,7/3/2022,Norrie C.,
40136,2.5,0,1.240116433,10/28/2015,Cuevas P.,
41646,1.79,0,1.240057292,6/14/2016,Cilic M.,
44698,2.03,0,1.240026045,8/2/2017,Sousa J.,
55963,2.12,0,1.239886397,6/29/2022,Johnson S.,
52212,2.77,0,1.23985488,2/14/2021,Karatsev A.,
37186,1.7,1,1.239746317,9/1/2014,Murray A.,
52350,2.15,1,1.239647038,3/4/2021,Paul T.,
41441,2.33,1,1.239622508,5/19/2016,Zverev A.,
42499,2.35,0,1.239550489,9/28/2016,Schwartzman D.,
48883,2.13,0,1.239543304,4/9/2019,Sonego L.,
47249,1.81,1,1.239482773,7/27/2018,Berrettini M.,
38664,1.58,1,1.239471635,5/4/2015,Cilic M.,
