match,PSW,win0,confidence0,date,winner,,
46630,1.1,0,5.343299775,5/18/2018,Nadal R.,,
42953,1.09,0,5.120330329,1/10/2017,Chardy J.,,
50465,8.31,1,5.092007676,10/11/2019,Tsitsipas S.,,
54604,1.12,0,3.999296501,1/20/2022,Bautista Agut R.,,
54602,5.39,1,3.704423695,1/20/2022,O Connell C.,,
50206,1.19,0,3.595725793,8/29/2019,De Minaur A.,,
57489,1.21,0,3.373946289,2/22/2023,Auger-Aliassime F.,,
55768,1.21,0,3.291591468,6/10/2022,Medvedev D.,,
55145,1.24,0,3.289103866,3/26/2022,Tsitsipas S.,,
55055,1.19,0,3.14763112,3/13/2022,Tsitsipas S.,,
50237,5.12,1,3.122732635,9/2/2019,Wawrinka S.,,
49015,5.31,1,3.020863426,4/23/2019,Jarry N.,,
54592,3.7,1,2.969650586,1/20/2022,Daniel T.,,
49548,1.28,0,2.881835277,6/26/2019,Verdasco F.,,
53468,1.24,0,2.795957851,7/12/2021,Thompson J.,,
53458,1.34,0,2.785507697,7/7/2021,Shapovalov D.,,
47706,1.36,0,2.774028359,9/24/2018,Norrie C.,,
50948,1.31,0,2.773265271,2/7/2020,Schwartzman D.,,
56742,1.26,0,2.762414869,10/6/2022,Tiafoe F.,,
44931,1.29,0,2.752233875,8/28/2017,Donskoy E.,,
53507,1.26,0,2.68261635,7/14/2021,Thompson J.,,
56183,3.79,1,2.558919843,7/28/2022,Hanfmann Y.,,
56278,1.19,0,2.556675786,8/6/2022,Rublev A.,,
56195,1.37,0,2.529170526,7/29/2022,Isner J.,,
45688,1.37,0,2.519063807,1/18/2018,Fognini F.,,
55985,1.32,0,2.484386807,7/1/2022,Norrie C.,,
50488,3.5,1,2.478135467,10/15/2019,Carballes Baena R.,,
56543,1.39,0,2.47642474,9/2/2022,Tiafoe F.,,
47399,1.37,0,2.452085587,8/8/2018,Shapovalov D.,,
44503,1.37,0,2.441934979,7/18/2017,Giannessi A.,,
53210,3.18,1,2.437463196,6/10/2021,Rodionov J.,,
49228,1.39,0,2.429750352,5/20/2019,Gasquet R.,,
54996,1.36,0,2.413269035,2/26/2022,Rublev A.,,
56802,1.32,0,2.410422712,10/13/2022,Mcdonald M.,,
55820,1.22,0,2.405179057,6/16/2022,Medvedev D.,,
49078,1.36,0,2.400713791,4/30/2019,Cuevas P.,,
47192,3.5,1,2.394573373,7/23/2018,Molleker R.,,
47248,1.54,0,2.38780548,7/27/2018,Kovalik J.,,
49604,1.32,0,2.384666251,7/1/2019,Khachanov K.,,
47228,1.41,0,2.372528337,7/25/2018,Kovalik J.,,
53390,1.34,0,2.372002906,6/30/2021,Murray A.,,
52237,1.49,0,2.367121429,2/23/2021,Albot R.,,
55102,1.47,0,2.359771997,3/23/2022,Draper J.,,
49500,1.22,0,2.35936625,6/20/2019,Kyrgios N.,,
49783,1.44,0,2.352477653,7/22/2019,Klizan M.,,
49809,1.49,0,2.34273866,7/23/2019,Gasquet R.,,
55792,3.53,1,2.341557648,6/14/2022,Peniston R.,,
54399,3.09,1,2.334406415,11/20/2021,Zverev A.,,
49975,1.38,0,2.329054559,8/5/2019,Raonic M.,,
43686,2.94,1,2.327676823,4/15/2017,Johnson S.,,
46872,1.31,0,2.308189276,6/18/2018,Thiem D.,,
47757,2.71,1,2.275881561,9/30/2018,Tomic B.,,
54646,1.44,0,2.275258684,2/1/2022,Munar J.,,
43358,1.29,0,2.269647048,2/26/2017,Thiem D.,,
42876,1.41,0,2.268172881,1/3/2017,Youzhny M.,,
43876,1.38,0,2.262076797,5/4/2017,Lajovic D.,,
49703,1.42,0,2.254207373,7/15/2019,Sandgren T.,,
43404,1.4,0,2.24770686,3/1/2017,Sousa J.,,
55179,3.16,1,2.246436978,3/29/2022,Cerundolo F.,,
49835,1.33,0,2.241983662,7/25/2019,Fognini F.,,
44281,4.69,1,2.240243782,6/21/2017,Haase R.,,
53502,1.43,0,2.2359544,7/14/2021,Anderson K.,,
51709,1.51,0,2.233577616,10/16/2020,Shapovalov D.,,
43976,1.42,0,2.230681314,5/16/2017,Bautista Agut R.,,
56387,1.37,0,2.226573311,8/19/2022,Norrie C.,,
43422,1.38,0,2.225034249,3/2/2017,Cuevas P.,,
43433,1.43,0,2.221155618,3/2/2017,Ramos-Vinolas A.,,
53336,1.26,0,2.158776756,6/26/2021,Medvedev D.,,
53460,2.96,1,2.153139786,7/7/2021,Hurkacz H.,,
47751,2.6,1,2.14669233,9/28/2018,Fritz T.,,
45285,2.88,1,2.136853764,10/17/2017,Ymer E.,,
49715,3.4,1,2.128183636,7/16/2019,Dzumhur D.,,
47409,3.51,1,2.127904368,8/9/2018,Haase R.,,
55144,2.96,1,2.126089127,3/26/2022,Harris L.,,
45080,1.41,0,2.125789286,9/22/2017,Zverev M.,,
55522,2.86,1,2.123242963,5/11/2022,Khachanov K.,,
50010,1.35,0,2.117725318,8/8/2019,Monfils G.,,
56130,1.51,0,2.115721459,7/25/2022,Misolic F.,,
51548,1.5,0,2.109080515,9/28/2020,Struff J.L.,,
57340,1.4,0,2.102456856,2/10/2023,Ramos-Vinolas A.,,
50347,1.57,0,2.0994442,9/27/2019,Shapovalov D.,,
47741,1.53,0,2.09514903,9/27/2018,Querrey S.,,
49795,1.44,0,2.093239439,7/23/2019,Ruud C.,,
42850,1.26,0,2.089269251,1/2/2017,Darcis S.,,
50748,2.83,1,2.067753986,1/16/2020,Harris L.,,
54382,1.39,0,2.067593903,11/11/2021,Shapovalov D.,,
43480,1.48,0,2.066437995,3/11/2017,Carreno Busta P.,,
53881,1.38,0,2.064766436,8/30/2021,Molcan A.,,
42946,1.54,0,2.061100307,1/10/2017,Muller G.,,
44755,2.6,1,2.057800359,8/7/2017,Ferrer D.,,
47740,1.52,0,2.056743069,9/27/2018,Fognini F.,,
50337,2.5,1,2.053727571,9/26/2019,Bublik A.,,
51767,2.73,1,2.051292897,10/23/2020,Dimitrov G.,,
48121,1.6,0,2.048021325,1/2/2019,Paire B.,,
47754,1.69,0,2.044539327,9/29/2018,Fognini F.,,
49198,1.53,0,2.044419094,5/16/2019,Federer R.,,
50483,3.45,1,2.04374265,10/15/2019,Karlovic I.,,
47750,1.54,0,2.03879854,9/28/2018,Sousa J.,,
46899,4.3,1,2.037756374,6/20/2018,Sugita Y.,,
47890,1.53,0,2.037030993,10/16/2018,Paire B.,,
46531,1.46,0,2.036171678,5/7/2018,Schwartzman D.,,
49730,1.43,0,2.027127645,7/16/2019,Londero J.I.,,
56289,1.43,0,2.026698733,8/9/2022,Tiafoe F.,,
56013,1.47,0,2.025511754,7/6/2022,Nadal R.,,
50684,3.34,1,2.015823691,1/7/2020,Ilkel C.,,
52220,3.6,1,2.010750657,2/16/2021,Karatsev A.,,
50144,3.83,1,2.002141166,8/26/2019,Brooksby J.,,
53561,1.59,0,1.996612038,7/20/2021,Dzumhur D.,,
55081,1.43,0,1.989716929,3/16/2022,Rublev A.,,
45129,2.33,1,1.987194749,9/29/2017,Istomin D.,,
52969,2.45,1,1.986582881,5/17/2021,Sandgren T.,,
48362,1.52,0,1.981967765,2/5/2019,Carballes Baena R.,,
54035,2.6,1,1.976764731,9/23/2021,Giron M.,,
43818,1.28,0,1.97452291,4/30/2017,Nadal R.,,
50452,1.48,0,1.974508621,10/9/2019,Isner J.,,
43088,1.64,0,1.968723834,1/21/2017,Dimitrov G.,,
43108,1.54,0,1.96779167,1/26/2017,Federer R.,,
45103,1.54,0,1.963543427,9/26/2017,Lajovic D.,,
46629,1.53,0,1.961286453,5/18/2018,Cilic M.,,
45464,3.14,1,1.959841366,12/31/2017,De Minaur A.,,
47015,2.95,1,1.956963848,7/3/2018,Ebden M.,,
48182,2.51,1,1.956329242,1/8/2019,Seppi A.,,
49226,1.57,0,1.954426063,5/19/2019,Nadal R.,,
48418,1.55,0,1.952969647,2/10/2019,Tsonga J.W.,,
55419,2.81,1,1.952595043,4/29/2022,Tiafoe F.,,
50324,2.33,1,1.945232652,9/25/2019,Sousa J.,,
50923,1.63,0,1.942025928,2/5/2020,Ivashka I.,,
44486,1.61,0,1.93924655,7/17/2017,Laaksonen H.,,
44578,2.71,1,1.935151924,7/25/2017,Monteiro T.,,
45855,1.58,0,1.933758828,2/15/2018,Medvedev D.,,
54679,2.62,1,1.932637553,2/2/2022,Londero J.I.,,
45516,1.51,0,1.932351779,1/3/2018,Coric B.,,
56363,2.67,1,1.923738799,8/17/2022,Shapovalov D.,,
47249,3.32,1,1.923447193,7/27/2018,Basilashvili N.,,
44677,2.5,1,1.923074722,8/1/2017,Olivo R.,,
48686,3.16,1,1.920397939,3/7/2019,Giron M.,,
55025,1.45,0,1.914477443,3/12/2022,Shapovalov D.,,
49718,2.34,1,1.912353395,7/16/2019,Zverev M.,,
51027,1.55,0,1.91226858,2/14/2020,Ruud C.,,
51577,2.82,1,1.908136017,9/29/2020,Anderson K.,,
46480,1.54,0,1.90619698,5/2/2018,Struff J.L.,,
45111,2.66,1,1.903749759,9/27/2017,Istomin D.,,
44587,1.42,0,1.903174566,7/25/2017,Delbonis F.,,
45108,2.44,1,1.902347284,9/26/2017,Pella G.,,
53264,1.43,0,1.901481059,6/17/2021,Shapovalov D.,,
55005,2.99,1,1.90126425,3/10/2022,Djere L.,,
53758,3.51,1,1.901115504,8/12/2021,Tiafoe F.,,
45109,2.52,1,1.898607981,9/27/2017,Gojowczyk P.,,
56196,2.72,1,1.898211443,7/29/2022,Ivashka I.,,
52594,1.55,0,1.897898574,3/29/2021,Tiafoe F.,,
48212,2.61,1,1.897834536,1/11/2019,Seppi A.,,
56807,1.52,0,1.895942171,10/14/2022,Musetti L.,,
54902,1.65,0,1.89504634,2/19/2022,Norrie C.,,
48415,3.14,1,1.892799757,2/9/2019,Londero J.I.,,
50507,1.66,0,1.891162392,10/16/2019,Mannarino A.,,
52998,1.48,0,1.889042041,5/20/2021,Shapovalov D.,,
48167,1.58,0,1.888026233,1/7/2019,Opelka R.,,
43326,1.37,0,1.887928756,2/23/2017,Johnson S.,,
45502,1.84,0,1.886239604,1/2/2018,Mmoh M.,,
49739,2.6,1,1.884271937,7/17/2019,Ramos-Vinolas A.,,
57059,1.62,0,1.879513576,1/3/2023,Korda S.,,
47738,2.34,1,1.87929016,9/27/2018,Ebden M.,,
48190,1.58,0,1.878174611,1/9/2019,Schwartzman D.,,
51592,1.56,0,1.877922735,9/30/2020,Fritz T.,,
52898,2.36,1,1.872047611,5/6/2021,Garin C.,,
51663,1.3,0,1.871449508,10/13/2020,Raonic M.,,
52765,2.56,1,1.87102478,4/21/2021,Nishikori K.,,
55545,1.52,0,1.870765606,5/16/2022,Ivashka I.,,
53630,1.51,0,1.870649005,7/26/2021,Vesely J.,,
56551,1.55,0,1.869674692,9/3/2022,Rublev A.,,
52073,2.41,1,1.869229221,2/4/2021,Khachanov K.,,
43540,1.57,0,1.865477162,3/17/2017,Federer R.,,
47266,2.74,1,1.864452227,7/29/2018,Basilashvili N.,,
53771,1.53,0,1.862985131,8/14/2021,Isner J.,,
45116,2.58,1,1.860724444,9/27/2017,Donaldson J.,,
48107,1.37,0,1.85803975,1/1/2019,Thompson J.,,
54611,2.61,1,1.857609553,1/21/2022,Kecmanovic M.,,
43086,1.56,0,1.856535252,1/20/2017,Federer R.,,
50006,1.46,0,1.852641857,8/8/2019,Zverev A.,,
45868,1.5,0,1.851990187,2/16/2018,Dimitrov G.,,
55349,2.7,1,1.850862327,4/21/2022,Otte O.,,
46153,1.51,0,1.850755153,3/15/2018,Querrey S.,,
48887,1.36,0,1.84922924,4/9/2019,Munar J.,,
55260,1.53,0,1.848655458,4/11/2022,Ramos-Vinolas A.,,
56399,1.56,0,1.848600989,8/22/2022,Johnson S.,,
47265,1.55,0,1.848526003,7/28/2018,Mayer L.,,
47213,2.63,1,1.847911123,7/24/2018,Monteiro T.,,
45854,1.43,0,1.847105939,2/15/2018,Rublev A.,,
51475,1.69,0,1.845742848,9/18/2020,Ruud C.,,
55444,1.53,0,1.84458974,5/2/2022,De Minaur A.,,
52839,2.6,1,1.844557567,4/29/2021,Moutet C.,,
52862,2.82,1,1.844509459,5/3/2021,Giron M.,,
43220,2.55,1,1.843861965,2/15/2017,Thiem D.,,
47359,2.58,1,1.842893545,8/3/2018,Istomin D.,,
44608,3.22,1,1.842055796,7/26/2017,Mayer F.,,
57562,1.57,0,1.841934568,3/1/2023,Hanfmann Y.,-1,-50
47335,2.74,1,1.839931894,8/2/2018,Istomin D.,,
52756,1.54,0,1.839523856,4/20/2021,Shapovalov D.,,
57423,1.64,0,1.838428708,2/17/2023,Medvedev D.,,
46898,2.66,1,1.836239,6/20/2018,Kudla D.,,
57088,1.62,0,1.83390597,1/7/2023,Djokovic N.,,
49731,1.45,0,1.833502794,7/16/2019,Dellien H.,,
47726,1.68,0,1.833279411,9/25/2018,Querrey S.,,
54711,3.25,1,1.832039726,2/5/2022,Tabilo A.,,
47834,2.76,1,1.830834055,10/8/2018,Ebden M.,,
54916,1.65,0,1.828961803,2/21/2022,Londero J.I.,,
57394,1.57,0,1.827057507,2/15/2023,Lajovic D.,,
47933,1.53,0,1.82697874,10/18/2018,Monfils G.,,
48204,1.78,0,1.826555831,1/10/2019,Schwartzman D.,,
50478,1.6,0,1.825590457,10/14/2019,Pella G.,,
44754,1.42,0,1.82396545,8/7/2017,Harrison R.,,
52685,1.61,0,1.822286534,4/13/2021,Dimitrov G.,,
53612,1.55,0,1.82086553,7/23/2021,Fritz T.,,
51889,1.49,0,1.816878403,11/6/2020,Zverev A.,,
56265,2.93,1,1.816092986,8/4/2022,Nishioka Y.,,
44273,1.67,0,1.816023376,6/20/2017,Pouille L.,,
43468,1.59,0,1.815788426,3/10/2017,Chardy J.,,
47886,1.47,0,1.81393659,10/16/2018,Millman J.,,
46253,2.8,1,1.81371125,3/30/2018,Isner J.,,
50119,2.58,1,1.812000272,8/24/2019,Paire B.,,
44337,1.88,0,1.811814572,6/28/2017,Altmaier D.,,
43514,2.88,1,1.810084448,3/13/2017,Carreno Busta P.,,
44635,2.33,1,1.809471258,7/28/2017,Haase R.,,
52241,2.33,1,1.808721701,2/23/2021,Novak D.,,
45104,2.42,1,1.805401086,9/26/2017,Istomin D.,,
52253,1.69,0,1.805039565,2/23/2021,Etcheverry T.,,
43125,2.51,1,1.802592515,2/7/2017,Klizan M.,,
50399,1.53,0,1.799129433,10/3/2019,Tsitsipas S.,,
55806,1.49,0,1.799075496,6/15/2022,Hurkacz H.,,
44509,1.65,0,1.798091485,7/18/2017,Bagnis F.,,
45657,1.59,0,1.797557674,1/16/2018,Marterer M.,,
55258,1.53,0,1.796717819,4/11/2022,Schwartzman D.,,
44512,2.79,1,1.796417976,7/18/2017,Brown D.,,
48016,2.74,1,1.795940925,10/28/2018,Anderson K.,,
48183,1.49,0,1.795841154,1/8/2019,Thompson J.,,
47232,2.87,1,1.795529678,7/25/2018,Jarry N.,,
44140,2.61,1,1.795063622,5/31/2017,Johnson S.,,
55702,1.66,0,1.794521463,5/28/2022,Medvedev D.,,
54728,1.61,0,1.7924537,2/8/2022,Giron M.,,
57382,1.49,0,1.788036917,2/14/2023,Varillas J. P.,,
57334,1.4,0,1.785721066,2/10/2023,Baez S.,,
51593,2.52,1,1.784887579,9/30/2020,Korda S.,,
49780,1.53,0,1.783476551,7/21/2019,Lajovic D.,,
46717,1.4,0,1.780707282,5/28/2018,Paire B.,,
51369,1.58,0,1.780608608,9/4/2020,Auger-Aliassime F.,,
47394,1.67,0,1.780603666,8/8/2018,Shapovalov D.,,
54885,2.11,1,1.780084397,2/18/2022,Basilashvili N.,,
52877,1.64,0,1.778294495,5/4/2021,Davidovich Fokina A.,,
43952,1.45,0,1.777752479,5/13/2017,Nadal R.,,
