match,PSW,win0,confidence0,date,winner,,,
50003,1.46,0,2.000033796,8/8/2019,Zverev A.,-1,-50,
50290,1.53,0,1.997834231,9/20/2019,Tsonga J.W.,-1,-50,
46607,2.84,1,1.992918103,5/16/2018,Paire B.,1.84,92,
54309,2.85,1,1.989267475,10/29/2021,Struff J.L.,1.85,92.5,
57315,1.46,0,1.98794379,2/9/2023,Coric B.,-1,-50,
56056,2.77,1,1.985946026,7/14/2022,Thiem D.,1.77,88.5,
43948,1.47,0,1.982299313,5/12/2017,Djokovic N.,-1,-50,
44751,1.42,0,1.981443233,8/7/2017,Harrison R.,-1,-50,
43083,1.56,0,1.971091124,1/20/2017,Federer R.,-1,-50,
47732,1.59,0,1.970030465,9/26/2018,Sousa J.,-1,-50,
55700,1.66,0,1.963004726,5/28/2022,Medvedev D.,-1,-50,
55140,2.96,1,1.961705966,3/26/2022,Harris L.,1.96,98,
43511,2.88,1,1.960797787,3/13/2017,Carreno Busta P.,1.88,94,
52215,1.51,0,1.95584198,2/14/2021,Djokovic N.,-1,-50,
56291,1.43,0,1.954609644,8/9/2022,Tiafoe F.,-1,-50,
54105,1.51,0,1.953689155,10/2/2021,Ruud C.,-1,-50,
56206,2.8,1,1.949872273,7/30/2022,Misolic F.,1.8,90,
47740,2.34,1,1.946018823,9/27/2018,Ebden M.,1.34,67,
52023,1.47,0,1.943156242,2/2/2021,Simon G.,-1,-50,
44553,2.6,1,1.939665266,7/21/2017,Kuznetsov An.,1.6,80,
56131,1.51,0,1.938320997,7/25/2022,Misolic F.,-1,-50,
53383,1.6,0,1.932754703,6/30/2021,Fucsovics M.,-1,-50,
43952,1.45,0,1.929513696,5/13/2017,Nadal R.,-1,-50,
47748,2.65,1,1.920624032,9/28/2018,Verdasco F.,1.65,82.5,
55545,1.52,0,1.920355748,5/16/2022,Ivashka I.,-1,-50,
47213,2.63,1,1.917847521,7/24/2018,Monteiro T.,1.63,81.5,
45520,1.6,0,1.916141718,1/3/2018,Gojowczyk P.,-1,-50,
57257,1.64,0,1.914704332,1/22/2023,Korda S.,-1,-50,
44585,2.71,1,1.91144127,7/25/2017,Monteiro T.,1.71,85.5,
49773,1.56,0,1.908979202,7/20/2019,Isner J.,-1,-50,
51471,1.35,0,1.907425596,9/18/2020,Shapovalov D.,-1,-50,
47896,1.53,0,1.906455353,10/16/2018,Paire B.,-1,-50,
47757,2.71,1,1.905737718,9/30/2018,Tomic B.,1.71,85.5,
43310,1.43,0,1.900772415,2/21/2017,Basilashvili N.,-1,-50,
54183,1.49,0,1.899536467,10/12/2021,Sinner J.,-1,-50,
51549,1.53,0,1.894973603,9/28/2020,Sock J.,-1,-50,
47226,3.56,1,1.894924034,7/25/2018,Monteiro T.,2.56,128,
43942,1.54,0,1.891854043,5/11/2017,Thiem D.,-1,-50,
56207,1.54,0,1.886340866,7/30/2022,Brooksby J.,-1,-50,
56547,1.55,0,1.87995399,9/3/2022,Rublev A.,-1,-50,
53007,1.5,0,1.87952691,5/21/2021,Shapovalov D.,-1,-50,
47920,1.6,0,1.877902599,10/17/2018,Herbert P.H.,-1,-50,
42925,1.46,0,1.869593906,1/7/2017,Bautista Agut R.,-1,-50,
56369,2.75,1,1.862669472,8/17/2022,Isner J.,1.75,87.5,
53575,1.59,0,1.86262507,7/20/2021,Dzumhur D.,-1,-50,
45108,2.44,1,1.862011127,9/26/2017,Pella G.,1.44,72,
51020,3.53,1,1.858510952,2/13/2020,Sinner J.,2.53,126.5,
43540,1.57,0,1.855647061,3/17/2017,Federer R.,-1,-50,
45529,1.54,0,1.853041005,1/4/2018,Pella G.,-1,-50,
55178,3.16,1,1.84928399,3/29/2022,Cerundolo F.,2.16,108,
51927,2.29,1,1.847315306,11/19/2020,Rublev A.,1.29,64.5,
50338,2.5,1,1.845916212,9/26/2019,Bublik A.,1.5,75,
44240,2.92,1,1.844921734,6/17/2017,Karlovic I.,1.92,96,
54205,1.56,0,1.841873656,10/18/2021,Norrie C.,-1,-50,
51472,1.69,0,1.839822757,9/18/2020,Ruud C.,-1,-50,
44645,2.8,1,1.837416818,7/29/2017,Mayer F.,1.8,90,
55091,2.72,1,1.834419723,3/19/2022,Fritz T.,1.72,86,
46901,1.6,0,1.834169485,6/20/2018,Basilashvili N.,-1,-50,
47265,1.55,0,1.833368095,7/28/2018,Mayer L.,-1,-50,
43334,1.47,0,1.829668795,2/23/2017,Dolgopolov O.,-1,-50,
52684,1.61,0,1.825196102,4/13/2021,Dimitrov G.,-1,-50,
49839,2.36,1,1.824943882,7/25/2019,Opelka R.,1.36,68,
49131,3.01,1,1.824767163,5/7/2019,Pouille L.,2.01,100.5,
55219,1.68,0,1.823451866,4/6/2022,Kyrgios N.,-1,-50,
45132,2.33,1,1.820194962,9/29/2017,Istomin D.,1.33,66.5,
55133,1.44,0,1.819175627,3/25/2022,Sinner J.,-1,-50,
51773,2.73,1,1.815924389,10/23/2020,Dimitrov G.,1.73,86.5,
