match,PSW,win0,confidence0,date,winner,underdog,conf1.2+
34874,1.22,1,1.011608412,10/17/2013,Raonic M.,,
56692,3.7,0,1.011607112,9/30/2022,Nishioka Y.,,
38277,1.25,1,1.011594044,3/16/2015,Robredo T.,,
36642,1.56,1,1.011571765,7/9/2014,Sock J.,,
49949,4.17,0,1.011560669,8/2/2019,Paire B.,,
43831,1.29,1,1.011556471,5/1/2017,Anderson K.,,
40464,1.1,1,1.01155573,1/22/2016,Tsonga J.W.,,
36770,1.56,1,1.011554397,7/22/2014,Ramos A.,,
31104,1.38,1,1.011541536,5/30/2012,Seppi A.,,
33642,1.73,1,1.01151677,5/22/2013,Troicki V.,,
50437,1.4,1,1.011504948,10/8/2019,Goffin D.,,
49496,1.52,1,1.011498521,6/20/2019,Medvedev D.,,
31851,2.34,0,1.01147115,8/25/2012,Isner J.,,
36521,1.09,1,1.011459661,6/24/2014,Nadal R.,,
46797,2.39,0,1.011455814,6/2/2018,Schwartzman D.,,
47362,1.63,1,1.011445805,8/4/2018,Rublev A.,,
44498,4.06,0,1.011442119,7/18/2017,De Schepper K.,,
45218,1.37,1,1.011415624,10/10/2017,Cilic M.,,
50730,2.62,0,1.011410937,1/15/2020,Millman J.,,
38880,1.15,1,1.01140742,5/26/2015,Chardy J.,,
50555,1.44,1,1.01139626,10/21/2019,Schwartzman D.,,
43998,3.38,0,1.011396063,5/18/2017,Isner J.,,
45722,1.29,1,1.011395936,1/24/2018,Chung H.,,
42571,1.25,1,1.011388834,10/7/2016,Raonic M.,,
40189,2.54,0,1.01138109,11/4/2015,Dimitrov G.,,
57061,1.29,1,1.01134889,1/4/2023,Van De Zandschulp B.,,
41451,1.27,1,1.011339501,5/21/2016,Thiem D.,,
33631,1.18,1,1.011333481,5/21/2013,Troicki V.,,
44697,1.81,1,1.011316059,8/2/2017,Melzer G.,,
41943,8.71,0,1.011311374,7/15/2016,Olivo R.,,
35313,1.13,1,1.011305429,2/5/2014,Monfils G.,,
41563,1.49,1,1.011300079,5/28/2016,Goffin D.,,
48277,1.81,1,1.011292549,1/15/2019,Sousa J.,,
35795,1.13,1,1.011292334,3/24/2014,Ferrer D.,,
51744,1.48,1,1.011285502,10/20/2020,Harris L.,,
47287,1.14,1,1.01127702,7/31/2018,Fabbiano T.,,
34342,1.17,1,1.011273236,7/31/2013,Raonic M.,,
46510,1.88,0,1.011272081,5/4/2018,Jaziri M.,,
52580,1.37,1,1.01127068,3/27/2021,Nishikori K.,,
31590,1.32,1,1.011261574,7/19/2012,Nishikori K.,,
45420,1.16,1,1.011253505,11/1/2017,Del Potro J.M.,,
30342,1.43,1,1.011249473,2/25/2012,Ferrer D.,,
55010,1.46,1,1.011227283,3/11/2022,Murray A.,,
48628,1.63,1,1.011224524,2/27/2019,Berankis R.,,
47092,1.12,1,1.011206417,7/9/2018,Djokovic N.,,
37027,1.51,1,1.011186783,8/17/2014,Becker B.,,
33879,5.4,0,1.011184685,6/17/2013,Berlocq C.,,
46025,1.68,1,1.011174712,2/28/2018,Schwartzman D.,,
48731,1.19,1,1.011165373,3/10/2019,Cilic M.,,
50617,1.62,1,1.011136938,10/28/2019,Raonic M.,,
42895,1.34,1,1.011132675,1/4/2017,Wawrinka S.,,
33513,1.25,1,1.011124541,5/6/2013,Anderson K.,,
36996,2.83,0,1.01110779,8/13/2014,Johnson S.,,
51941,1.61,1,1.011106575,1/7/2021,Basilashvili N.,,
49346,2.55,0,1.011105425,5/29/2019,Dimitrov G.,,
34302,1.08,1,1.011095997,7/29/2013,Granollers M.,,
32854,1.17,1,1.011090314,2/13/2013,Gasquet R.,,
30782,1.24,1,1.011070169,4/25/2012,Ramos A.,,
30193,1.55,1,1.011059937,2/14/2012,Nieminen J.,,
34010,7.75,0,1.011049166,6/26/2013,Brown D.,,
37654,1.13,1,1.011043079,1/7/2015,Berdych T.,,
33959,1.16,1,1.01103328,6/24/2013,Youzhny M.,,
43415,5.39,0,1.011032795,3/1/2017,Nishioka Y.,,
39538,1.12,1,1.011031361,8/12/2015,Murray A.,,
56235,1.28,1,1.0110289,8/3/2022,Kyrgios N.,,
39679,8.04,0,1.011021758,8/31/2015,Marchenko I.,,
51717,3.24,0,1.011009097,10/17/2020,Coric B.,,
54812,1.48,1,1.010999269,2/14/2022,Andujar P.,,
44382,1.78,1,1.010990141,7/3/2017,Janowicz J.,,
49093,1.19,1,1.010973924,5/2/2019,Pella G.,,
53598,1.83,1,1.01096625,7/22/2021,Lajovic D.,,
40470,1.21,1,1.010948398,1/23/2016,Raonic M.,,
54062,1.48,1,1.010939888,9/28/2021,Korda S.,,
52784,1.11,1,1.010924378,4/22/2021,Nadal R.,,
41724,1.2,1,1.010922279,6/21/2016,Querrey S.,,
46652,1.32,1,1.01091594,5/22/2018,Fritz T.,,
49336,1.16,1,1.010876556,5/28/2019,Fognini F.,,
50237,1.19,1,1.010874876,9/2/2019,Monfils G.,,
44607,1.36,1,1.010857746,7/26/2017,Isner J.,,
41518,1.08,1,1.010854892,5/25/2016,Gasquet R.,,
30575,2.12,0,1.010842223,3/23/2012,Tipsarevic J.,,
51072,1.22,1,1.010837085,2/18/2020,Humbert U.,,
39423,1.67,1,1.010821317,7/31/2015,Kudla D.,,
53296,1.32,1,1.010810748,6/22/2021,Popyrin A.,,
36960,3.21,0,1.010807677,8/7/2014,Anderson K.,,
35620,3.49,0,1.010802102,3/1/2014,Lorenzi P.,,
52895,1.27,1,1.010795092,5/6/2021,Berrettini M.,,
36822,5.23,0,1.010792225,7/25/2014,De Bakker T.,,
49261,4.22,0,1.010784689,5/22/2019,Dzumhur D.,,
46754,1.15,1,1.010764661,5/30/2018,Dimitrov G.,,
45716,7.4,0,1.010761879,1/22/2018,Sandgren T.,,
47229,1.41,1,1.010761131,7/25/2018,Kovalik J.,,
51550,1.38,1,1.010757428,9/28/2020,Gaston H.,,
56934,1.32,1,1.010755943,10/26/2022,Carreno Busta P.,,
30859,1.23,1,1.010753204,5/2/2012,Haase R.,,
50721,1.64,1,1.010727246,1/14/2020,Millman J.,,
40205,1.24,1,1.01069968,11/6/2015,Murray A.,,
49225,1.28,1,1.010687583,5/19/2019,Londero J.I.,,
31953,1.27,1,1.010679394,9/1/2012,Almagro N.,,
42239,1.16,1,1.010674772,8/20/2016,Murray A.,,
36852,1.1,1,1.010664036,7/28/2014,Ramos A.,,
56223,1.18,1,1.010634647,8/2/2022,Tseng C. H.,,
42072,1.64,1,1.010628635,7/23/2016,Lopez F.,,
33543,4.69,0,1.010605027,5/8/2013,Youzhny M.,,
34121,1.25,1,1.010598381,7/11/2013,Almagro N.,,
47033,1.08,1,1.010594347,7/3/2018,Nishikori K.,,
43247,1.22,1,1.010581753,2/16/2017,Isner J.,,
35278,1.12,1,1.010574379,1/22/2014,Nadal R.,,
37642,1.14,1,1.010559214,1/7/2015,Nishikori K.,,
49322,1.45,1,1.010553451,5/28/2019,Pouille L.,,
48320,1.16,1,1.010549942,1/19/2019,Coric B.,,
55350,1.26,1,1.010542363,4/21/2022,Rublev A.,,
43292,4.02,0,1.010524706,2/21/2017,Mahut N.,,
36238,2.94,0,1.010521953,5/26/2014,Bagnis F.,,
36115,1.29,1,1.010514909,5/12/2014,Bolelli S.,,
56874,1.51,1,1.010512183,10/20/2022,Musetti L.,,
50704,3.16,0,1.010506843,1/12/2020,Djere L.,,
37765,1.61,1,1.010500922,1/19/2015,Berankis R.,,
34897,4.76,0,1.010493461,10/19/2013,Haase R.,,
41906,1.37,1,1.010459183,7/12/2016,Soderlund C.,,
51257,2.34,0,1.010441176,8/25/2020,Opelka R.,,
51644,3.35,0,1.010418284,10/12/2020,Donskoy E.,,
52001,2.61,0,1.010398722,2/1/2021,Sousa P.,,
32298,1.74,1,1.010397526,10/17/2012,Ito T.,,
55609,1.15,1,1.010397111,5/22/2022,Auger-Aliassime F.,,
51270,1.65,1,1.010387356,8/26/2020,Krajinovic F.,,
46653,7,0,1.010369556,5/22/2018,Horansky F.,,
29950,2.62,0,1.01036531,1/11/2012,Garcia-Lopez G.,,
50658,5.61,0,1.010362136,11/2/2019,Shapovalov D.,,
31599,3.83,0,1.010350312,7/20/2012,Soeda G.,,
34274,2.04,1,1.010348068,7/25/2013,Haase R.,,
49751,2.23,0,1.010332416,7/17/2019,Bublik A.,,
48090,1.54,1,1.010329432,12/31/2018,Donskoy E.,,
54347,1.38,1,1.010319024,11/4/2021,Zverev A.,,
31765,1.28,1,1.010309634,8/14/2012,Stepanek R.,,
32171,1.43,1,1.010308872,10/4/2012,Tursunov D.,,
55376,1.54,1,1.010305042,4/25/2022,Rune H.,,
45308,1.48,1,1.010298491,10/19/2017,Anderson K.,,
32137,3.94,0,1.01029184,10/2/2012,Lacko L.,,
55797,1.4,1,1.010286856,6/14/2022,Hurkacz H.,,
37310,2.24,0,1.010286792,9/30/2014,Cuevas P.,,
36066,1.33,1,1.010281817,5/6/2014,Raonic M.,,
46760,2.75,0,1.010281481,5/30/2018,Chardy J.,,
49105,1.15,1,1.010272045,5/3/2019,Tsitsipas S.,,
35264,1.09,1,1.010263943,1/18/2014,Murray A.,,
48300,1.17,1,1.010225182,1/17/2019,Shapovalov D.,,
40974,1.08,1,1.01022114,3/25/2016,Berdych T.,,
46287,1.3,1,1.010215965,4/11/2018,Fritz T.,,
50605,1.18,1,1.010212807,10/25/2019,Federer R.,,
53956,1.86,1,1.01019244,9/2/2021,Brooksby J.,,
50503,2.68,0,1.010187143,10/16/2019,Querrey S.,,
33968,1.33,1,1.010175443,6/25/2013,Giraldo S.,,
44562,1.8,1,1.010169493,7/23/2017,Ferrer D.,,
35003,1.61,1,1.010160312,10/31/2013,Wawrinka S.,,
33648,3.3,0,1.010155016,5/22/2013,Mathieu P.H.,,
52471,1.51,1,1.010147628,3/16/2021,Sonego L.,,
52462,3.83,0,1.010142285,3/16/2021,Harris L.,,
57276,1.26,1,1.010086731,2/7/2023,Mcdonald M.,,
43749,1.43,1,1.010080297,4/24/2017,Troicki V.,,
37946,3.05,0,1.010072733,2/8/2015,Estrella Burgos V.,,
51473,1.69,1,1.010062211,9/18/2020,Ruud C.,,
34646,1.59,1,1.010060951,9/3/2013,Youzhny M.,,
56955,1.4,1,1.010053182,10/28/2022,Medvedev D.,,
